,SMILES,new name,old name
0,C1=C2C(OCCO2)=C([Si]1(C)C),0dc,34u
1,C1=CC=C(S1)C2=CC=C(S2),1dc,15d
2,C1=CC2=C(C=C1)C3=C(N2C)C=C(C=C3),2dc,12d
3,C1=C(OC)C=C(S1),3dc,4u
4,C1(C2C(C(=NC=2)OC)=CN=1)OC,4dc,26a
5,C1=Cc2c(C3=CC(=C(S3)C)Cl)c4c(c(c2S1)C5=CC(=C(S5)C)Cl)C=C(S4),5dc,17d
6,C1=CC=C(C=C1)/C(/C2=CC=CC=C2)=C(\C3=CC=CC=C3)/C4=CC=C(C=C4),6dc,23u
7,C1=C2C(C(=C(S2)C)F)=C(S1),7dc,20a
8,C1=C2C(SCCS2)=C(S1),8dc,36u
9,C1=C(OC)C(OC)=C(S1),9dc,9u
10,C1=C2C(N=C(C(=N2)C)C)=C(C3C1=NSN=3),10dc,14a
11,C1=CC2C(S1)=C(C3=CC=C(C=C3)C)C4=C(C=2C5=CC=C(C=C5)C)SC(=C4),11dc,11d
12,C=CC=C,12dc,60u
13,C1=CC2=C(S1)C1=C([Si]2(C)C)C=C(S1),13dc,5d
14,C1=C(OC(=O)C2=CC=CC=C12)C,14dtr,26utr
15,C1=CC2=C(S1)C3=C([Ge]2(C)C)C=C(S3),14dc,16d
16,C1=Cc2c(S1)c1c(s2)C=C(S1),15dc,61u
17,C=C1SC(=S)C(C1=O)C,17dtr,36atr
18,C=c1c2=CC=CC3=CC=Cc(c23)n1C,18dtr,12utr
19,C1=C(OC)C=C(C(=C1)OC),16dc,15u
20,C1=CC(SC)=C(S1),17dc,50u
21,C1=CC=C2C(=C1)C(C)(C)C3=CC(=CC=C23),18dc,18d
22,C1=CC2=C(S1)C=C1C(=C2)SC(=C1),19dc,62u
23,C1=CC2=C(S1)C1=C(N2C)C=C(S1),20dc,3d
24,C1=CC(C2=C(C=CC=C2OC)OC)=C(S1),21dc,11u
25,C=C1SC2=CC=CC=C2S1,25dtr,14utr
26,C1=Cc2c(S1)c(OC)c3c(c2OC)SC(=C3),22dc,52u
27,C1=CC=C2C(=C1)C(/C(=C/C=C/3\C(=C(C#N)C#N)C4=C(C3=O)C=CC=C4)/N2C)(C)C,27dtr,13utr
28,C1=CC(=C(C#N)C#N)C=C(S1),23dc,41u
29,C1=C2C(OCCS2)=C(S1),24dc,35u
30,C1=Nc2c(S1)nc(s2)C,30dtr,9atr
31,C1=CC2=C(S1)C=C(S2),25dc,9d
32,C1=CC(C)=C(S1),26dc,4d
33,C1=c2c(nc(c(n2)C)C)=C(S1),27dc,37u
34,C1=CC=C([Se]1),28dc,64u
35,C1=CC(Cl)=C(S1)C2=C(Cl)C=C(S2),29dc,53u
36,C1=Cc2c(C3=CC=C(S3)C)c4c(c(c2S1)C5=CC=C(S5)C)C=C(S4),30dc,6d
37,C1=CC2=C(c3c(N=C2S1)sc(c3F)F),31dc,28u
38,C1=C2C(N=S=N2)=C(C3=CSC=C13),32dc,39u
39,C1=C2SC(C)=CC2=C(S1),33dc,10d
40,C(=O)C1=COC(=N1)C2=CC3=C(C=CS3)S2,40dtr,35utr
41,C1=C2OCC(C)OC2=C(S1),34dc,7d
42,C1=NC2=C(SC=C2)S1,42dtr,23utr
43,C1=C(F)c2c(S1)c3c(s2)C(F)=C(S3),35dc,30u
44,C1=NC2=C(C=CS2)S1,44dtr,29utr
