,SMILES,new name,old name
80,C1=CC(SC1=O)=C,80atl,27utl
81,c1(=C(C#N)C#N)n(C)c(=O)c(s1)=C,81atl,20atl
82,C1(=C(C#N)C#N)C2=C(C=C(C=C2)F)C(=O)C1=C,82atl,13atl
83,C1=C2C(=O)c3c(c(sc3C(F)(F)F)C(F)(F)F)C(=O)C2=C(S1),34ac,18u
84,C1(=C(C#N)C#N)C2=C(C=C(C(=C2)C(=O)OC)C#N)C(=O)C1=C,84atl,46utl
85,C1(=C(C#N)C#N)C2=C(C=C(C(=C2)C(=O)OC)C(=O)OC)C(=O)C1=C,85atl,47utl
86,c1(C)nnc(c2c1non2)(C),35ac,27a
87,C1(=C(C#N)C#N)C2=C(C=CC(=C2)C)C(=O)C1=C,87atl,16atl
88,C1(=O)C2=C(C=C(C(=C2)Br)Br)C(=C(C#N)C#N)C1=C,88atl,31atl
89,C=C,36ac,59u
90,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)C=CC=C3)C(=O)C1=C,90atl,51utl
91,C1=CC(F)=C(C=C1F),37ac,5u
92,C1=NN=C(c2c1nsn2),38ac,28a
93,o1nc(C#N)c(c1C#N)C(=O)O,93atl,33utl
94,C1=CC=C(c2c1non2),39ac,22a
95,C1=CC=C(c2c1n[se]n2),40ac,23a
96,C12=CSC(C)=C1C(=O)C(C2=C(C#N)C#N)=C,96atl,14atl
97,C1(=O)N(C)C(=O)N(C)C(=O)C1=C,97atl,25atl
98,C1=C(C#N)SC(=C1C#N),41ac,48u
99,C1(=O)C2=C(C=CC(=C2)Br)C(=C(C#N)C#N)C1=C,99atl,30atl
100,C1(C2=CC=CC=C2)(C3=CC=CC=C3)C(=C(C(=C(C#N)C#N)O1)C#N),100atl,20utl
101,C1=CC=CC2=C1C(=C(C#N)C#N)C(C2=O)=C,101atl,2atl
102,C1=C(F)C(F)=C(C2C1=NSN=2),42ac,2a
103,C1(=O)C2=C(C=CS2)C(=C(C#N)C#N)C1=C,103atl,23atl
