NFA,smiles
27_48_48_48_27,c1(=C(C#N)C#N)c2c(C=CC=C2)c(s1)=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=c1c2c(c(=C(C#N)C#N)s1)C=CC=C2
3_48_48_48_3,C12=CSC=C1C(=O)C(C2=C(C#N)C#N)=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=O)C2=CSC=C2C1=C(C#N)C#N
38_48_48_48_38,C1(SC(=O)N(C1=O)C)=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=C(C#N)C#N)C2=C(C1=O)C=CC(=C2)C
41_48_48_48_41,C1=C2C(=CS1)C(=O)C(C2=C([N+](=O)[O-])[N+](=O)[O-])=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=C([N+](=O)[O-])[N+](=O)[O-])C2=CSC=C2C1=O
43_48_48_48_43,C1=CSC2=C1C(=O)C(C2=C(C#N)C#N)=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=C(C#N)C#N)C2=C(C=CS2)C1=O
45_35_35_35_45,C1=CC=CC2=CC3=C(C=C12)C(=O)C(C3=C(C#N)C#N)=CC1=C(F)c2c(S1)c3c(s2)C(F)=C(S3)C1=C(F)c2c(S1)c3c(s2)C(F)=C(S3)C1=C(F)c2c(S1)c3c(s2)C(F)=C(S3)C=C1C(=C(C#N)C#N)C2=C(C=C3C=CC=CC3=C2)C1=O
45_48_48_48_45,C1=CC=CC2=CC3=C(C=C12)C(=O)C(C3=C(C#N)C#N)=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=C(C#N)C#N)C2=C(C=C3C=CC=CC3=C2)C1=O
45_39_39_39_45,C1=CC=CC2=CC3=C(C=C12)C(=O)C(C3=C(C#N)C#N)=CC1=CC2=C(S1)C3=C([Si]2(C4=CC=CC=C4)C5=CC=CC=C5)C=C(S3)C1=CC2=C(S1)C3=C([Si]2(C4=CC=CC=C4)C5=CC=CC=C5)C=C(S3)C1=CC2=C(S1)C3=C([Si]2(C4=CC=CC=C4)C5=CC=CC=C5)C=C(S3)C=C1C(=C(C#N)C#N)C2=C(C=C3C=CC=CC3=C2)C1=O
45_5_5_5_45,C1=CC=CC2=CC3=C(C=C12)C(=O)C(C3=C(C#N)C#N)=CC1=Cc2c(C3=CC(=C(S3)C)Cl)c4c(c(c2S1)C5=CC(=C(S5)C)Cl)C=C(S4)C1=Cc2c(C3=CC(=C(S3)C)Cl)c4c(c(c2S1)C5=CC(=C(S5)C)Cl)C=C(S4)C1=Cc2c(C3=CC(=C(S3)C)Cl)c4c(c(c2S1)C5=CC(=C(S5)C)Cl)C=C(S4)C=C1C(=C(C#N)C#N)C2=C(C=C3C=CC=CC3=C2)C1=O
46_48_48_48_46,C1=CC(=CC2=C1C(=C(C#N)C#N)C(=C)C2=O)C(F)(F)(F)C1=CC2=C(S1)C3C(C1=CC2=C(C=C1)C(=C(C#N)C#N)C(=C)C2=O)(F)(F)F=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)
52_15_15_15_52,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)SC=C3)C(=O)C1=CC1=Cc2c(S1)c1c(s2)C=C(S1)C1=Cc2c(S1)c1c(s2)C=C(S1)C1=Cc2c(S1)c1c(s2)C=C(S1)C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C3C(=C2)SC=C3
52_30_30_30_52,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)SC=C3)C(=O)C1=CC1=Cc2c(C3=CC=C(S3)C)c4c(c(c2S1)C5=CC=C(S5)C)C=C(S4)C1=Cc2c(C3=CC=C(S3)C)c4c(c(c2S1)C5=CC=C(S5)C)C=C(S4)C1=Cc2c(C3=CC=C(S3)C)c4c(c(c2S1)C5=CC=C(S5)C)C=C(S4)C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C3C(=C2)SC=C3
52_48_48_48_52,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)SC=C3)C(=O)C1=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C3C(=C2)SC=C3
55_48_48_48_55,C1=C(F)C=CC2=C1C=C1C(=C2)C(=O)C(C1=C(C#N)C#N)=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=O)C2=CC3=C(C=C(C=C3)F)C=C2C1=C(C#N)C#N
6_48_48_48_6,C1=C(C(=O)O)C(C#N)=CC2=C1C(=C(C#N)C#N)C(C2=O)=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=O)C2=C(C=C(C(=C2)C#N)C(=O)O)C1=C(C#N)C#N
