Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),fund bg,Delta HOMO,delta LUMO,optical bandgap (cm-1),opt bg (nm),oscillator strength,single point energy,dipole moment (debye),summed oscs,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber,PCE
20_48_40_48_20,-7.46,-6.72,-3.19,-2.89,3.53,0.74,0.3,12324.2,811.4116941,0.820686306,-6988.441914,5.2071,8.245248863,0.820686306,0.87236757,1.527954316,12324.2,2.167319176,17481.2,17.66560419
90_48_23_48_90,-7.49,-6.6,-3.66,-2.92,2.94,0.89,0.74,9021.3,1108.48769,1.217808636,-5320.465327,7.83411,9.360496707,1.217808636,1.217808636,1.118460774,9021.3,1.118460774,9021.3,19.83955047
103_48_34_48_103,-7.67,-7.08,-3.2,-3.07,3.88,0.59,0.13,14531.7,688.1507325,0.674548575,-6734.204216,4.11659,9.091948439,0.674548575,1.400262784,1.801640166,14531.7,2.42560671,19564.5,18.1932595
45_48_34_48_45,-7.58,-7.04,-3.21,-3.08,3.83,0.54,0.13,14343.5,697.1799073,0.814651567,-6399.620328,12.77762,10.08346871,0.814651567,1.544306468,1.77830713,14343.5,2.35580597,19001.5,19.34583292
61_48_28_48_61,-7.17,-6.29,-3.26,-2.59,3.03,0.88,0.67,9088.4,1100.303684,0.752305412,-5635.156247,12.10063,6.451181707,0.752305412,0.752305412,1.126779832,9088.4,1.126779832,9088.4,15.79087371
93_48_0_48_93,-7.76,-6.53,-3.2,-2.9,3.33,1.23,0.3,10352.1,965.9875774,0.519981663,-5001.63133,8.86005,5.125982229,0.519981663,0.519981663,1.283453358,10352.1,1.283453358,10352.1,15.45532403
46_48_28_48_46,-7.85,-6.55,-3.41,-2.97,3.14,1.3,0.44,11061.4,904.044696,0.86981895,-5886.432263,2.14861,6.866229822,0.86981895,0.86981895,1.371392372,11061.4,1.371392372,11061.4,18.14949497
78_48_28_48_78,-7.69,-6.86,-3.86,-3.13,3,0.83,0.73,9427.5,1060.726598,1.205851663,-5915.31208,7.00345,9.723308463,1.205851663,1.205851663,1.16882145,9427.5,1.16882145,9427.5,20.08384226
43_48_0_48_43,-7.63,-6.67,-3.48,-3.07,3.19,0.96,0.41,10066.5,993.3939304,0.995590509,-5772.070738,13.74984,8.48804383,0.995590509,0.995590509,1.24804467,10066.5,1.24804467,10066.5,18.93603286
68_48_28_48_68,-6.91,-6.06,-3.09,-2.38,2.97,0.85,0.71,8757.5,1141.87839,0.79818392,-5134.161378,12.44433,6.74094179,0.79818392,0.79818392,1.08575485,8757.5,1.08575485,8757.5,16.06222335
43_48_28_48_43,-7.65,-6.75,-3.69,-2.97,3.06,0.9,0.72,9585.4,1043.253281,1.003395344,-5853.341951,5.17921,8.329732436,1.003395344,1.003395344,1.188397892,9585.4,1.188397892,9585.4,18.46273807
99_48_5_48_99,-7.83,-6.96,-4.2,-3.22,2.76,0.87,0.98,7312,1367.61488,0.773815317,-10344.54485,1.96451,9.312431589,0.773815317,0.773815317,0.90654176,7312,0.90654176,7312,19.6882648
88_48_28_48_88,-7.74,-6.89,-3.87,-3.13,3.02,0.85,0.74,9576.4,1044.233741,1.239961082,-15505.32403,4.49717,8.860120989,1.239961082,1.239961082,1.187282072,9576.4,1.187282072,9576.4,18.9803331
78_48_0_48_78,-7.74,-6.8,-3.67,-3.19,3.13,0.94,0.48,10234,977.1350401,0.953073967,-5834.034783,8.03506,9.640388553,0.953073967,0.953073967,1.26881132,10234,1.26881132,10234,20.43771154
78_48_23_48_78,-7.6,-6.71,-3.76,-3.02,2.95,0.89,0.74,9082.9,1100.969955,1.2939173,-5717.01853,8.17823,9.383978039,1.2939173,1.2939173,1.126097942,9082.9,1.126097942,9082.9,19.87188426
78_48_5_48_78,-7.78,-6.93,-4.18,-3.2,2.75,0.85,0.98,7247.2,1379.84325,0.810397295,-5901.256833,7.14262,10.21886975,0.810397295,0.810397295,0.898507856,7247.2,0.898507856,7247.2,20.85133015
45_48_5_48_45,-7.67,-6.84,-4.06,-3.09,2.78,0.83,0.97,7562.3,1322.349021,0.880762469,-5504.702915,11.7951,9.858953103,0.880762469,0.880762469,0.937573954,7562.3,0.937573954,7562.3,20.27062493
43_48_5_48_43,-7.77,-6.86,-4.08,-3.1,2.78,0.91,0.98,7286.5,1372.401016,0.663778676,-5839.287634,9.11059,9.124717259,0.663778676,0.663778676,0.90338027,7286.5,0.90338027,7286.5,19.59998217
45_48_0_48_45,-7.56,-6.66,-3.53,-3.11,3.13,0.9,0.42,9842.2,1016.033001,1.122527386,-5437.487442,4.82663,9.325007673,1.122527386,1.122527386,1.220235956,9842.2,1.220235956,9842.2,19.83323207
90_48_28_48_90,-7.54,-6.71,-3.71,-2.97,3,0.83,0.74,9403.8,1063.399902,1.234779401,-5518.759755,3.62037,9.536746049,1.234779401,1.234779401,1.165883124,9403.8,1.165883124,9403.8,19.82694581
43_48_19_48_43,-7.61,-7.49,-3.33,-3.32,4.16,0.12,0.01,15480.9,645.9572764,0.245464534,-5222.70516,2.05988,8.50481001,0.245464534,0.245464534,1.919321982,15480.9,1.919321982,15480.9,15.38491989
43_48_40_48_43,-7.59,-6.86,-3.28,-2.96,3.58,0.73,0.32,12756.5,783.914083,0.771925771,-7472.865755,8.25577,8.059569725,0.771925771,0.820884677,1.58155087,12756.5,2.228751266,17976.7,17.36737401
45_48_23_48_45,-7.47,-6.59,-3.64,-2.88,2.95,0.88,0.76,8960.5,1116.009151,1.169605637,-5320.466394,15.03076,9.667802406,1.169605637,1.169605637,1.11092279,8960.5,1.11092279,8960.5,20.22016042
78_48_34_48_78,-7.72,-7.15,-3.36,-3.2,3.79,0.57,0.16,14193,704.5726767,0.796037802,-6796.168508,11.37732,10.20003521,0.796037802,1.174530109,1.75964814,14193,2.35977333,19033.5,19.63399499
45_35_23_35_45,-7.45,-6.56,-3.28,-2.44,3.28,0.89,0.84,11204,892.5383792,1.289140066,-5990.062776,10.29039,8.006544417,1.289140066,1.289140066,1.38907192,11204,1.38907192,11204,17.97515816
90_48_0_48_90,-7.59,-6.67,-3.47,-3.05,3.2,0.92,0.42,10352.1,965.9875774,0.857117907,-5437.477705,4.94016,9.688958382,0.857117907,0.857117907,1.283453358,10352.1,1.283453358,10352.1,20.41949219
90_48_5_48_90,-7.67,-6.83,-4.08,-3.1,2.75,0.84,0.98,7190.5,1390.723872,0.778081504,-5504.705377,10.09796,10.2146741,0.778081504,0.778081504,0.89147819,7190.5,0.89147819,7190.5,20.80300274
20_48_5_48_20,-7.64,-6.76,-4.02,-3.02,2.74,0.88,1,7147.3,1399.129741,0.725449819,-5354.871582,8.66844,9.275064097,0.725449819,0.725449819,0.886122254,7147.3,0.886122254,7147.3,19.67935976
88_48_0_48_88,-7.78,-6.85,-3.72,-3.27,3.13,0.93,0.45,9882.4,1011.899943,1.096794787,-15424.05072,10.73893,9.331427644,1.096794787,1.096794787,1.225219952,9882.4,1.225219952,9882.4,19.96972237
45_48_28_48_45,-7.54,-6.7,-3.71,-2.97,2.99,0.84,0.74,9337.6,1070.938999,1.185153478,-5518.757665,8.93584,9.460236588,1.185153478,1.185153478,1.157675648,9337.6,1.157675648,9337.6,19.76414228
