PCE,below18,above18
5.792205,5.792205,18.015813
6.694847,6.694847,18.018204
7.002675,7.002675,18.025731
7.27378,7.27378,18.030173
7.333097,7.333097,18.04161
7.588397,7.588397,18.042051
7.636965,7.636965,18.043178
7.918073,7.918073,18.050387
7.984704,7.984704,18.067263
8.013897,8.013897,18.072652
8.141547,8.141547,18.073625
8.362421,8.362421,18.090381
8.547301,8.547301,18.104129
8.737247,8.737247,18.111448
8.822347,8.822347,18.11942
8.993944,8.993944,18.149495
9.150485,9.150485,18.15085
9.168397,9.168397,18.179342
9.585666,9.585666,18.186074
9.754166,9.754166,18.191372
9.864825,9.864825,18.19326
10.061369,10.061369,18.206589
10.139714,10.139714,18.2232
10.142713,10.142713,18.230735
10.184554,10.184554,18.250255
10.277797,10.277797,18.258968
10.319063,10.319063,18.264076
10.428106,10.428106,18.269174
10.473179,10.473179,18.275119
10.624595,10.624595,18.285484
10.742484,10.742484,18.291502
10.766297,10.766297,18.292633
10.85697,10.85697,18.299994
10.946376,10.946376,18.31075
10.981049,10.981049,18.314618
11.012313,11.012313,18.318779
11.143674,11.143674,18.320191
11.18128,11.18128,18.343297
11.419762,11.419762,18.348373
11.434758,11.434758,18.35215
11.461376,11.461376,18.366842
11.466088,11.466088,18.368403
11.534938,11.534938,18.372565
11.556755,11.556755,18.372788
11.571252,11.571252,18.38326
11.572235,11.572235,18.383699
11.641637,11.641637,18.406647
11.647459,11.647459,18.411642
11.678835,11.678835,18.413416
11.681029,11.681029,18.414232
11.684518,11.684518,18.447931
11.695337,11.695337,18.450397
11.70208,11.70208,18.451082
11.704639,11.704639,18.455455
11.758853,11.758853,18.462738
11.796381,11.796381,18.465682
11.817204,11.817204,18.474054
11.830873,11.830873,18.474214
11.835964,11.835964,18.477363
11.90578,11.90578,18.499576
11.949637,11.949637,18.51658
11.961849,11.961849,18.529097
11.996519,11.996519,18.544144
12.00088,12.00088,18.565008
12.022691,12.022691,18.571304
12.042381,12.042381,18.579598
12.118477,12.118477,18.591879
12.123822,12.123822,18.592813
12.174544,12.174544,18.595883
12.207271,12.207271,18.600284
12.279808,12.279808,18.601385
12.287981,12.287981,18.617146
12.328149,12.328149,18.622023
12.329609,12.329609,18.627283
12.338188,12.338188,18.631579
12.338337,12.338337,18.633128
12.338984,12.338984,18.65572
12.391197,12.391197,18.655959
12.502236,12.502236,18.665907
12.524189,12.524189,18.674423
12.526391,12.526391,18.680299
12.531019,12.531019,18.684302
12.551369,12.551369,18.684922
12.571757,12.571757,18.704199
12.580022,12.580022,18.731636
12.585793,12.585793,18.739532
12.593036,12.593036,18.740234
12.595939,12.595939,18.741487
12.605263,12.605263,18.750074
12.640596,12.640596,18.751704
12.640704,12.640704,18.761135
12.668615,12.668615,18.768673
12.671123,12.671123,18.772178
12.682587,12.682587,18.776515
12.694141,12.694141,18.7881
12.711834,12.711834,18.811971
12.743389,12.743389,18.815308
12.762187,12.762187,18.818301
12.813055,12.813055,18.820543
12.8211,12.8211,18.847948
12.821531,12.821531,18.878581
12.847261,12.847261,18.907678
12.87064,12.87064,18.90907
12.908839,12.908839,18.910022
12.934224,12.934224,18.936033
12.958214,12.958214,18.950046
12.975955,12.975955,18.952619
12.97764,12.97764,18.973802
12.985437,12.985437,18.980333
12.990478,12.990478,19.018179
13.014276,13.014276,19.024606
13.024409,13.024409,19.041735
13.057142,13.057142,19.062664
13.086192,13.086192,19.0655
13.090495,13.090495,19.070164
13.113526,13.113526,19.081753
13.1231,13.1231,19.094962
13.132053,13.132053,19.09507
13.152891,13.152891,19.101107
13.199494,13.199494,19.116684
13.204486,13.204486,19.157164
13.2164,13.2164,19.175668
13.223317,13.223317,19.17667
13.268926,13.268926,19.206045
13.271651,13.271651,19.225112
13.287265,13.287265,19.231728
13.297747,13.297747,19.28889
13.309484,13.309484,19.29168
13.310635,13.310635,19.308811
13.36829,13.36829,19.345833
13.402569,13.402569,19.355018
13.41251,13.41251,19.366604
13.412943,13.412943,19.366943
13.424016,13.424016,19.367315
13.426605,13.426605,19.37413
13.435546,13.435546,19.392457
13.45247,13.45247,19.404764
13.463566,13.463566,19.427858
13.472616,13.472616,19.496179
13.487862,13.487862,19.55137
13.500015,13.500015,19.568041
13.503828,13.503828,19.599982
13.532421,13.532421,19.633995
13.575694,13.575694,19.647847
13.5807,13.5807,19.668506
13.584597,13.584597,19.670702
13.586769,13.586769,19.67936
13.58755,13.58755,19.688265
13.602907,13.602907,19.764142
13.608005,13.608005,19.765631
13.609813,13.609813,19.826946
13.625426,13.625426,19.833232
13.660228,13.660228,19.83955
13.664186,13.664186,19.871884
13.669535,13.669535,19.904151
13.680393,13.680393,19.964228
13.690194,13.690194,19.969559
13.69196,13.69196,19.969722
13.692221,13.692221,20.011716
13.697274,13.697274,20.071848
13.698544,13.698544,20.083842
13.705875,13.705875,20.143503
13.706447,13.706447,20.184266
13.707614,13.707614,20.22016
13.731832,13.731832,20.270625
13.759736,13.759736,20.419492
13.77642,13.77642,20.434228
13.779296,13.779296,20.437712
13.783627,13.783627,20.459398
13.792108,13.792108,20.475269
13.799298,13.799298,20.615498
13.845029,13.845029,20.803003
13.848613,13.848613,20.85133
13.86171,13.86171,
13.876026,13.876026,
13.910949,13.910949,
13.938499,13.938499,
13.947715,13.947715,
13.954785,13.954785,
13.960097,13.960097,
13.964602,13.964602,
13.96866,13.96866,
13.970569,13.970569,
13.990605,13.990605,
13.998939,13.998939,
14.001857,14.001857,
14.011952,14.011952,
14.013963,14.013963,
14.016108,14.016108,
14.045553,14.045553,
14.056572,14.056572,
14.061026,14.061026,
14.063528,14.063528,
14.065672,14.065672,
14.075568,14.075568,
14.089086,14.089086,
14.100745,14.100745,
14.109521,14.109521,
14.12352,14.12352,
14.150923,14.150923,
14.155042,14.155042,
14.172256,14.172256,
14.17757,14.17757,
14.190509,14.190509,
14.198768,14.198768,
14.203767,14.203767,
14.222252,14.222252,
14.228254,14.228254,
14.231348,14.231348,
14.235053,14.235053,
14.251822,14.251822,
14.258415,14.258415,
14.263861,14.263861,
14.265473,14.265473,
14.271453,14.271453,
14.278761,14.278761,
14.290475,14.290475,
14.314509,14.314509,
14.320203,14.320203,
14.320293,14.320293,
14.330115,14.330115,
14.351495,14.351495,
14.358432,14.358432,
14.362289,14.362289,
14.381334,14.381334,
14.381491,14.381491,
14.382506,14.382506,
14.38626,14.38626,
14.386865,14.386865,
14.388678,14.388678,
14.389815,14.389815,
14.424735,14.424735,
14.427088,14.427088,
14.428992,14.428992,
14.431815,14.431815,
14.438345,14.438345,
14.440075,14.440075,
14.441901,14.441901,
14.452083,14.452083,
14.523799,14.523799,
14.526391,14.526391,
14.53944,14.53944,
14.558818,14.558818,
14.571598,14.571598,
14.587024,14.587024,
14.61837,14.61837,
14.633689,14.633689,
14.634977,14.634977,
14.640331,14.640331,
14.648555,14.648555,
14.661602,14.661602,
14.682082,14.682082,
14.69161,14.69161,
14.700052,14.700052,
14.712203,14.712203,
14.735443,14.735443,
14.737061,14.737061,
14.749366,14.749366,
14.75277,14.75277,
14.753136,14.753136,
14.767039,14.767039,
14.771444,14.771444,
14.780316,14.780316,
14.78323,14.78323,
14.783337,14.783337,
14.798823,14.798823,
14.804866,14.804866,
14.804924,14.804924,
14.80738,14.80738,
14.811872,14.811872,
14.820873,14.820873,
14.831005,14.831005,
14.840433,14.840433,
14.865692,14.865692,
14.870718,14.870718,
14.872703,14.872703,
14.876133,14.876133,
14.878818,14.878818,
14.886127,14.886127,
14.887783,14.887783,
14.895992,14.895992,
14.896016,14.896016,
14.907182,14.907182,
14.93233,14.93233,
14.948731,14.948731,
14.951022,14.951022,
14.960692,14.960692,
14.963973,14.963973,
14.967396,14.967396,
14.974361,14.974361,
14.985849,14.985849,
14.986505,14.986505,
14.987413,14.987413,
14.990956,14.990956,
14.995549,14.995549,
14.995697,14.995697,
15.01752,15.01752,
15.017673,15.017673,
15.032751,15.032751,
15.040984,15.040984,
15.049325,15.049325,
15.071428,15.071428,
15.083688,15.083688,
15.083948,15.083948,
15.098489,15.098489,
15.106252,15.106252,
15.113359,15.113359,
15.114701,15.114701,
15.118667,15.118667,
15.125892,15.125892,
15.148673,15.148673,
15.166086,15.166086,
15.205384,15.205384,
15.205792,15.205792,
15.207213,15.207213,
15.216993,15.216993,
15.226072,15.226072,
15.232034,15.232034,
15.233694,15.233694,
15.239078,15.239078,
15.247615,15.247615,
15.251833,15.251833,
15.25897,15.25897,
15.263061,15.263061,
15.264436,15.264436,
15.267578,15.267578,
15.267608,15.267608,
15.270481,15.270481,
15.279545,15.279545,
15.286289,15.286289,
15.290601,15.290601,
15.297195,15.297195,
15.306708,15.306708,
15.320124,15.320124,
15.322155,15.322155,
15.330673,15.330673,
15.333543,15.333543,
15.334435,15.334435,
15.346603,15.346603,
15.380978,15.380978,
15.38492,15.38492,
15.385173,15.385173,
15.386089,15.386089,
15.394684,15.394684,
15.41081,15.41081,
