PCE,below18,above18
4.424491,4.424491,18.002291
5.167011,5.167011,18.010514
6.295964,6.295964,18.014423
6.9264,6.9264,18.019013
6.982554,6.982554,18.030584
7.038909,7.038909,18.031133
7.053845,7.053845,18.033451
7.276173,7.276173,18.064266
7.618319,7.618319,18.078398
7.636164,7.636164,18.094233
7.679167,7.679167,18.097611
7.754744,7.754744,18.114066
7.826318,7.826318,18.118823
8.113102,8.113102,18.122774
8.429004,8.429004,18.122863
8.437502,8.437502,18.134146
8.450239,8.450239,18.149317
8.514886,8.514886,18.149528
8.575747,8.575747,18.150856
8.637368,8.637368,18.156743
8.687421,8.687421,18.158069
8.732177,8.732177,18.173986
8.855536,8.855536,18.174196
8.87274,8.87274,18.175487
8.873631,8.873631,18.177247
8.964618,8.964618,18.185185
9.038134,9.038134,18.188956
9.046682,9.046682,18.191503
9.073537,9.073537,18.19215
9.120564,9.120564,18.193125
9.121552,9.121552,18.202089
9.122859,9.122859,18.209652
9.15133,9.15133,18.209992
9.163874,9.163874,18.222312
9.182302,9.182302,18.223462
9.204332,9.204332,18.234699
9.209042,9.209042,18.235075
9.233628,9.233628,18.237107
9.340238,9.340238,18.253191
9.340453,9.340453,18.260738
9.359117,9.359117,18.270759
9.37485,9.37485,18.275574
9.423347,9.423347,18.281643
9.462992,9.462992,18.286574
9.466853,9.466853,18.293113
9.502854,9.502854,18.293427
9.516173,9.516173,18.300771
9.555402,9.555402,18.302001
9.570578,9.570578,18.308021
9.578697,9.578697,18.33307
9.610145,9.610145,18.333621
9.639825,9.639825,18.342115
9.684492,9.684492,18.343403
9.691289,9.691289,18.349104
9.708821,9.708821,18.352808
9.725882,9.725882,18.353062
9.764072,9.764072,18.355316
9.79358,9.79358,18.364351
9.807934,9.807934,18.37586
9.888857,9.888857,18.380836
9.915132,9.915132,18.383857
9.968111,9.968111,18.39871
9.974236,9.974236,18.413405
10.025885,10.025885,18.413465
10.026499,10.026499,18.41436
10.027706,10.027706,18.416737
10.054984,10.054984,18.417896
10.084831,10.084831,18.425935
10.085364,10.085364,18.427639
10.086581,10.086581,18.428097
10.092853,10.092853,18.433793
10.102013,10.102013,18.439294
10.109767,10.109767,18.442523
10.11326,10.11326,18.444718
10.118635,10.118635,18.445661
10.134807,10.134807,18.449679
10.139416,10.139416,18.450753
10.151832,10.151832,18.452476
10.161263,10.161263,18.454133
10.173308,10.173308,18.462402
10.207616,10.207616,18.484037
10.225215,10.225215,18.484994
10.231854,10.231854,18.487021
