PCE,below18,above18
7.001427,7.001427,18.002808
7.325439,7.325439,18.005732
7.498335,7.498335,18.009035
7.677439,7.677439,18.009889
7.977049,7.977049,18.013859
8.314891,8.314891,18.020111
8.506664,8.506664,18.026782
8.513977,8.513977,18.028612
8.573372,8.573372,18.031894
8.634002,8.634002,18.034788
8.707625,8.707625,18.037032
8.995752,8.995752,18.038077
9.031417,9.031417,18.05163
9.057979,9.057979,18.052788
9.141321,9.141321,18.052838
9.282032,9.282032,18.053343
9.298065,9.298065,18.059757
9.504247,9.504247,18.071448
9.696665,9.696665,18.072352
9.711501,9.711501,18.072808
9.745697,9.745697,18.080039
9.786262,9.786262,18.089727
9.825314,9.825314,18.091852
9.935774,9.935774,18.094938
10.009789,10.009789,18.098215
10.112352,10.112352,18.103687
10.12857,10.12857,18.107963
10.144644,10.144644,18.10823
10.188699,10.188699,18.108267
10.238347,10.238347,18.109608
10.269622,10.269622,18.112581
10.334596,10.334596,18.121441
10.411738,10.411738,18.135166
10.435056,10.435056,18.136546
10.448053,10.448053,18.141365
10.498122,10.498122,18.14814
10.566438,10.566438,18.153017
10.576,10.576,18.153115
10.607643,10.607643,18.1543
10.644215,10.644215,18.157014
10.669869,10.669869,18.158099
10.686711,10.686711,18.170709
10.719606,10.719606,18.172236
10.74566,10.74566,18.175533
10.780064,10.780064,18.18483
10.85082,10.85082,18.191863
11.031748,11.031748,18.205116
11.032719,11.032719,18.212435
11.065018,11.065018,18.212823
11.068378,11.068378,18.218461
11.076624,11.076624,18.228732
11.125138,11.125138,18.228867
11.125654,11.125654,18.233443
11.125885,11.125885,18.233534
11.130424,11.130424,18.236111
11.139244,11.139244,18.239646
11.156737,11.156737,18.247295
11.188366,11.188366,18.250768
11.298065,11.298065,18.250778
11.336336,11.336336,18.251022
11.369376,11.369376,18.264757
11.376819,11.376819,18.275151
11.380991,11.380991,18.280326
11.454943,11.454943,18.283395
11.541498,11.541498,18.285084
11.563403,11.563403,18.301477
11.630066,11.630066,18.304325
11.671513,11.671513,18.306971
11.673168,11.673168,18.311389
11.69126,11.69126,18.314229
11.697008,11.697008,18.314705
11.702719,11.702719,18.316821
11.706464,11.706464,18.326678
11.724429,11.724429,18.34241
11.736595,11.736595,18.344891
11.750768,11.750768,18.346947
11.75412,11.75412,18.347466
11.800961,11.800961,18.352438
11.810157,11.810157,18.352688
11.825623,11.825623,18.353276
11.85269,11.85269,18.354214
11.865556,11.865556,18.35916
11.882983,11.882983,18.367975
11.883134,11.883134,18.371052
11.909207,11.909207,18.377562
11.949388,11.949388,18.378305
11.960236,11.960236,18.379473
12.03145,12.03145,18.382039
12.110385,12.110385,18.385369
12.115766,12.115766,18.393681
12.118766,12.118766,18.396963
12.121926,12.121926,18.408676
12.131586,12.131586,18.415022
12.137692,12.137692,18.417404
12.14969,12.14969,18.422826
12.149826,12.149826,18.424716
12.157267,12.157267,18.432979
12.166937,12.166937,18.438019
12.167835,12.167835,18.440886
12.172299,12.172299,18.444191
12.179482,12.179482,18.445825
12.214975,12.214975,18.447551
12.215352,12.215352,18.451818
12.260414,12.260414,18.45237
12.284165,12.284165,18.457433
12.313015,12.313015,18.468151
12.325614,12.325614,18.472712
12.330304,12.330304,18.47469
12.374682,12.374682,18.477775
12.458169,12.458169,18.482575
12.494889,12.494889,18.494834
12.497069,12.497069,18.508798
12.507854,12.507854,18.514715
12.52002,12.52002,18.522012
12.520965,12.520965,18.528778
12.522728,12.522728,18.531298
12.52463,12.52463,18.551269
12.533518,12.533518,18.553786
12.574544,12.574544,18.555995
12.584433,12.584433,18.579384
12.588856,12.588856,18.580456
12.601375,12.601375,18.596426
12.603256,12.603256,18.599298
12.603936,12.603936,18.601774
12.621351,12.621351,18.603468
12.627634,12.627634,18.642459
12.652328,12.652328,18.64777
12.659758,12.659758,18.657941
12.672423,12.672423,18.65972
12.676522,12.676522,18.660664
12.683183,12.683183,18.663904
12.705465,12.705465,18.664354
12.713634,12.713634,18.681541
12.71664,12.71664,18.683182
12.740401,12.740401,18.691096
12.761904,12.761904,18.702313
12.791017,12.791017,18.707482
12.79641,12.79641,18.713519
12.802872,12.802872,18.716137
12.809942,12.809942,18.718281
12.81954,12.81954,18.71891
12.836098,12.836098,18.723679
12.842258,12.842258,18.727501
12.845817,12.845817,18.734693
12.89483,12.89483,18.743347
12.906022,12.906022,18.74352
12.93814,12.93814,18.745578
12.94124,12.94124,18.756083
12.948598,12.948598,18.756389
12.951263,12.951263,18.75921
12.961568,12.961568,18.76108
12.967215,12.967215,18.765224
12.981586,12.981586,18.766655
12.999268,12.999268,18.773702
13.052108,13.052108,18.776035
13.054397,13.054397,18.781637
13.077617,13.077617,18.788549
13.128789,13.128789,18.791155
13.135066,13.135066,18.798981
13.139191,13.139191,18.800301
13.173804,13.173804,18.80772
13.181202,13.181202,18.80857
13.201214,13.201214,18.808951
13.203526,13.203526,18.836157
13.231405,13.231405,18.842566
13.238083,13.238083,18.846491
13.266389,13.266389,18.84652
13.268969,13.268969,18.856732
13.278501,13.278501,18.870232
13.28584,13.28584,18.879758
13.297579,13.297579,18.880028
13.307041,13.307041,18.885348
13.321963,13.321963,18.886244
13.337251,13.337251,18.896261
13.342043,13.342043,18.900068
13.345675,13.345675,18.939291
13.346896,13.346896,18.941142
13.389003,13.389003,18.951107
13.41349,13.41349,18.953954
13.421261,13.421261,18.964142
13.459471,13.459471,18.969042
13.462269,13.462269,18.969573
13.485361,13.485361,18.974086
13.491463,13.491463,18.974175
13.495542,13.495542,18.984879
13.520271,13.520271,18.987809
13.526567,13.526567,18.990971
13.539923,13.539923,18.996099
13.54198,13.54198,19.001417
13.559046,13.559046,19.020362
13.573273,13.573273,19.036966
13.576449,13.576449,19.038454
13.577759,13.577759,19.040335
13.591922,13.591922,19.043857
13.610457,13.610457,19.05399
13.630595,13.630595,19.05556
13.636041,13.636041,19.058898
13.649146,13.649146,19.059937
13.665849,13.665849,19.061795
13.673944,13.673944,19.064222
13.688516,13.688516,19.067397
13.705248,13.705248,19.067512
13.708904,13.708904,19.079993
13.716541,13.716541,19.082421
13.722039,13.722039,19.094642
13.729956,13.729956,19.096219
13.733155,13.733155,19.106969
13.743351,13.743351,19.114491
13.749257,13.749257,19.125193
13.750707,13.750707,19.135827
13.75403,13.75403,19.147801
13.758689,13.758689,19.14863
13.773231,13.773231,19.150488
13.777409,13.777409,19.164591
13.792774,13.792774,19.192462
13.808355,13.808355,19.198736
13.814748,13.814748,19.198947
13.818126,13.818126,19.203309
13.878833,13.878833,19.212019
