PCE,below18,above18
4.42449,4.42449,18.002291
4.694997,4.694997,18.002808
4.992847,4.992847,18.005732
5.167011,5.167011,18.009035
5.333247,5.333247,18.009738
5.792205,5.792205,18.009889
6.295964,6.295964,18.010514
6.694847,6.694847,18.013249
6.9264,6.9264,18.013859
6.982554,6.982554,18.014423
7.001427,7.001427,18.015813
7.002675,7.002675,18.018204
7.038909,7.038909,18.019013
7.053845,7.053845,18.020111
7.27378,7.27378,18.020883
7.276173,7.276173,18.023492
7.290547,7.290547,18.025731
7.325439,7.325439,18.026782
7.333097,7.333097,18.028612
7.4612,7.4612,18.030173
7.498335,7.498335,18.030584
7.588067,7.588067,18.030792
7.588397,7.588397,18.031133
7.618319,7.618319,18.031894
7.636164,7.636164,18.033451
7.636965,7.636965,18.034788
7.677439,7.677439,18.03666
7.679167,7.679167,18.037032
7.754744,7.754744,18.038077
7.801147,7.801147,18.038377
7.826318,7.826318,18.04161
7.918073,7.918073,18.04181
7.928797,7.928797,18.042051
7.977049,7.977049,18.043178
7.984704,7.984704,18.050387
7.987108,7.987108,18.05163
8.013897,8.013897,18.052788
8.113102,8.113102,18.052838
8.141547,8.141547,18.053343
8.187471,8.187471,18.059757
8.311747,8.311747,18.064266
8.314891,8.314891,18.067263
8.362421,8.362421,18.071448
8.429004,8.429004,18.072352
8.430004,8.430004,18.072652
8.437502,8.437502,18.072808
8.439397,8.439397,18.073625
8.439397,8.439397,18.075779
8.450239,8.450239,18.078398
8.506664,8.506664,18.080039
8.513977,8.513977,18.089727
8.514886,8.514886,18.090381
8.524497,8.524497,18.091852
8.547301,8.547301,18.093413
8.573372,8.573372,18.094233
8.575747,8.575747,18.094732
8.634002,8.634002,18.094938
8.637368,8.637368,18.09721
8.652275,8.652275,18.097611
8.687421,8.687421,18.098215
8.707625,8.707625,18.099522
8.732177,8.732177,18.101387
8.737247,8.737247,18.103687
8.795681,8.795681,18.104129
8.822347,8.822347,18.106355
8.855536,8.855536,18.107963
8.867293,8.867293,18.10823
8.87274,8.87274,18.108267
8.873631,8.873631,18.108518
8.964618,8.964618,18.109608
8.993944,8.993944,18.110504
8.995752,8.995752,18.111448
9.031417,9.031417,18.112581
9.036373,9.036373,18.113725
9.038134,9.038134,18.114066
9.041886,9.041886,18.116551
9.046682,9.046682,18.117887
9.057979,9.057979,18.118823
9.073537,9.073537,18.11942
9.10795,9.10795,18.121441
9.120564,9.120564,18.122774
9.121552,9.121552,18.122863
9.122859,9.122859,18.133513
9.141321,9.141321,18.134146
9.150485,9.150485,18.135166
9.15133,9.15133,18.136421
9.163874,9.163874,18.136546
9.168397,9.168397,18.139588
9.182302,9.182302,18.141365
9.196703,9.196703,18.142773
9.204332,9.204332,18.146159
9.205297,9.205297,18.146218
9.209042,9.209042,18.14814
9.233628,9.233628,18.149317
9.246013,9.246013,18.149495
9.282032,9.282032,18.149528
9.298065,9.298065,18.15085
9.332701,9.332701,18.150856
9.340238,9.340238,18.151733
9.340453,9.340453,18.153017
9.359117,9.359117,18.153115
9.37485,9.37485,18.1543
9.423347,9.423347,18.156743
9.462992,9.462992,18.157014
9.466853,9.466853,18.158069
9.484155,9.484155,18.158099
9.502854,9.502854,18.16725
9.504247,9.504247,18.1678
9.511751,9.511751,18.170709
9.516173,9.516173,18.171138
9.555402,9.555402,18.172236
9.570578,9.570578,18.172801
9.578697,9.578697,18.173986
9.585666,9.585666,18.174196
9.610145,9.610145,18.175487
9.639825,9.639825,18.175533
9.684492,9.684492,18.177247
9.688342,9.688342,18.1777
9.691289,9.691289,18.179342
9.696665,9.696665,18.18483
9.708821,9.708821,18.185185
9.709621,9.709621,18.185618
9.711501,9.711501,18.186074
9.725882,9.725882,18.186708
9.745697,9.745697,18.188956
9.749737,9.749737,18.191372
9.754166,9.754166,18.191503
9.764072,9.764072,18.191863
9.767837,9.767837,18.19215
9.786262,9.786262,18.193125
9.79358,9.79358,18.19326
9.807934,9.807934,18.193967
9.825314,9.825314,18.19975
9.864825,9.864825,18.202089
9.886097,9.886097,18.205116
9.888857,9.888857,18.205656
9.915132,9.915132,18.206589
9.935774,9.935774,18.209652
9.968111,9.968111,18.209992
9.974236,9.974236,18.212435
9.97532,9.97532,18.212823
10.009789,10.009789,18.217445
10.021197,10.021197,18.218461
10.025885,10.025885,18.222312
10.026499,10.026499,18.2232
10.027706,10.027706,18.223462
10.054984,10.054984,18.228134
10.061369,10.061369,18.228732
10.084831,10.084831,18.228867
10.085364,10.085364,18.230735
10.086581,10.086581,18.233443
10.092853,10.092853,18.233534
10.098847,10.098847,18.234699
10.102013,10.102013,18.235075
10.109767,10.109767,18.236111
10.112352,10.112352,18.237107
10.11326,10.11326,18.237125
10.118635,10.118635,18.239646
10.12857,10.12857,18.245883
10.134807,10.134807,18.247295
10.139416,10.139416,18.250255
10.139714,10.139714,18.250768
10.142713,10.142713,18.250778
10.144644,10.144644,18.251022
10.151832,10.151832,18.253191
10.161263,10.161263,18.254753
10.170883,10.170883,18.256158
10.173308,10.173308,18.257145
10.184554,10.184554,18.258968
10.188699,10.188699,18.260738
10.203142,10.203142,18.262364
10.207616,10.207616,18.264076
10.225215,10.225215,18.264165
10.231854,10.231854,18.264757
10.238347,10.238347,18.269174
10.250473,10.250473,18.270759
10.252093,10.252093,18.273183
10.259248,10.259248,18.275119
10.260432,10.260432,18.275151
10.266359,10.266359,18.275574
10.269622,10.269622,18.276935
10.270635,10.270635,18.280326
10.272178,10.272178,18.281643
10.275477,10.275477,18.283395
10.277797,10.277797,18.285084
10.301951,10.301951,18.285484
10.314788,10.314788,18.286574
10.319063,10.319063,18.286588
10.334596,10.334596,18.28897
10.364659,10.364659,18.291502
10.384615,10.384615,18.292294
10.397914,10.397914,18.292633
10.411738,10.411738,18.293113
10.428106,10.428106,18.293427
10.435056,10.435056,18.295939
10.442132,10.442132,18.299994
10.448053,10.448053,18.300247
10.451571,10.451571,18.300771
10.458668,10.458668,18.301477
10.46275,10.46275,18.302001
10.464666,10.464666,18.304325
10.466665,10.466665,18.306971
10.473179,10.473179,18.308021
10.484123,10.484123,18.31075
10.489506,10.489506,18.311389
10.498122,10.498122,18.314229
10.513959,10.513959,18.314618
10.51937,10.51937,18.314705
10.520285,10.520285,18.316821
10.530312,10.530312,18.317645
10.5304,10.5304,18.318779
10.531567,10.531567,18.320191
10.566438,10.566438,18.326678
10.576,10.576,18.332101
10.595268,10.595268,18.332586
10.596244,10.596244,18.33307
10.599484,10.599484,18.333621
10.601701,10.601701,18.34163
10.601719,10.601719,18.342115
10.607643,10.607643,18.34241
10.608361,10.608361,18.342485
10.62318,10.62318,18.343297
10.624595,10.624595,18.343403
10.62676,10.62676,18.344891
10.627299,10.627299,18.346947
10.636153,10.636153,18.347466
10.637756,10.637756,18.348373
10.637894,10.637894,18.349104
10.644215,10.644215,18.349785
10.647734,10.647734,18.35215
10.652913,10.652913,18.352438
10.669869,10.669869,18.352688
10.673946,10.673946,18.352808
10.686711,10.686711,18.353062
10.689044,10.689044,18.353276
10.691171,10.691171,18.354214
10.691934,10.691934,18.354337
10.697315,10.697315,18.355004
10.719606,10.719606,18.355316
10.742484,10.742484,18.35618
10.744771,10.744771,18.358009
10.74566,10.74566,18.35916
10.757446,10.757446,18.363531
10.762475,10.762475,18.364351
10.766297,10.766297,18.366842
10.780064,10.780064,18.367975
10.782736,10.782736,18.368403
10.785106,10.785106,18.371052
10.809616,10.809616,18.372565
10.810937,10.810937,18.372788
10.826139,10.826139,18.37586
10.836858,10.836858,18.377562
10.840054,10.840054,18.378305
10.850183,10.850183,18.379473
10.85082,10.85082,18.37987
10.85697,10.85697,18.380836
10.876774,10.876774,18.381928
10.880237,10.880237,18.382039
10.886985,10.886985,18.38326
10.896923,10.896923,18.383575
10.900527,10.900527,18.383699
10.916319,10.916319,18.383857
10.919671,10.919671,18.385369
10.920051,10.920051,18.38807
10.94028,10.94028,18.393681
10.944123,10.944123,18.396963
10.946376,10.946376,18.39871
10.953555,10.953555,18.400414
10.967093,10.967093,18.401202
10.96805,10.96805,18.406647
10.981049,10.981049,18.408676
10.992257,10.992257,18.40989
11.008233,11.008233,18.411642
11.012313,11.012313,18.413405
11.01918,11.01918,18.413416
11.020646,11.020646,18.413465
11.031748,11.031748,18.414232
11.032719,11.032719,18.41436
11.03918,11.03918,18.415022
11.04149,11.04149,18.416737
11.048037,11.048037,18.417404
11.065018,11.065018,18.417896
11.066589,11.066589,18.422826
11.068378,11.068378,18.423114
11.076624,11.076624,18.424716
11.077814,11.077814,18.425935
11.125138,11.125138,18.426192
11.125654,11.125654,18.426747
11.125885,11.125885,18.427639
11.128009,11.128009,18.428097
11.130424,11.130424,18.432979
11.139244,11.139244,18.433793
11.143674,11.143674,18.438019
11.151498,11.151498,18.439294
11.154011,11.154011,18.440886
11.155681,11.155681,18.442523
11.156737,11.156737,18.444191
11.159076,11.159076,18.444718
11.166543,11.166543,18.445661
11.172545,11.172545,18.445825
11.18128,11.18128,18.445886
11.186802,11.186802,18.445891
11.187147,11.187147,18.447551
11.18752,11.18752,18.447931
11.188366,11.188366,18.448119
11.198925,11.198925,18.449679
11.206988,11.206988,18.450397
11.215831,11.215831,18.450753
11.22884,11.22884,18.451082
11.23809,11.23809,18.451427
11.246794,11.246794,18.451818
11.255284,11.255284,18.45237
11.257299,11.257299,18.452476
11.262276,11.262276,18.453926
11.263479,11.263479,18.454133
11.263853,11.263853,18.454201
11.26573,11.26573,18.455455
11.2697,11.2697,18.457433
11.271965,11.271965,18.462402
11.273104,11.273104,18.462738
11.277298,11.277298,18.465682
11.291864,11.291864,18.468151
11.293397,11.293397,18.470713
11.298065,11.298065,18.472712
11.298242,11.298242,18.474054
11.300637,11.300637,18.474214
11.329189,11.329189,18.47469
11.335289,11.335289,18.475098
11.336336,11.336336,18.477363
11.338158,11.338158,18.477775
11.353188,11.353188,18.482575
11.355375,11.355375,18.484037
11.358322,11.358322,18.484994
11.369376,11.369376,18.487021
11.376819,11.376819,18.493161
11.380991,11.380991,18.494545
11.393597,11.393597,18.494834
11.407503,11.407503,18.495521
11.413114,11.413114,18.497354
11.419762,11.419762,18.499365
11.434758,11.434758,18.499576
11.44587,11.44587,18.500901
11.454943,11.454943,18.500959
11.459132,11.459132,18.501446
11.461376,11.461376,18.503783
11.462171,11.462171,18.508798
11.466088,11.466088,18.511727
11.473464,11.473464,18.512061
