PCE,below18,above18
4.269497,4.269497,18.013136
5.283686,5.283686,18.025893
5.894205,5.894205,18.026106
6.168389,6.168389,18.026531
6.292399,6.292399,18.027446
6.674965,6.674965,18.027581
6.780203,6.780203,18.031291
6.861608,6.861608,18.039246
7.191977,7.191977,18.045946
7.345427,7.345427,18.048586
7.375647,7.375647,18.049164
7.486143,7.486143,18.049522
7.498995,7.498995,18.050573
7.503297,7.503297,18.051872
7.503297,7.503297,18.052958
7.545847,7.545847,18.053546
7.768783,7.768783,18.056488
7.771384,7.771384,18.057236
7.843697,7.843697,18.058851
7.915926,7.915926,18.062639
8.023609,8.023609,18.069146
8.044684,8.044684,18.073185
8.100554,8.100554,18.077117
8.109209,8.109209,18.07907
8.111745,8.111745,18.084489
8.184097,8.184097,18.089087
8.269197,8.269197,18.094706
8.341693,8.341693,18.097077
8.350662,8.350662,18.097952
8.36439,8.36439,18.104658
8.392604,8.392604,18.105767
8.432058,8.432058,18.107535
8.498043,8.498043,18.111885
8.519721,8.519721,18.113377
8.574053,8.574053,18.122244
8.58882,8.58882,18.129038
8.864897,8.864897,18.134677
8.907447,8.907447,18.138828
8.936361,8.936361,18.139611
8.992547,8.992547,18.141388
9.035106,9.035106,18.145523
9.059748,9.059748,18.151128
9.068952,9.068952,18.154619
9.156633,9.156633,18.161039
9.215302,9.215302,18.162683
9.246213,9.246213,18.16284
9.2514,9.2514,18.169503
9.339886,9.339886,18.17064
9.385618,9.385618,18.171815
9.408588,9.408588,18.177602
9.420753,9.420753,18.182396
9.434073,9.434073,18.183295
9.480473,9.480473,18.183356
9.540341,9.540341,18.184231
9.644454,9.644454,18.18534
9.656914,9.656914,18.185613
9.678355,9.678355,18.18728
9.684532,9.684532,18.187845
9.70413,9.70413,18.188492
9.718545,9.718545,18.191247
9.738794,9.738794,18.200584
9.769986,9.769986,18.201621
9.776756,9.776756,18.20184
9.809755,9.809755,18.203114
9.836198,9.836198,18.204373
9.844931,9.844931,18.207663
9.860352,9.860352,18.215937
9.87654,9.87654,18.216065
9.902561,9.902561,18.21801
9.905422,9.905422,18.218248
9.918885,9.918885,18.219293
9.974938,9.974938,18.220459
9.985814,9.985814,18.224082
10.05206,10.05206,18.226216
10.095816,10.095816,18.231371
10.117552,10.117552,18.23545
10.166591,10.166591,18.237288
10.172697,10.172697,18.239216
10.173308,10.173308,18.244682
10.210807,10.210807,18.249967
10.22446,10.22446,18.256227
10.237345,10.237345,18.266283
10.242667,10.242667,18.280226
10.243429,10.243429,18.284123
10.251131,10.251131,18.284743
10.280919,10.280919,18.288252
10.297646,10.297646,18.29087
10.320661,10.320661,18.292303
10.321175,10.321175,18.295151
10.325557,10.325557,18.295853
10.355415,10.355415,18.308646
10.360897,10.360897,18.309116
10.375645,10.375645,18.309418
10.407042,10.407042,18.31242
10.441602,10.441602,18.318363
10.473887,10.473887,18.321238
10.484344,10.484344,18.322984
10.513731,10.513731,18.32349
10.528191,10.528191,18.325685
