index,SMILES,frequency
118,c1sc(c2c1c(C#N)ccc2),2
119,Sc1cscc1SC=C,0
120,c1sc(c(c1C#N)C#N)C=C,3
121,c1sc(c2c1C[C@H](C(F)(F)F)CC2)C=C,1
122,c1sc(c2c1cc(SCC)c(SCC)c2)C=C,3
123,c1sc(c2c1CC[C@@H](C=O)C2),3
124,c1sc(c2c1oc(=S)o2)C=C,1
125,c1sc(c2c1sc(=O)s2)C=C,1
126,c1sc(c2c1S(=O)(=O)CCC2),2
127,c1sc(c2c1C[C@H](C#N)[C@@H](C#N)C2),18
128,c1n(C)c(=O)c2c1c(=O)n(C)c2,1
129,c1sc(c2c1[C@H](N)CC[C@H]2N)C=C,5
130,c1sc(C(=O)O)cc1O,2
131,c1sc(c2c1cc(C=O)cc2)C=C,0
132,C1C2CC(=C)O[C@H](C1C=CC2C)CCC,1
133,c1occ(N(=O)=O)c1N,1
134,c1sc(c2c1cc(C=C)cc2),1
135,c1sc(c2c1[nH]c(N(=O)=O)c2),22
136,c1sc(CC)c2c1nc(s2)C=C,3
137,c1c2c(ncs2)c(c2c1ncs2)C=C,2
138,c1sc2cc(C(=O)O)sc2c1,2
139,c1sc2c(c1)C(=O)c1c2sc(c1),3
140,c1sc(c2c1[C@H](C=C)CCC2),1
141,c(s1)c2cc(OC)c(OC)cc2c1,0
142,c1cc(N(=O)=O)c(cc1),1
143,c1sc2c(c1)sc1cc(sc21),1
144,c1c2c(nccc2)c(s1),0
145,c1sc(c2c1nc(OCC)c(OCC)n2),0
146,c1c2ccccc2c(c1=O)C=C,1
147,C1=C[C@@H]2[C@H](C1)[C@@H]1[C@@H](C=CC1)C2=C,0
148,c1sc(c(c1OC)C#N)C=C,1
149,c1sc(c2c1CC[C@@H](O)C2),1
150,c1c(CC)cc(s1)C=C,5
151,c1sc(c2c1C=[S]C=C2)C=C,0
152,c1cc(c(cc1)N(c1ccccc1)c1ccccc1)C=C,2
153,c1sc(c(c1O)OC),1
154,c1nc2c(s1)[C@H]1[C@H](C2(CC)CC)N(CS1),1
155,c1sc(c2c1c(C)ccc2C)C=C,1
156,c(s1)c(CCN)c(CCN)c1,1
157,c1sc(c2c1[nH]nc2),0
158,c1c(nc2cSc12),1
159,c1sc(c(c1O)C(=O)O),0
160,c1[nH]cc2c1S(=O)(=O)C(=C2)C=C,1
161,c1csc2c1c(CC)c(CC)c1c(csc21)C=C,2
162,c1occc1N,3
163,c1sc(c2c1CCC[C@H]2O)C=C,1
164,c1sc(c2c1cc(C(=O)O)c(O)c2)C=C,1
165,c(nc1c2)cs1nc2C=C,1
166,c1sc(c(c1N(=O)=O)C#N),0
167,c1n(CC)nc(c1CC)CCC=C,2
168,c1c(F)cccc1C=C,0
169,C=Cc1oc(c(c1O)O)C=C,1
170,c1c(OC)cc(c(c1)OCC)C=C,1
171,c1sc(c2c1OCCCO2),2
172,c1sc(c2c1c(C(F)(F)F)ccc2OC)C=C,6
173,c1c2c(ccs1)nc1c2sc(c1)C=C,1
174,c1sc(O)c(c1),1
175,C=C,0
176,c1sc(c(c1C(F)(F)F)C(F)(F)F)C=C,0
177,C1=CC=C(C1=O),0
178,C=C(C)CNC=C,1
179,c1sc(c2c1OSCS2)C=C,0
180,N1CN[C@@H]2N[C@H]3[C@@H](N[C@H]12)NCN3C=C,1
181,C1=C(Oc2c(csc2)O1)C=C,0
182,c1sc2c(c1)c1c(scc1)c(c2),1
183,c1sc(c2c1CCC[C@H]2C=O)C=C,1
184,c1sc(c2c1oc(=O)c(=O)s2),0
185,c1sc(c(c1OC)OC),1
186,c1sc2c(c1)C(C)(C)c1c2sc(c1)C=C,15
187,c1sc(c2c1oc(=O)c(=O)o2),0
188,c1occc1C=CC=C,0
189,c1c(cc2c(c1)nccn2),0
190,c1sc(c2c1[C@H](S)CC[C@H]2O),0
191,c1c(C)Nc(C)c1C=C,1
192,c1c(OCC)cc(CC)c(OCC)c1C=C,0
193,c1sc(c2c1CC[C@@H](OC)C2),0
194,C=Cc1oc(c(c1O)O)C=CC=C,0
195,c1sc(c2c1oc(=O)c(=O)s2)C=C,1
196,c1sc(c2c1sc(=O)c(=O)s2)C=C,5
197,c1c2c(=O)sc(=O)c2c(c2c1c(=O)oc2=O)C=C,1
198,C1C(=O)O[C@H]2[C@@H]1CC[C@H]1[C@@H]2OC(=O)C1,0
199,c1sc(c(c1C(F)(F)F)C(F)(F)F),1
200,c1ccc(c2c1cccn2),0
201,c1sc(c2c1cc(OC)c(OC)c2),0
202,c1sc(c2c1cc(C(F)(F)F)c(OC)c2),1
203,c1oc(cc1C(=O)C),0
204,c1sc(c2c1C[C@H](C(=O)C)CC2)C=C,2
205,c1sc(c2c1c(S)ccc2)C=C,0
206,Nc1sc(N(=O)=O)cc1C=C,0
207,c1csc2c1cc(c1c2scc1),2
208,c1c(OC)sc(OC)c1C=C,0
209,C1SC=C1C(=O)OC,3
210,c1c(C(F)(F)F)sc(OC)c1C=C,0
211,c1c(C)cc(CC)c(C)c1C=C,0
212,c1sc(c2c1cc(C)c(OC)c2)C=C,1
213,c1sc(c2c1[C@H](C=C)CCC2)C=C,1
214,C1=CC(=C2[C@H]1CCS2),1
215,c1sc(c2c1[C@H](C)CCC2)C=C,0
216,c1sc(c2c1OSCS2),0
217,c1sc(c2c1c(C)ccc2C),0
218,c1sc(c2c1c(C(F)(F)F)ccc2),1
219,c1sc(O)c(c1)C=C,0
220,C1=[S]C(=S)C2=C1C=C(S2(=O)=O),0
221,c1sc2c(n1)Cc1c2sc(c1)C=C,14
222,c1sc(c2c1cc(F)c(F)c2)C=C,1
223,c1cc2c(C(CN)CN)c3cC(ccc3c2cc1),0
224,c1sc(CC)c(c1CC)C=C,0
225,C1SC[C@](C1)(C(=O)N)N,1
226,c1sc(c2c1OCO2),0
227,Nc1cscc1NC=C,3
228,c1sc(c(c1)N(=O)=O),1
229,c1c(OCC)c(cc(c1)OCC)C=C,0
230,c1cc(cc2c1ccc1c2cccc1)C=C,0
231,C=CC=CC=C,0
232,c1c2c(nccn2)c(c2c1nccn2)C=C,3
233,N1[C@@H]2C[C@@H]3NSN[C@@H]3C[C@@H]2N(S1),1
