index,SMILES,frequency
102,c(s1)cc(c(CC)c(CC)2)c1c(s3)c2cc3C=C,0
103,N1N[C@H]2[C@@H](C)[C@@H]3[C@@H](NSN3)[C@H](C)[C@H]2N1,1
104,c1sc(c2c1ocn2),1
105,c1c2c(nccn2)c(c2c1nccn2),0
106,c1sc(c2c1c(C)ccc2),1
107,c1occ(N(=O)=O)c1NC=C,1
108,c1sc(c2c1cc(C(F)(F)F)c(C#N)c2)C=C,1
109,c1[nH]cc(c1C)C=C,0
110,c1oc(cc1C(F)(F)F),0
111,c1sc(c2c1[nH]cn2)C=C,0
112,C1=CC=C(C1=S)C=C,0
113,c1sc(c2c1[C@H](OC)CCC2),0
114,N1[C@H]2CSC[C@H]2N(S1)C=C,0
115,c1sc(c2c1[C@H](C(F)(F)F)CC[C@H]2C(F)(F)F)C=C,0
116,N1C(=O)C=C(C1=O)C=C,0
117,NCc1cc(OCC)c(cc1OCC)CNC=C,1
118,c1oc(cc1C(=O)OC)C=C,0
119,c1c(C(F)(F)F)sc(C#N)c1,0
120,c1scc2c1c(c(cc2)O),0
121,c1scc2c1N(CCN2C(=O)O)C=C,0
122,c1sc(c2c1[C@H](C)CC[C@H]2C=C)C=C,1
123,C1SCN2[C@H]1NCC2,1
124,c1[nH]cnc1C=C,0
125,c1sc(c2c1cc(OC)c(OC)c2)C=C,0
126,c1sc(c2c1nc(N)c(N)n2)C=C,0
127,c1ccc(cc1)C=C,1
128,c1sc(c(c1C(=O)O)OC)C=C,0
129,c1sc(c2c1[nH]nc2)C=C,0
130,c1ccc(cc1),0
131,c1sc(c2c1[C@H](OC)CCC2)C=C,0
132,c1c2c(OCN2)c(s1),2
133,c1oc(cc1C=O),0
134,c1scc2c1C(=[S@@](OC)C(=C2)OC)C=C,0
135,c1cc2c(cc1)c1c(C2(CC)CC)cc(cc1),99
136,C=CC=C,1
137,c1sc(cc1)c1ccc(s1)c1sc(cc1)C=C,76
138,C1=Cc2[nH]c(cc2C1),0
139,c1sc(c2c1[C@H](N(=O)=O)CC[C@H]2N(=O)=O),0
140,c1oc2CCc2c1,0
141,c1c(CC)sc(c1),1
142,C1C[C@@H]2[C@@H](CC1)N(CC)[C@@H]1[C@@H](S2)CCCC1C=C,0
143,c1cCcc1C=C,2
144,c1sc(nn1)C=C,0
145,c1sccc1OC=C,1
146,C#Cc1sc(cc1)C#C,0
147,c1sc(c2c1CC[C@@H](N)C2),0
148,c1c(OC)sc(OC)c1,0
149,c1c(C(=O)c2cscc2C(=O)c2ccccc2)ccc(c1),50
150,c1sc2c(c1)n(C)c1c2sc(c1)C=C,0
151,c1sc2c(c1)n(C)c1c2sc(c1),0
152,c1sc(c(c1OC)C(F)(F)F)C=C,0
153,c1sc(c2c1cc(C)c(C)c2),0
154,N(CC)c1ccc(c(c1)C=C)N(CC)C=C,1
155,c1sc(c2c1C[C@H](N(=O)=O)[C@@H](N(=O)=O)C2),0
156,C1=Cc2[nH]c(cc2C1)C=C,0
157,c1sccc1SC=C,0
158,c1c2C(=O)OCc2ccc1,0
159,c1sc(c2c1c(C=C)ccc2),0
160,c1sc(c2c1C(=O)NC2=O),0
161,c1n(CC)c(cc1)C=C,1
162,c1scc2c1[C@@H](CC[C@H]2N(=O)=O)NC=C,0
163,c1sc(c2c1CCC[C@H]2N(=O)=O),0
164,c1sc(c2c1c(C=C)ccc2C),0
165,C1=C/C(/C(=C1)OC)=C\1/C=C(C=C1OC)C=C,0
166,c1cc2c(s1)c1c([nH]2)cc(s1),0
167,c1oc(c(c1C#N)C(F)(F)F)C=C,0
168,c1sc(c2c1SCCCS2),0
169,c1cc2c(cs1)c1c(ccs1)c2C=C,91
170,c1c2nsnc2c(c2c1nc(CC)c(CC)n2),0
171,c1oc(cc1C)C=C,1
172,c(s1)c2NCOc2c1,1
173,c1sc(c2c1OCCCC2)C=C,1
174,c1nc2c(c(=O)c3c2ncc3)c1C=C,53
175,c1sc(c2c1[C@H](C#N)CC[C@H]2OC),0
