gen,filename,deltaHOMO,summedoscs,PCE,donor
3,18_600_44_600_18,0.570000,5.067751,12.566840,PBDB-T-SF,
3,235_563_135_563_235,0.910000,4.005176,12.550374,PBDB-T-SF,
3,179_323_150_323_179,0.510000,5.073112,12.318921,PBDB-T-SF,
3,179_323_104_323_179,0.330000,5.404399,12.009204,PBDB-T-SF,
3,273_274_127_274_273,0.890000,3.647462,11.972701,PBDB-T-SF,
3,293_713_104_713_293,0.250000,5.456921,11.741127,PBDB-T-SF,
3,111_312_127_312_111,0.830000,3.598169,11.649526,PBDB-T-SF,
3,126_523_135_523_126,0.320000,5.086877,11.529426,PBDB-T-SF,
3,125_274_127_274_125,0.830000,3.369966,11.335289,PBDB-T-SF,
3,273_713_104_713_273,0.330000,4.648296,10.968050,PBDB-T-SF,
3,204_600_44_600_204,0.170000,3.955087,9.332701,PBDB-T-SF,
3,111_274_127_274_111,1.260000,0.000000,8.524497,PBDB-T-SF,
4,12_377_59_377_12,1.540000,5.750767,17.634702,PBDB-T-SF,
4,62_275_75_275_62,0.590000,8.178344,16.935226,PBDB-T-SF,
4,12_312_59_312_12,1.000000,6.768575,16.738524,PBDB-T-SF,
4,293_179_59_179_293,0.840000,6.705613,15.971026,PBDB-T-SF,
4,62_543_64_543_62,0.850000,6.502256,15.733552,PBDB-T-SF,
4,76_275_127_275_76,0.650000,7.076392,15.673138,PBDB-T-SF,
4,62_543_75_543_62,0.570000,7.318614,15.666278,PBDB-T-SF,
4,12_665_64_665_12,1.000000,5.971692,15.641217,PBDB-T-SF,
4,12_390_59_390_12,0.840000,6.312410,15.429585,PBDB-T-SF,
4,111_275_59_275_111,0.730000,6.640410,15.413191,PBDB-T-SF,
4,293_275_104_275_293,0.400000,7.419388,15.081694,PBDB-T-SF,
4,12_390_3_390_12,0.720000,6.277647,14.871116,PBDB-T-SF,
4,293_543_64_543_293,0.780000,5.693456,14.321985,PBDB-T-SF,
4,12_66_64_66_12,0.700000,5.826508,14.164799,PBDB-T-SF,
4,211_275_55_275_211,0.710000,5.559295,13.839396,PBDB-T-SF,
4,204_275_104_275_204,0.370000,6.542922,13.747150,PBDB-T-SF,
4,293_312_55_312_293,0.770000,5.019008,13.350720,PBDB-T-SF,
4,12_377_150_377_12,0.790000,4.887431,13.254639,PBDB-T-SF,
4,179_323_55_323_179,0.640000,5.314086,13.203893,PBDB-T-SF,
4,125_179_122_179_125,0.750000,4.967376,13.194523,PBDB-T-SF,
4,111_275_55_275_111,0.640000,5.275670,13.150995,PBDB-T-SF,
4,293_713_59_713_293,0.610000,5.344191,13.117697,PBDB-T-SF,
4,111_312_55_312_111,0.720000,4.810556,12.850933,PBDB-T-SF,
4,293_179_112_179_293,0.370000,5.720825,12.615122,PBDB-T-SF,
4,76_377_127_377_76,0.590000,5.027903,12.597070,PBDB-T-SF,
4,141_275_55_275_141,0.620000,4.703980,12.278677,PBDB-T-SF,
4,125_377_122_377_125,0.650000,3.818591,11.187147,PBDB-T-SF,
4,125_12_3_12_125,0.660000,3.381120,10.627299,PBDB-T-SF,
4,163_377_59_377_163,1.060000,2.017484,10.451571,PBDB-T-SF,
4,293_685_64_685_293,0.220000,4.300581,10.021197,PBDB-T-SF,
4,125_179_127_179_125,0.320000,3.749851,9.688342,PBDB-T-SF,
4,281_377_75_377_281,1.210000,0.000000,8.311747,PBDB-T-SF,
5,62_275_59_275_62,0.960000,8.006672,18.273183,PBDB-T-SF,
5,76_275_59_275_76,0.940000,7.848014,17.969611,PBDB-T-SF,
5,12_377_59_377_12,1.540000,5.750767,17.634702,PBDB-T-SF,
5,62_275_75_275_62,0.590000,8.178344,16.935226,PBDB-T-SF,
5,12_744_59_744_12,1.090000,6.534020,16.798492,PBDB-T-SF,
5,12_275_59_275_12,0.920000,7.031066,16.759574,PBDB-T-SF,
5,12_312_59_312_12,1.000000,6.768575,16.738524,PBDB-T-SF,
5,12_275_64_275_12,0.900000,6.534272,15.990389,PBDB-T-SF,
5,293_179_59_179_293,0.840000,6.705613,15.971026,PBDB-T-SF,
5,62_543_64_543_62,0.850000,6.502256,15.733552,PBDB-T-SF,
5,76_275_127_275_76,0.650000,7.076392,15.673138,PBDB-T-SF,
5,62_543_75_543_62,0.570000,7.318614,15.666278,PBDB-T-SF,
5,12_665_64_665_12,1.000000,5.971692,15.641217,PBDB-T-SF,
5,12_390_64_390_12,0.870000,6.267092,15.494832,PBDB-T-SF,
5,12_390_59_390_12,0.840000,6.312410,15.429585,PBDB-T-SF,
5,111_275_59_275_111,0.730000,6.640410,15.413191,PBDB-T-SF,
5,293_275_104_275_293,0.400000,7.419388,15.081694,PBDB-T-SF,
5,12_390_3_390_12,0.720000,6.277647,14.871116,PBDB-T-SF,
5,12_390_104_390_12,0.510000,6.851573,14.767862,PBDB-T-SF,
5,12_543_59_543_12,0.780000,5.762184,14.416624,PBDB-T-SF,
5,62_836_104_836_62,0.750000,5.809192,14.353704,PBDB-T-SF,
5,293_543_64_543_293,0.780000,5.693456,14.321985,PBDB-T-SF,
5,12_66_64_66_12,0.700000,5.826508,14.164799,PBDB-T-SF,
5,211_275_55_275_211,0.710000,5.559295,13.839396,PBDB-T-SF,
5,204_275_104_275_204,0.370000,6.542922,13.747150,PBDB-T-SF,
5,12_179_64_179_12,0.830000,4.972960,13.542613,PBDB-T-SF,
5,111_275_75_275_111,0.430000,6.119019,13.418736,PBDB-T-SF,
5,293_543_104_543_293,0.390000,5.858244,12.889449,PBDB-T-SF,
5,204_275_3_275_204,0.380000,5.878983,12.875456,PBDB-T-SF,
5,204_677_64_677_204,0.680000,4.570178,12.349731,PBDB-T-SF,
5,210_312_64_312_210,0.880000,3.457610,11.668726,PBDB-T-SF,
5,293_8_104_8_293,0.240000,4.823343,10.826139,PBDB-T-SF,
6,62_135_59_135_62,1.330000,7.291157,18.862270,PBDB-T-SF,
6,62_275_59_275_62,0.960000,8.006672,18.273183,PBDB-T-SF,
6,76_275_59_275_76,0.940000,7.848014,17.969611,PBDB-T-SF,
6,12_377_59_377_12,1.540000,5.750767,17.634702,PBDB-T-SF,
6,62_169_127_169_62,0.450000,8.615912,16.942057,PBDB-T-SF,
6,62_275_75_275_62,0.590000,8.178344,16.935226,PBDB-T-SF,
6,12_744_59_744_12,1.090000,6.534020,16.798492,PBDB-T-SF,
6,12_275_59_275_12,0.920000,7.031066,16.759574,PBDB-T-SF,
6,12_312_59_312_12,1.000000,6.768575,16.738524,PBDB-T-SF,
6,12_390_5_390_12,0.930000,6.721207,16.375449,PBDB-T-SF,
6,62_543_59_543_62,0.670000,7.254644,16.003692,PBDB-T-SF,
6,12_275_64_275_12,0.900000,6.534272,15.990389,PBDB-T-SF,
6,293_179_59_179_293,0.840000,6.705613,15.971026,PBDB-T-SF,
6,12_275_75_275_12,0.630000,7.335956,15.945458,PBDB-T-SF,
6,62_543_64_543_62,0.850000,6.502256,15.733552,PBDB-T-SF,
6,76_275_127_275_76,0.650000,7.076392,15.673138,PBDB-T-SF,
6,62_543_75_543_62,0.570000,7.318614,15.666278,PBDB-T-SF,
6,12_665_64_665_12,1.000000,5.971692,15.641217,PBDB-T-SF,
6,12_390_64_390_12,0.870000,6.267092,15.494832,PBDB-T-SF,
6,12_390_59_390_12,0.840000,6.312410,15.429585,PBDB-T-SF,
6,111_275_59_275_111,0.730000,6.640410,15.413191,PBDB-T-SF,
6,62_543_136_543_62,0.600000,6.880098,15.190092,PBDB-T-SF,
6,12_543_136_543_12,0.640000,6.339192,14.615464,PBDB-T-SF,
6,76_312_127_312_76,0.800000,5.512256,14.157574,PBDB-T-SF,
6,293_275_174_275_293,0.310000,6.479098,13.403965,PBDB-T-SF,
6,12_543_69_543_12,0.550000,5.592007,13.203640,PBDB-T-SF,
6,12_312_142_312_12,0.440000,5.902525,13.163174,PBDB-T-SF,
6,293_179_118_179_293,0.400000,5.561250,12.523038,PBDB-T-SF,
6,12_275_233_275_12,0.100000,6.116288,12.010825,PBDB-T-SF,
6,242_179_59_179_242,0.750000,3.841045,11.643565,PBDB-T-SF,
6,12_543_25_543_12,0.180000,4.872039,10.637894,PBDB-T-SF,
6,293_189_75_189_293,0.110000,3.484936,8.430004,PBDB-T-SF,
7,62_135_59_135_62,1.330000,7.291157,18.862270,PBDB-T-SF,
7,62_275_59_275_62,0.960000,8.006672,18.273183,PBDB-T-SF,
7,62_169_59_169_62,0.690000,8.752786,18.151733,PBDB-T-SF,
7,76_275_59_275_76,0.940000,7.848014,17.969611,PBDB-T-SF,
7,12_377_59_377_12,1.540000,5.750767,17.634702,PBDB-T-SF,
7,62_275_64_275_62,0.840000,7.761542,17.425040,PBDB-T-SF,
7,12_275_5_275_12,0.780000,7.815847,17.244517,PBDB-T-SF,
7,62_169_127_169_62,0.450000,8.615912,16.942057,PBDB-T-SF,
7,62_275_75_275_62,0.590000,8.178344,16.935226,PBDB-T-SF,
7,12_744_59_744_12,1.090000,6.534020,16.798492,PBDB-T-SF,
7,12_275_59_275_12,0.920000,7.031066,16.759574,PBDB-T-SF,
7,12_312_59_312_12,1.000000,6.768575,16.738524,PBDB-T-SF,
7,41_275_64_275_41,0.840000,7.036853,16.427143,PBDB-T-SF,
7,12_390_5_390_12,0.930000,6.721207,16.375449,PBDB-T-SF,
7,62_543_59_543_62,0.670000,7.254644,16.003692,PBDB-T-SF,
7,12_275_64_275_12,0.900000,6.534272,15.990389,PBDB-T-SF,
7,293_179_59_179_293,0.840000,6.705613,15.971026,PBDB-T-SF,
7,12_275_75_275_12,0.630000,7.335956,15.945458,PBDB-T-SF,
7,62_275_127_275_62,0.710000,7.085826,15.941429,PBDB-T-SF,
7,62_883_59_883_62,0.750000,6.915782,15.877479,PBDB-T-SF,
7,62_543_64_543_62,0.850000,6.502256,15.733552,PBDB-T-SF,
