,SMILES,new name,old name,homo,lumo,bandgap,new dft filename
62,C1=CC=C2C(=C1)N(C)C(C2(C3=CC=CC=C3)C4=CC=CC=C4)=C,62dtl,18utl,-5.156856792,-0.631739515,4.525117277,
63,C1=CC=C2C(=C1)OC(=C2),63dtl,2dtl,-6.219570224,-0.766762408,5.452807816,
64,C=C1C=C/C(/S1)=C/2\C=CC(S2)=C,47dc,24u,-4.968417951,-2.284450198,2.683967753,
65,C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3),48dc,38u,-6.220604257,-3.572337841,2.648266416,
66,C1(=S)SC(C(=S)N1C)=C,66dtl,37atl,-6.365640939,-3.049797614,3.315843325,
67,C1=C(F)C(OC)=C(C(=C1OC)F),49dc,8u,-5.676512613,-0.342128744,5.334383868,
68,C1=CC=NC2=NC(=C(N12)C),68dtl,24utl,-6.060111508,-1.588301334,4.471810174,
69,C1=CC=C(C2=C[Si]C=C12),50dc,56u,-5.502278114,-3.568256133,1.934021981,
70,C1(=CC=C2C(=C1)S/C(=C\C=C\3/C(=C(C#N)C#N)C4=C(C3=O)C=CC=C4)/N2C),70dtl,16utl,-5.694390492,-2.913659054,2.780731438,
71,C1=CC=C2C(=C1)N(C)C(=O)/C/2=C\3/C(=O)N(C)C4=C3C=CC(=C4),51dc,42u,-5.807834757,-2.855290633,2.952544123,
72,c1(c(=O)n(/c(=C/2\C(=O)N(C(=S)S2)C)/s1)C)=C,72dtl,26atl,-6.096438707,-2.716539781,3.379898926,
73,C1=C2C(SC(=N2)C)=C(S1),52dc,9a,-6.055757686,-1.188157917,4.867599769,
74,C1=CC2=C(S1)C1=C(CO2)C=C(S1),53dc,63u,-5.323635371,-1.339453218,3.984182153,
75,C1=CC2=C(S1)C3=C(C2(C)C)C=C(S3),54dc,1d,-5.368343677,-1.198307763,4.170035913,
76,C1=CC(=CC=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C,76dtl,1dtl,-5.102923827,-0.618841319,4.484082508,
77,C1=C2C(N=CS2)=C(C2=C1N=CS2),55dc,11a,-6.371627444,-1.751624067,4.620003377,
78,C1=CC(Cl)=C(S1)C2=C(Cl)C=C(S2),56dc,54u,-5.855971697,-1.640057388,4.215914309,
79,C1=C(C=CC(=C1)N),79dtl,15utl,-5.552619176,-0.04674916,5.505870017,
80,C1=C(OC)C(OC)=C(C2C1=NSN=2),57dc,1a,-6.389478112,-2.157509086,4.231969026,
81,C1=C2C(=CC=C1)NC(=N2),81dtl,7utl,-6.294619224,-0.647413273,5.647205951,
82,C1=Cc2c(S1)c3c(s2)C=C(N3C),58dc,13d,-5.26447782,-0.698842791,4.565635029,
83,C(\C1=CC=C(C=C1)C(=O)O)=C(/C2=CC=C(C=C2)C(=O)O),59dc,27u,-6.525535037,-2.750417955,3.775117082,
84,C1=C2C(N(C1=O)C)=C(C(=O)N2C),60dc,19a,-6.432880271,-2.509379507,3.923500765,
85,C1=C(OC)C(OC)=C(C=C1),61dc,14u,-5.566524194,0.139676039,5.706200234,
86,C1=C2C(C(=O)N1C)=C(N(C2=O)C),62dc,17u,-5.655804748,-2.325920349,3.3298844,
87,N1(C)C(=S)N(C)C(=O)C(C1=O)=C,87dtl,17atl,-6.272659636,-2.959972832,3.312686805,
88,c1c(OC)c(ccc1),88,989,-6.080247932,-0.221636731,5.858611201,
89,c(s1)c2ncsc2c1C=C,89,642,-5.868080763,-1.698153695,4.169927068,duplicate
90,c1sc(c2c1C[C@H](F)[C@@H](F)C2)C=C,90,193,-6.122398368,-1.460625515,4.661772853,
91,C1=C(c2cscc12)C=C,91,923,-5.368289254,-1.92515107,3.443138184,
92,c1sc(c(c1OC)C#N),92,329,-6.442948484,-1.486721234,4.95622725,
93,c1oc(c(c1C(F)(F)F)OC),93,866,-6.482459415,-0.324196441,6.158262974,
94,c1sc(c2c1CC[C@@H](O)C2)C=C,94,478,-5.946912146,-1.265247771,4.681664375,
95,C1=[S]C(=O)C2=C1C(=O)[S]=C2,95,261,-6.674354102,-3.242753545,3.431600557,
96,c1occ(C)c1C=C,96,609,-5.964735603,-0.748993374,5.215742229,
97,c1c(C)c(c2c1ccco2),97,6,-5.385323581,-1.79450921,3.590814371,6
98,c1c2c(sc(C(=O)OCC)c2F)c(s1)C=C,98,201,-5.765412207,-2.16937325,3.596038957,
99,c1sc(c2c1CC(=O)C(=O)C2)C=C,99,15,-6.293530769,-2.416071667,3.877459102,15
100,c1sc(c(c1)C=O)C=C,100,166,-6.568882774,-2.056609271,4.512273503,
101,C(=[N])/N=C(\C1=CSC=[S]1),101,772,-4.163450758,-3.478893944,0.684556814,
102,c1c(OC)cc(c(c1)OCC(CC)CC)C=C,102,217,-5.480345738,-0.992725749,4.487619989,
103,c1[nH]c(C=C)c(c1),103,308,-5.386221557,-0.539193595,4.847027962,
104,c1sc(c2c1cc[nH]2),104,832,-5.214898677,-0.616827676,4.598071001,
105,c1c2c(=O)sc(=O)c2c(c2c1c(=O)sc2=O)C=C,105,328,-7.418258947,-3.909323633,3.508935314,
106,Nc1cscc1N,106,761,-5.228667637,0.224385081,5.453052718,
107,c1sc(c(c1OC)C(F)(F)F),107,276,-6.411845871,-0.86994798,5.541897891,
108,c(s1)c2c(=O)c3cn(CC)cc3c(=O)c2c1,108,343,-6.604284786,-2.091820803,4.512463983,
109,N(CC)c1cscc1N(CC)C=C,109,102,-5.247008111,-0.31159757,4.935410541,
110,c1c2c(ncc(C)n2)c(s1)C=C,110,327,-5.831100491,-2.433432531,3.39766796,
111,c1sc(c(c1O)C(=O)O)C=C,111,532,-6.168820991,-2.338655277,3.830165714,
112,c(s1)c2ccs(=N)(=O)c2c1,112,420,-6.337722058,-1.896932863,4.440789195,duplicate
113,c1sc(c2c1sc(=S)o2)C=C,113,596,-6.365831419,-2.047711148,4.318120271,
114,c1sc(c2c1c(C(=O)C)ccc2)C=C,114,198,-5.552918502,-2.417024066,3.135894436,
115,c1sc(c2c1C[C@H](C(=O)C(F)(F)F)CC2)C=C,115,750,-5.881441553,-1.795869779,4.085571774,
116,c1c2[nH]cnc2c(c2c1[nH]cn2),116,424,-5.746119335,-0.835933749,4.910185586,
117,C1SC=C1C(=O)CC=C,117,297,-6.341558863,-1.828033636,4.513525227,
118,c1sc2c(c1CC)sc(c2CC)C=C,118,740,-5.569109276,-1.410774258,4.158335018,
119,c1sc(c2c1ccc(F)c2)C=C,119,411,-5.510686432,-1.984934482,3.52575195,
120,c1sc(c2c1[C@H](F)[C@H](F)[C@@H](F)[C@H]2F)C=C,120,651,-6.67549698,-1.848224484,4.827272496,
121,c1c(CC)c(ccc1)C=C,121,173,-6.258128757,-0.987310684,5.270818073,
122,c1sc(c2c1c(S)ccc2O),122,159,-5.391037972,-1.596628018,3.794409954,
123,c1[nH]c(/C=C/c2[nH]ccc2)c(c1)C=C,123,626,-4.777720564,-1.161164223,3.616556341,
124,C=NNc1ccc(cc1)C=C,124,294,-5.371581832,-1.044182479,4.327399353,
125,C(C(=O)1)C(=O)C1,125,648,-6.936018781,-1.797284771,5.13873401,
126,c1oc2c(n1)cc1c(c2)oc(n1),126,931,-6.81340428,-1.484027306,5.329376974,
127,c(s1)cc(c(CC)c(CC)2)c1c(s3)c2cc3C=C,127,997,-5.57822509,-1.594641587,3.983583503,
128,N1N[C@H]2[C@@H](C)[C@@H]3[C@@H](NSN3)[C@H](C)[C@H]2N1,128,335,-6.17823613,0.275488062,6.453724192,
129,c1sc(c2c1ocn2),129,215,-6.442431468,-1.287642741,5.154788727,
130,c1c2c(nccn2)c(c2c1nccn2),130,537,-6.74091315,-3.022395749,3.718517401,
131,c1sc(c2c1c(C)ccc2),131,55,-5.508727212,-1.527592734,3.981134478,
132,c1occ(N(=O)=O)c1NC=C,132,241,-5.77036468,-2.570659546,3.199705134,
133,c1sc(c2c1cc(C(F)(F)F)c(C#N)c2)C=C,133,762,-6.215842264,-2.884352393,3.331489871,
134,c1[nH]cc(c1C)C=C,134,389,-5.489597609,0.004163342,5.493760951,
135,c1oc(cc1C(F)(F)F),135,521,-7.061163941,-0.46523305,6.595930891,
136,c1sc(c2c1[nH]cn2)C=C,136,986,-5.382330329,-1.372025246,4.010305083,
137,C1=CC=C(C1=S)C=C,137,246,-6.038913839,-3.590623892,2.448289947,
138,c1sc(c2c1[C@H](OC)CCC2),138,911,-6.175977585,-0.371789154,5.804188431,
139,N1[C@H]2CSC[C@H]2N(S1)C=C,139,634,-5.042541764,-0.763524253,4.279017511,
140,c1sc(c2c1[C@H](C(F)(F)F)CC[C@H]2C(F)(F)F)C=C,140,527,-6.377722794,-1.334936128,5.042786666,
141,N1C(=O)C=C(C1=O)C=C,141,82,-7.252759303,-2.923074193,4.32968511,
142,NCc1cc(OCC)c(cc1OCC)CNC=C,142,608,-5.33166273,-0.237120009,5.094542721,
143,c1oc(cc1C(=O)OC)C=C,143,511,-6.155868372,-1.247097777,4.908770595,
144,c1c(C(F)(F)F)sc(C#N)c1,144,67,-7.671624153,-2.479936788,5.191687365,
145,c1scc2c1c(c(cc2)O),145,564,-5.399908883,-1.461605125,3.938303758,
146,c1scc2c1N(CCN2C(=O)O)C=C,146,106,-5.609436548,-1.069271376,4.540165172,
147,c1sc(c2c1[C@H](C)CC[C@H]2C=C)C=C,147,775,-5.706553982,-1.224403482,4.4821505,
148,C1SCN2[C@H]1NCC2,148,234,-5.786364974,0.917459058,6.703824032,
149,c1[nH]cnc1C=C,149,767,-5.828705889,-0.452552545,5.376153344,
150,c1sc(c2c1cc(OC)c(OC)c2)C=C,150,884,-6.195624205,-0.404633296,5.790990909,
151,c1sc(c2c1nc(N)c(N)n2)C=C,151,562,-5.291444303,-1.741583066,3.549861237,
152,c1ccc(cc1)C=C,152,95,-6.280278824,-1.142932595,5.137346229,
153,c1sc(c(c1C(=O)O)OC)C=C,153,476,-6.487847269,-1.871190893,4.616656376,
154,c1sc(c2c1[nH]nc2)C=C,154,809,-5.480672274,-1.755841832,3.724830442,
155,c1ccc(cc1),155,169,-6.967148605,-0.253963857,6.713184748,
156,c1sc(c2c1[C@H](OC)CCC2)C=C,156,345,-5.744568287,-1.071693189,4.672875098,
157,c1c2c(OCN2)c(s1),157,64,-5.381976581,-0.036626524,5.345350057,duplicate
158,c1oc(cc1C=O),158,322,-6.950576872,-1.608437759,5.342139113,
159,c1scc2c1C(=[S@@](OC)C(=C2)OC)C=C,159,216,-5.149509718,-1.58253252,3.566977198,
160,c1cc2c(cc1)c1c(C2(CC)CC)cc(cc1),160,380,-5.980817532,-1.078060653,4.902756879,
161,C=CC=C,161,60u,-6.485289399,-0.937677117,5.547612282,duplicate
162,c1sc(cc1)c1ccc(s1)c1sc(cc1)C=C,162,637,-5.285675489,-1.952308032,3.333367457,
163,C1=Cc2[nH]c(cc2C1),163,379,-5.036936218,-0.207051429,4.829884789,
164,c1sc(c2c1[C@H](N(=O)=O)CC[C@H]2N(=O)=O),164,378,-7.227888097,-2.063602597,5.1642855,
165,c1oc2CCc2c1,165,776,-5.988899313,0.282073217,6.27097253,
166,c1c(CC)sc(c1),166,94,-6.222563476,-0.347271696,5.87529178,
167,C1C[C@@H]2[C@@H](CC1)N(CC)[C@@H]1[C@@H](S2)CCCC1C=C,167,366,-5.303879906,0.301012341,5.604892247,
168,c1cCcc1C=C,168,305,-5.8540669,-0.979228902,4.874837998,
169,c1sc(nn1)C=C,169,607,-7.051177362,-1.911953548,5.139223814,
170,c1sccc1OC=C,170,614,-6.026124488,-0.618052189,5.408072299,
171,C#Cc1sc(cc1)C#C,171,181,-6.14522872,-1.838754922,4.306473798,
172,c1sc(c2c1CC[C@@H](N)C2),172,312,-6.234073892,-0.425422794,5.808651098,
173,c1c(OC)sc(OC)c1,173,156,-5.168231151,0.385775806,5.554006957,
174,c1c(C(=O)c2cscc2C(=O)c2ccccc2)ccc(c1),174,939,-6.815254654,-1.854401468,4.960853186,
175,c1sc2c(c1)n(C)c1c2sc(c1)C=C,175,85,-5.111304934,-1.374583116,3.736721818,
176,c1sc2c(c1)n(C)c1c2sc(c1),176,3d,-5.269620772,-0.758109187,4.511511584,duplicate
177,c1sc(c(c1OC)C(F)(F)F)C=C,177,337,-6.119024156,-1.59273679,4.526287366,
178,c1sc(c2c1cc(C)c(C)c2),178,249,-5.373649897,-1.439727172,3.933922725,
179,N(CC)c1ccc(c(c1)C=C)N(CC)C=C,179,206,-4.90474331,-0.956752298,3.947991012,
180,c1sc(c2c1C[C@H](N(=O)=O)[C@@H](N(=O)=O)C2),180,569,-6.756151526,-2.470984242,4.285167284,
181,C1=Cc2[nH]c(cc2C1)C=C,181,942,-4.869069184,-0.803443355,4.065625829,
182,c1sccc1SC=C,182,126,-5.817739701,-0.786953256,5.030786445,
183,c1c2C(=O)OCc2ccc1,183,195,-7.453443268,-1.570069706,5.883373562,
184,c1sc(c2c1c(C=C)ccc2),184,382,-5.491774519,-1.800278024,3.691496495,
185,c1sc(c2c1C(=O)NC2=O),185,154,-7.526560259,-1.986403897,5.540156362,
186,c1n(CC)c(cc1)C=C,186,210,-5.2966961,-0.553098613,4.743597487,
187,c1scc2c1[C@@H](CC[C@H]2N(=O)=O)NC=C,187,698,-5.545136045,-1.979900376,3.565235669,
188,c1sc(c2c1CCC[C@H]2N(=O)=O),188,771,-6.664558004,-1.725718828,4.938839176,
189,c1sc(c2c1c(C=C)ccc2C),189,214,-5.398439469,-1.740902781,3.657536688,
190,C1=C/C(/C(=C1)OC)=C\1/C=C(C=C1OC)C=C,190,551,-5.246735997,-2.686090241,2.560645756,
