,SMILES,new name,old name,homo,lumo,bandgap,
32,C1=CC=C(c2c1nsn2),9ac,3a,-6.785594244,-2.500780709,4.284813535,
33,C(=C(C(=O)OC)C#N),33atl,44utl,-8.196695039,-2.4601269,5.736568139,
34,C1=CC(F)=C(c2c1nsn2),10ac,26u,-6.907174713,-2.652348124,4.254826589,
35,C1(=O)C2=C(C=C(C(=C2)Cl)Cl)C(=O)C1=C,35atl,43utl,-7.211860591,-2.957496596,4.254363995,
36,C1=C(C=C2C(=C1)NC(=O)C(=C2)C#N),36atl,39utl,-6.739688638,-2.620157055,4.119531583,
37,C1(=NC=C(S1)C#N),37atl,38utl,-7.648303996,-2.262191285,5.386112711,
38,C1(SC(=O)N(C1=O)C)=C,38atl,6atl,-7.020755034,-2.118896131,4.901858903,
39,C1=C(F)C(F)=C(C(=C1F)F),11ac,7u,-7.019993115,-1.134769179,5.885223936,
40,C1=NC=CC(=N1)C=C,12ac,32u,-6.974767793,-1.882157081,5.092610712,
41,C1=C2C(=CS1)C(=O)C(C2=C([N+](=O)[O-])[N+](=O)[O-])=C,41atl,48utl,-7.576166614,-3.77389257,3.802274044,
42,C1=C(F)C(F)=C(c2c1nn(n2)C),13ac,51u,-6.688367966,-1.760930361,4.927437605,
43,C1=CSC2=C1C(=O)C(C2=C(C#N)C#N)=C,43atl,35atl,-7.288977656,-3.607358893,3.681618763,
44,C1=C(F)C(F)=C(S1),14ac,6u,-6.953325222,-0.843144766,6.110180456,
45,C1=CC=CC2=CC3=C(C=C12)C(=O)C(C3=C(C#N)C#N)=C,45atl,41utl,-6.874221725,-3.577671272,3.296550453,
46,C1=CC(=CC2=C1C(=C(C#N)C#N)C(=C)C2=O)C(F)(F)(F),45atl,12atl,-7.727870086,-3.878166597,3.849703489,
47,C1=CN=C(C=N1),15ac,57u,-6.898684761,-1.577199089,5.321485672,
48,C1=C2C(=CC=C1)SC(=N2),47atl,22utl,-6.631332903,-1.226879718,5.404453185,
49,C1=CC=C(S1),16ac,2u,-6.546705495,-0.447600073,6.099105422,
50,C1=NC(=NC=N1),17ac,33u,-7.639297028,-1.746726018,5.89257101,
51,C1(=O)C2=C(C=CC=C2)C(=O)N1,50atl,4utl,-7.493607272,-2.435745499,5.057861773,
52,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)SC=C3)C(=O)C1=C,51atl,32atl,-6.890902305,-3.517370843,3.373531462,
53,C1=C(C(=O)O)C(=NO1),18ac,46u,-8.132993187,-1.792413933,6.340579254,
54,C1=CC=C2C(=C1)C(=O)C(C2=O)=C,53atl,27atl,-6.94916188,-2.670906288,4.278255592,
55,C1=C(F)C=CC2=C1C=C1C(=C2)C(=O)C(C1=C(C#N)C#N)=C,54atl,52utl,-6.997598145,-3.672639006,3.324959139,
56,C1(C2=CC=CC=C2)(C3=CC=CC=C3)C(=C(C(=C(C#N)C#N)S1)C#N),55atl,21utl,-7.04208876,-3.315544,3.72654476,
57,C1=CC(=C(C#N)C#N)C=C(O1),19ac,40u,-6.609454949,-2.653382156,3.956072793,
58,C1=NN=C(C2C1=NON=2),20ac,5a,-7.303100365,-3.604175161,3.698925204,
59,c1(C#N)c(F)c(F)c(s1)C#C,58atl,28utl,-7.124947427,-2.66780419,4.457143237,
60,C1=C2C3=C(C=C1)C(=O)N(C)C(=O)C3=CC=C2,59atl,9utl,-6.697701471,-2.624075495,4.073625976,
61,C1=COC=C1C(=O)C2=CC=C(S2),21ac,22u,-6.718001164,-2.009805688,4.708195476,
62,C1=CC=CC2=C1C(=C(C#N)C#N)C(C2=C(C#N)C#N)=C,61atl,19atl,-7.421116142,-3.896371014,3.524745128,
63,C1=CC=C(C2C1=NC(=C(N=2)C)C),22ac,8a,-6.617645576,-1.80944826,4.808197316,
64,C1(F)=C(F)C(F)=C(F)C(=C1F),63atl,5utl,-7.3010323,-1.127830276,6.173202024,
65,C1=C2C(N=CC=N2)=C(c3c1nsn3),23ac,24a,-6.563685399,-3.353177346,3.210508053,
66,C1=CC=C2C(=C1)OC(=N2),24ac,45u,-6.802193189,-1.064863131,5.737330058,
67,C1=C(C2=CC(=CC=C2S1)C#N),25ac,20u,-6.651632596,-1.570096917,5.081535679,
68,C1=C(OC)C(OC)=C(C2C1=NON=2),26ac,13a,-6.823445281,-2.437078856,4.386366425,
69,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)SC(=C3)Br)C(=O)C1=C,68atl,33atl,-6.919310991,-3.59315455,3.326156441,
70,C1(=C(C(=C(C#N)C#N)SC1=O)C#N),69atl,3utl,-8.094706768,-4.757965099,3.336741669,
71,C1=C(C(=O)O)C(=CS1),27ac,47u,-7.279263192,-1.584083569,5.695179623,
72,C1=C2C(N=C(C(=N2)F)F)=C(C3C1=NSN=3),28ac,15a,-6.867799839,-3.504064476,3.363735363,
73,C1=NC=C(N=N1),29ac,31u,-6.648421652,-2.29432793,4.354093722,
74,C1=NC2=C(S1)N=C(S2),30ac,12a,-6.827962371,-1.647867056,5.180095315,
75,C1=C2C(=O)N(C)C(=O)C2=C(S1),31ac,10a,-7.433932705,-1.914892377,5.519040328,
76,C1(=C(C#N)C#N)C2=C(C=C(C(=C2)Cl)Cl)C(=O)C1=C,75atl,3atl,-7.468899334,-3.775579676,3.693319658,
77,C1=CN=C(N=C1),32ac,21u,-7.005462236,-1.353194967,5.652267269,
78,C1=C(F)C(F)=CC2=C1C=C1C(=C2)C(=O)C(C1=C(C#N)C#N)=C,77atl,53utl,-7.098987766,-3.727034565,3.371953201,
79,C(\c1c(c(c(c(c1F)F)F)F)F)=C(/c2c(c(c(c(c2F)F)F)F)F),33ac,29u,-6.730246287,-2.474004706,4.256241581,
80,C1=CC(SC1=O)=C,79atl,27utl,-6.750409924,-2.5009984,4.249411524,
81,c1(=C(C#N)C#N)n(C)c(=O)c(s1)=C,80atl,20atl,-6.99827843,-3.002313747,3.995964683,
82,C1(=C(C#N)C#N)C2=C(C=C(C=C2)F)C(=O)C1=C,81atl,13atl,-7.437932778,-3.621345545,3.816587233,
83,C1=C2C(=O)c3c(c(sc3C(F)(F)F)C(F)(F)F)C(=O)C2=C(S1),34ac,18u,-7.61537822,-3.055892964,4.559485256,
84,C1(=C(C#N)C#N)C2=C(C=C(C(=C2)C(=O)OC)C#N)C(=O)C1=C,83atl,46utl,-7.803109566,-4.081217953,3.721891613,
85,C1(=C(C#N)C#N)C2=C(C=C(C(=C2)C(=O)OC)C(=O)OC)C(=O)C1=C,84atl,47utl,-7.482940409,-3.70219057,3.780749839,
86,c1(C)nnc(c2c1non2)(C),35ac,27a,-6.891419321,-3.221338185,3.670081136,
87,C1(=C(C#N)C#N)C2=C(C=CC(=C2)C)C(=O)C1=C,86atl,16atl,-7.356298623,-3.495737792,3.860560831,
88,C1(=O)C2=C(C=C(C(=C2)Br)Br)C(=C(C#N)C#N)C1=C,87atl,31atl,-7.418150101,-3.786110482,3.632039619,
89,C=C,36ac,59u,-7.506233355,0.157499497,7.663732852,
90,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)C=CC=C3)C(=O)C1=C,89atl,51utl,-6.874221725,-3.577671272,3.296550453,
91,C1=CC(F)=C(C=C1F),37ac,5u,-6.809159304,-0.895009666,5.914149638,
92,C1=NN=C(c2c1nsn2),38ac,28a,-6.865432448,-3.393014813,3.472417635,
93,o1nc(C#N)c(c1C#N)C(=O)O,92atl,33utl,-8.89651744,-3.774654489,5.121862951,
94,C1=CC=C(c2c1non2),39ac,22a,-7.07430704,-2.64108261,4.43322443,
95,C1=CC=C(c2c1n[se]n2),40ac,23a,-6.640992944,-2.60845616,4.032536784,
96,C12=CSC(C)=C1C(=O)C(C2=C(C#N)C#N)=C,95atl,14atl,-7.159587521,-3.491003011,3.66858451,
97,C1(=O)N(C)C(=O)N(C)C(=O)C1=C,96atl,25atl,-7.438177681,-2.658116937,4.780060744,
98,C1=C(C#N)SC(=C1C#N),41ac,48u,-7.755135894,-2.59019732,5.164938574,
99,C1(=O)C2=C(C=CC(=C2)Br)C(=C(C#N)C#N)C1=C,98atl,30atl,-7.360108217,-3.692040724,3.668067493,
100,C1(C2=CC=CC=C2)(C3=CC=CC=C3)C(=C(C(=C(C#N)C#N)O1)C#N),99atl,20utl,-7.163397114,-3.22419538,3.939201734,
101,C1=CC=CC2=C1C(=C(C#N)C#N)C(C2=O)=C,100atl,2atl,-7.43385107,-3.566705084,3.867145986,
102,C1=C(F)C(F)=C(C2C1=NSN=2),42ac,2a,-7.121001777,-2.754989468,4.366012309,
103,C1(=O)C2=C(C=CS2)C(=C(C#N)C#N)C1=C,102atl,23atl,-7.414530987,-3.511955777,3.90257521,
104,c1sc(c2c1cc(C)c(C)c2)C=C,103,862,-5.233511264,-1.717854738,3.515656526,
105,C1=[S]c2cscc2[S]=C1C=C,104,280,-5.475719802,-1.360841366,4.114878436,
106,c1c2c(OCC)c3c(c(c2sc1)OCC)cc(s3),105,864,-5.026296567,-1.058985472,3.967311095,
107,c1sc(c2c1C(=O)CC2=O)C=C,106,556,-6.666000207,-2.482821195,4.183179012,
108,c1sc(c2c1CC[C@@H](C=O)C2)C=C,107,883,-5.893632254,-1.296105481,4.597526773,
