,SMILES,new name,old name,homo,lumo
59,C#Cc1c(c(c(s1)C#N)F)F,58atr,28utr,-7.124947427,-2.66780419
60,C1=CC=C2C(=C1)C=C(C(=O)N2)C#N,36atr,39utr,-6.697701471,-2.624075495
61,C1=COC=C1C(=O)C2=CC=C(S2),21ac,22u,-6.718001164,-2.009805688
62,C=C1C(=C(C#N)C#N)C2=C(C=CC=C2)C1=C(C#N)C#N,61atr,19atr,-7.421116142,-3.896371014
63,C1=CC=C(C2C1=NC(=C(N=2)C)C),22ac,8a,-6.617645576,-1.80944826
64,C1=C(OC2=CC=CC=C2C1=O)C,31atr,25utr,-7.3010323,-1.127830276
65,C1=C2C(N=CC=N2)=C(c3c1nsn3),23ac,24a,-6.563685399,-3.353177346
66,C1=CC=C2C(=C1)OC(=N2),24ac,45u,-6.802193189,-1.064863131
67,C1=C(C2=CC(=CC=C2S1)C#N),25ac,20u,-6.651632596,-1.570096917
68,C1=C(OC)C(OC)=C(C2C1=NON=2),26ac,13a,-6.823445281,-2.437078856
69,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C3C(=C2)SC(=C3)Br,68atr,33atr,-6.919310991,-3.59315455
70,C=C1C(=O)C2=CC3=C(C=C(C(=C3)F)F)C=C2C1=C(C#N)C#N,69atr,53utr,-8.094706768,-4.757965099
71,C1=C(C(=O)O)C(=CS1),27ac,47u,-7.279263192,-1.584083569
72,C1=C2C(N=C(C(=N2)F)F)=C(C3C1=NSN=3),28ac,15a,-6.867799839,-3.504064476
73,C1=NC=C(N=N1),29ac,31u,-6.648421652,-2.29432793
74,C1=NC2=C(S1)N=C(S2),30ac,12a,-6.827962371,-1.647867056
75,C1=C2C(=O)N(C)C(=O)C2=C(S1),31ac,10a,-7.433932705,-1.914892377
76,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C(C(=C2)Cl)Cl,75atr,3atr,-7.468899334,-3.775579676
77,C1=CN=C(N=C1),32ac,21u,-7.005462236,-1.353194967
78,C=C1C(=O)C2=CC3=C(C=C(C(=C3)F)F)C=C2C1=C(C#N)C#N,69atr,53utr,-7.098987766,-3.727034565
79,C(\c1c(c(c(c(c1F)F)F)F)F)=C(/c2c(c(c(c(c2F)F)F)F)F),33ac,29u,-6.730246287,-2.474004706
80,C=C1SC(=O)C=C1,79atr,27utr,-6.750409924,-2.5009984
81,C=c1c(=O)n(c(=C(C#N)C#N)s1)C,80atr,20atr,-6.99827843,-3.002313747
82,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C(C=C2)F,81atr,13atr,-7.437932778,-3.621345545
83,C1=C2C(=O)c3c(c(sc3C(F)(F)F)C(F)(F)F)C(=O)C2=C(S1),34ac,18u,-7.61537822,-3.055892964
84,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C(C(=C2)C(=O)OC)C#N,83atr,46utr,-7.803109566,-4.081217953
85,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C(C(=C2)C(=O)OC)C(=O)OC,84atr,47utr,-7.482940409,-3.70219057
86,c1(C)nnc(c2c1non2)(C),35ac,27a,-6.891419321,-3.221338185
87,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=CC(=C2)C,38atr,16atr,-7.356298623,-3.495737792
88,C=C1C(=O)C2=C(C1=C(C#N)C#N)C=C(C(=C2)Br)Br,87atr,31atr,-7.418150101,-3.786110482
89,C=C,36ac,59u,-7.506233355,0.157499497
90,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C1C(=C2)C=CC=C1,89atr,51utr,-6.874221725,-3.577671272
