,SMILES,new name,old name,homo,lumo
0,C1=C2C(OCCO2)=C([Si]1(C)C),0dc,34u,-5.557843762307351,-0.9192550097591
1,C1=CC=C(S1)C2=CC=C(S2),1dc,15d,-5.66690699358775,-1.4393190008346999
2,C1=CC2=C(C=C1)C3=C(N2C)C=C(C=C3),2dc,12d,-5.5654357387363005,-0.9429017033675501
3,C1=C(OC)C=C(S1),3dc,4u,-5.93450375416945,-0.269936939696
4,"C1=C2C(C(=N1)OC)=C(N=C2OC)	304
",4dc,26a,-6.0343423259179,-2.81792940162285
5,C1=Cc2c(C3=CC(=C(S3)C)Cl)c4c(c(c2S1)C5=CC(=C(S5)C)Cl)C=C(S4),5dc,17d,-5.4278549759235,-1.86384381899975
6,C1=CC=C(C=C1)/C(/C2=CC=CC=C2)=C(\C3=CC=CC=C3)/C4=CC=C(C=C4),6dc,23u,-5.4927269178827,-1.5737976657518
7,C1=C2C(C(=C(S2)C)F)=C(S1),7dc,20a,-5.6778187589928,-1.1275309509318001
8,C1=C2C(SCCS2)=C(S1),8dc,36u,-5.66766891236915,-0.57881337139855
9,C1=C(OC)C(OC)=C(S1),9dc,9u,-5.6489746908398,0.0198098883164
10,C1=C2C(N=C(C(=N2)C)C)=C(C3C1=NSN=3),10dc,14a,-6.3296402764805,-3.07763486054005
11,C1=CC2C(S1)=C(C3=CC=C(C=C3)C)C4=C(C=2C5=CC=C(C=C5)C)SC(=C4),11dc,11d,-5.28562106626715,-1.3460383728833
12,C=CC=C,12dc,60u,-6.4852893989665,-0.9376771174379499
13,C1=CC2=C(S1)C1=C([Si]2(C)C)C=C(S1),13dc,5d,-5.4684815738031505,-1.42661128401635
14,C1=C(OC(=O)C2=CC=CC=C12)C,14dtr,26utr,-6.26278190341265,-1.5658519413172
15,C1=CC2=C(S1)C3=C([Ge]2(C)C)C=C(S3),14dc,16d,-5.4402089447362,-1.3651407651884
16,C1=Cc2c(S1)c1c(s2)C=C(S1),15dc,61u,-5.7621740526478,-1.2492202648754
17,C=C1SC(=S)C(C1=O)C,17dtr,36atr,-6.33989896864435,-2.40600345473595
18,C=c1c2=CC=CC3=CC=Cc(c23)n1C,18dtr,12utr,-5.0303510631131,-1.5678655838109001
19,C1=C(OC)C=C(C(=C1)OC),16dc,15u,-5.5050808866954,-0.23121513876984998
20,C1=CC(SC)=C(S1),17dc,50u,-5.64209021042215,-0.43900127501165004
21,C1=CC=C2C(=C1)C(C)(C)C3=CC(=CC=C23),18dc,18d,-5.98326655617905,-1.058522878445
22,C1=CC2=C(S1)C=C1C(=C2)SC(=C1),19dc,62u,-5.6053276292196,-1.31733036165555
23,C1=CC2=C(S1)C1=C(N2C)C=C(S1),20dc,3d,-5.26962077185775,-0.758109187493
24,C1=CC(C2=C(C=CC=C2OC)OC)=C(S1),21dc,11u,-5.28562106626715,-1.3460383728833
25,C=C1SC2=CC=CC=C2S1,25dtr,14utr,-5.4173241699091506,-0.66099175424955
26,C1=Cc2c(S1)c(OC)c3c(c2OC)SC(=C3),22dc,52u,-4.8125511371729,-0.9969707254618999
27,C1=CC=C2C(=C1)C(/C(=C/C=C/3\C(=C(C#N)C#N)C4=C(C3=O)C=CC=C4)/N2C)(C)C,27dtr,13utr,-5.729221065352251,-2.88149519709965
28,C1=CC(=C(C#N)C#N)C=C(S1),23dc,41u,-6.44237704474265,-2.8948559871592003
29,C1=C2C(OCCS2)=C(S1),24dc,35u,-5.6926761752301,-0.4158988091042
30,C1=Nc2c(S1)nc(s2)C,30dtr,9atr,-6.519276418893949,-1.4486252945217999
31,C1=CC2=C(S1)C=C(S2),25dc,9d,-6.0109405347749005,-0.92004413992555
32,C1=CC(C)=C(S1),26dc,4d,-6.3024288914305,-0.39973524638450003
33,C1=c2c(nc(c(n2)C)C)=C(S1),27dc,37u,-6.154997607229601,-2.12670579858275
34,C1=CC=C([Se]1),28dc,64u,-6.5243105251282,-0.6348960359865999
35,C1=CC(Cl)=C(S1)C2=C(Cl)C=C(S2),29dc,53u,-5.85597169691515,-1.64005738834855
36,C1=Cc2c(C3=CC=C(S3)C)c4c(c(c2S1)C5=CC=C(S5)C)C=C(S4),30dc,6d,-5.19772829255565,-1.6053628724098001
37,C1=CC2=C(c3c(N=C2S1)sc(c3F)F),31dc,28u,-6.2114340198233,-1.74754235929605
38,C1=C2C(N=S=N2)=C(C3=CSC=C13),32dc,39u,-5.35974487914335,-3.06005630579775
39,C1=C2SC(C)=CC2=C(S1),33dc,10d,-5.545843541500299,-0.95155492381345
40,C(=O)C1=COC(=N1)C2=CC3=C(C=CS3)S2,40dtr,35utr,-6.1143982207350005,-2.0444457815766
41,C1=C2OCC(C)OC2=C(S1),34dc,7d,-5.8535498836457,-0.1958131268198
42,C1=NC2=C(SC=C2)S1,42dtr,23utr,-6.4459417361842,-0.9261394901767501
43,C1=C(F)c2c(S1)c3c(s2)C(F)=C(S3),35dc,30u,-6.10397626026085,-1.6109684177301
44,C1=NC2=C(C=CS2)S1,44dtr,29utr,-6.444200207541,-1.2904999359962501
45,C1=CC=C(C=C1)/C(/C2=CC=CC=C2)=C(/C3=CC=CC=C3)\C4=CC=C(C=C4),36dc,19u,-5.4927269178827,-1.5737976657518
46,C1=CC=C(c2c1nn(n2)C),37dc,21a,-6.34408952194205,-1.46367319045445
47,C1=Cc2c(S1)c(SC)c3c(c2SC)SC(=C3),38dc,14d,-5.71849977964255,-1.6491187795702
48,C1=CC2=C(S1)C3=C([Si]2(C4=CC=CC=C4)C5=CC=CC=C5)C=C(S3),39dc,44u,-5.51582938379015,-1.5273206200864
49,C1=C2C(=O)N(C)C(=C2C(=O)N1C),40dc,4a,-5.68410458893935,-2.35462835976155
50,C=C1C(=O)C2=C(SC=C2C1=C(C#N)C#N)Cl,50dtr,34atr,-6.4536153467682995,-2.5455162258873
51,C#Cc1c(c(c(s1)C#N)F)F,51dtr,28utr,-6.09352708840165,-1.29338434281155
52,C=C1N(C2=CC=CC=C2O1)C,52dtr,11utr,-4.99788788074845,-0.28961077108715
53,N1C2=CC=CC=C2O/C/1=C\C=C\3/C(=C(C#N)C#N)C4=C(C3=O)C=CC=C4,53dtr,10utr,-5.760867906165401,-2.8726514969584
54,N1(C2=C(SC3C=CC=CC1=3)C=CC=C2)C,41dc,19d,-4.7829451502385005,-0.73419038003405
55,C=C1C(=O)N(C(=S)N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,55dtr,18atr,-5.877169365869101,-2.8574131213304
56,C1=CC=C([SiH2]1),42dc,55u,-6.495520879745301,-1.61845154861885
57,C1=C(OC)C=C(C(=C1)OC),43dc,2d,-5.5050808866954,-0.23121513876984998
58,C1=NN=C(C=C1),44dc,58u,-6.3272456745961,-1.6012811646523002
59,C1=CC2=C(S1)C3=C([Si]2(C)C)C=C(S3),45dc,43u,-5.4684815738031505,-1.42661128401635
60,C1=C2C(=NC3=C1C=C(S3)F)SC(=C2)F,60dtr,32utr,-6.3180482264492,-1.5724643078843499
61,C1=CC(C2=CC(=CC(=C2)OC)OC)=C(S1),46dc,10u,-5.76818776874385,-0.9286157262163
62,C=C1C(C2=CC=CC=C2N1C)(C3=CC=CC=C3)C4=CC=CC=C4,62dtr,18utr,-5.156856792210551,-0.6317395153208
63,C1=CC2=CC=CC=C2O1,63dtr,2dtr,-6.21957022395325,-0.7667624079389
64,C=C1C=C/C(/S1)=C/2\C=CC(S2)=C,47dc,24u,-4.9684179507393,-2.2844501977176
65,C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3),48dc,38u,-6.22060425658515,-3.5723378407490505
66,C=C1SC(=S)N(C1=S)C,66dtr,37atr,-6.365640938901651,-3.0497976136339
67,C1=C(F)C(OC)=C(C(=C1OC)F),49dc,8u,-5.6765126125103995,-0.34212874423365003
68,C1=C(N2C=CC=NC2=N1)C,68dtr,24utr,-6.06011150756025,-1.58830133398345
69,C1=CC=C(C2=C[Si]C=C12),50dc,56u,-5.50227811403525,-3.56825613299155
