Unit,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,fund bg
0,-6.926113837,-5.557843762,-0.91925501,1.442421099,1.368270074,2.361676108,4.638588753
2,-5.915156459,-5.565435739,-0.942901703,-0.024027653,0.349720721,0.91887405,4.622534035
3,-6.656367377,-5.934503754,-0.26993694,1.261356543,0.721863623,1.531293482,5.664566814
4,-6.089091633,-6.034342326,-2.817929402,0.88271012,0.054749307,3.700639521,3.216412924
5,-6.405179081,-5.427854976,-1.863843819,-0.991038644,0.977324105,0.872805175,3.564011157
6,-6.675578615,-5.492726918,-1.573797666,-0.631331345,1.182851697,0.942466321,3.918929252
7,-6.611958396,-5.677818759,-1.127530951,0.353312623,0.934139637,1.480843574,4.550287808
8,-5.861087437,-5.667668912,-0.578813371,0.472335222,0.193418525,1.051148593,5.088855541
9,-6.04816571,-5.648974691,0.019809888,1.313792882,0.399191019,1.293982993,5.668784579
10,-6.873269327,-6.329640276,-3.077634861,-1.280295667,0.543629051,1.797339194,3.252005416
11,-6.250672837,-5.285621066,-1.346038373,-0.690597741,0.965051771,0.655440632,3.939582693
12,-8.952817795,-6.485289399,-0.937677117,1.878864504,2.467528396,2.816541621,5.547612282
13,-6.864126302,-5.468481574,-1.426611284,0.47761423,1.395644728,1.904225514,4.04187029
14,-7.42166037,-6.262781903,-1.565851941,-1.170361671,1.158878467,0.39549027,4.696929962
15,-6.829350152,-5.440208945,-1.365140765,0.498049981,1.389141207,1.863190746,4.07506818
16,-6.113309765,-5.762174053,-1.249220265,0.278835063,0.351135713,1.528055327,4.512953788
17,-6.760859095,-6.339898969,-2.406003455,-2.186026618,0.420960127,0.219976837,3.933895514
18,-6.71930731,-5.030351063,-1.567865584,-0.386483302,1.688956247,1.181382282,3.462485479
19,-6.927229504,-5.505080887,-0.231215139,0.551465929,1.422148617,0.782681068,5.273865748
20,-6.712749367,-5.64209021,-0.439001275,0.808123713,1.070659156,1.247124988,5.203088935
21,-6.792886896,-5.983266556,-1.058522878,-0.448987853,0.809620339,0.609535025,4.924743678
22,-6.378511924,-5.605327629,-1.317330362,-0.298998699,0.773184295,1.018331663,4.287997268
23,-5.635858803,-5.269620772,-0.758109187,0.581643355,0.366238031,1.339752543,4.511511584
24,-6.250672837,-5.285621066,-1.346038373,-0.690597741,0.965051771,0.655440632,3.939582693
25,-6.702082504,-5.41732417,-0.660991754,-0.534268334,1.284758334,0.12672342,4.756332416
26,-6.305068396,-4.812551137,-0.996970725,0.161744473,1.492517259,1.158715198,3.815580412
27,-6.751879338,-5.729221065,-2.881495197,-2.293048995,1.022658273,0.588446202,2.847725868
28,-9.022152404,-6.442377045,-2.894855987,-1.903735709,2.57977536,0.991120278,3.547521058
29,-6.033662041,-5.692676175,-0.415898809,0.673998796,0.340985866,1.089897605,5.276777366
30,-7.259807052,-6.519276419,-1.448625295,0.0143404,0.740530633,1.462965694,5.070651124
31,-6.383246705,-6.010940535,-0.92004414,0.728829737,0.37230617,1.648873877,5.090896395
32,-6.704232203,-6.302428891,-0.399735246,1.280975951,0.401803312,1.680711198,5.902693645
33,-6.558488025,-6.154997607,-2.126705799,0.109335345,0.403490418,2.236041144,4.028291809
34,-6.592692736,-6.524310525,-0.634896036,0.3465642,0.068382211,0.981460236,5.889414489
35,-6.907528461,-5.855971697,-1.640057388,-0.020599018,1.051556764,1.61945837,4.215914309
36,-6.266428229,-5.197728293,-1.605362872,-0.756966309,1.068699936,0.848396563,3.59236542
37,-6.740232865,-6.21143402,-1.747542359,-1.167368419,0.528798846,0.580173941,4.463891661
