gen,min_PCE, max_PCE, med_PCE, min_deltaHOMO,max_deltaHOMO,med_deltaHOMO,min_summedoscs,max_summedoscs,med_summedoscs
42,13.673944,20.995287,19.459780,0.630000,0.660000,0.950000,5.686345,10.910523,8.899298
43,10.607643,20.995287,19.463909,0.040000,0.660000,0.520000,5.282677,10.910523,10.231018
44,13.139191,20.995287,19.463909,0.630000,0.660000,0.520000,5.297999,10.910523,10.231018
45,13.526567,21.148838,19.515922,0.300000,0.960000,0.260000,6.599034,10.095019,11.072204
46,11.125654,21.148838,19.515922,0.180000,0.960000,0.260000,5.226258,10.095019,11.072204
47,13.181202,21.148838,19.591838,0.610000,0.960000,0.650000,5.390309,10.095019,9.922216
48,11.800961,21.148838,19.591838,1.070000,0.960000,0.650000,2.966532,10.095019,9.922216
49,12.167835,21.148838,19.649579,0.290000,0.960000,0.260000,5.643202,10.095019,11.169269
50,9.282032,21.148838,19.649579,0.140000,0.960000,0.260000,4.010991,10.095019,11.169269
51,12.819540,21.148838,19.653494,0.340000,0.960000,0.860000,5.961978,10.095019,9.318081
52,12.131586,22.081116,19.931195,0.070000,0.970000,0.970000,6.296688,10.741154,9.179847
53,13.238083,22.081116,19.975881,0.480000,0.970000,0.910000,5.833323,10.741154,9.397701
54,11.454943,22.081116,19.996816,1.000000,0.970000,0.840000,2.931551,10.741154,9.629208
55,11.810157,22.081116,20.029019,0.230000,0.970000,0.650000,5.568853,10.741154,10.239704
56,11.949388,22.081116,20.045729,0.510000,0.970000,0.590000,4.804751,10.741154,10.437242
57,11.697008,22.081116,20.045729,0.890000,0.970000,0.590000,3.447249,10.741154,10.437242
58,11.125138,22.081116,20.274539,0.200000,0.970000,0.670000,5.164082,10.741154,10.356204
59,11.076624,22.081116,20.274539,0.480000,0.970000,0.670000,4.263637,10.741154,10.356204
60,11.724429,22.081116,20.469045,0.060000,0.970000,0.880000,6.031904,10.741154,9.848546
61,14.346259,22.081116,20.500842,1.290000,0.970000,1.100000,4.135158,10.741154,9.191827
62,12.215352,22.081116,20.508889,0.650000,0.970000,0.670000,4.565291,10.741154,10.526392
63,15.417326,22.081116,20.508889,0.520000,0.970000,0.670000,7.292324,10.741154,10.526392
64,14.463541,22.081116,20.586387,0.060000,0.970000,0.730000,8.021093,10.741154,10.397270
65,8.634002,22.081116,20.627517,0.080000,0.970000,0.630000,3.725785,10.741154,10.736144
66,12.115766,22.081116,20.627517,0.430000,0.970000,0.630000,5.172781,10.741154,10.736144
67,15.881287,22.081116,20.664223,0.840000,0.970000,0.610000,6.640443,10.741154,10.824601
68,13.749257,22.081116,20.831338,0.770000,0.970000,0.930000,5.308432,10.741154,9.957147
69,13.967559,22.081116,20.831338,0.810000,0.970000,0.930000,5.343364,10.741154,9.957147
70,14.226913,22.256138,20.898406,0.930000,1.100000,0.890000,5.160905,10.466552,10.129455
71,10.686711,22.256138,20.898406,0.270000,1.100000,0.890000,4.629386,10.466552,10.129455
72,11.376819,22.256138,20.898406,0.210000,1.100000,0.890000,5.315957,10.466552,10.129455
73,13.268969,22.256138,20.898406,0.850000,1.100000,0.890000,4.712435,10.466552,10.129455
74,13.743351,22.256138,20.898406,0.380000,1.100000,0.890000,6.509263,10.466552,10.129455
75,13.052108,22.256138,20.901159,0.680000,1.100000,1.070000,5.080256,10.466552,9.575245
76,12.588856,22.256138,20.901159,0.020000,1.100000,1.070000,6.783267,10.466552,9.575245
77,13.278501,22.256138,20.901159,0.700000,1.100000,1.070000,5.182864,10.466552,9.575245
78,12.507854,22.256138,20.901159,0.380000,1.100000,1.070000,5.612024,10.466552,9.575245
79,11.369376,22.256138,20.901159,0.230000,1.100000,1.070000,5.248750,10.466552,9.575245
80,11.736595,22.256138,20.932701,0.230000,1.100000,1.090000,5.515431,10.466552,9.536350
81,16.612331,22.256138,20.932701,0.580000,1.100000,1.090000,7.974753,10.466552,9.536350
82,13.346896,22.256138,20.932701,0.580000,1.100000,1.090000,5.603340,10.466552,9.536350
83,14.175063,22.256138,20.932701,1.000000,1.100000,1.090000,4.906947,10.466552,9.536350
84,13.297579,22.256138,20.932701,0.240000,1.100000,1.090000,6.618142,10.466552,9.536350
85,12.149826,22.256138,20.932701,0.670000,1.100000,1.090000,4.455904,10.466552,9.536350
86,15.983138,22.256138,20.932701,0.790000,1.100000,1.090000,6.868912,10.466552,9.536350
87,9.786262,22.256138,20.932701,0.020000,1.100000,1.090000,4.747978,10.466552,9.536350
88,10.780064,22.256138,20.932701,0.440000,1.100000,1.090000,4.171872,10.466552,9.536350
89,12.118766,22.256138,20.932701,0.170000,1.100000,1.090000,5.978373,10.466552,9.536350
90,11.754120,22.256138,20.932701,0.150000,1.100000,1.090000,5.775362,10.466552,9.536350
91,13.459471,22.256138,20.932701,0.040000,1.100000,1.090000,7.353722,10.466552,9.536350
92,11.691260,22.256138,20.954405,0.280000,1.100000,0.990000,5.328006,10.466552,9.861117
93,13.337251,22.256138,20.954405,0.410000,1.100000,0.990000,6.121644,10.466552,9.861117
94,11.298065,22.256138,20.954405,0.480000,1.100000,0.990000,4.424451,10.466552,9.861117
95,10.238347,22.256138,20.954405,0.280000,1.100000,0.990000,4.272876,10.466552,9.861117
96,13.923554,22.256138,20.954405,0.590000,1.100000,0.990000,5.991218,10.466552,9.861117
97,13.792774,22.256138,20.954405,0.290000,1.100000,0.990000,6.823259,10.466552,9.861117
98,12.713634,22.256138,20.961741,0.420000,1.100000,0.770000,5.637863,10.466552,10.546256
99,13.201214,22.256138,20.961741,0.250000,1.100000,0.770000,6.517260,10.466552,10.546256
100,13.996295,22.256138,20.961741,0.640000,1.100000,0.770000,5.889541,10.466552,10.546256
101,8.573372,22.256138,20.961741,0.030000,1.100000,0.770000,3.836257,10.466552,10.546256
102,11.188366,22.256138,20.961741,0.260000,1.100000,0.770000,5.024596,10.466552,10.546256
103,13.729956,22.256138,20.961741,0.450000,1.100000,0.770000,6.283232,10.466552,10.546256
104,15.542610,22.256138,20.961741,0.470000,1.100000,0.770000,7.537809,10.466552,10.546256
105,11.125138,22.256138,20.961741,0.200000,1.100000,0.770000,5.164082,10.466552,10.546256
106,13.944675,22.256138,20.961741,0.710000,1.100000,0.770000,5.635751,10.466552,10.546256
107,12.948598,22.256138,20.961741,0.430000,1.100000,0.770000,5.777598,10.466552,10.546256
108,16.749576,22.256138,20.995287,0.580000,1.100000,0.660000,8.074423,10.466552,10.910523
109,12.716640,22.256138,20.961741,0.270000,1.100000,0.770000,6.103554,10.466552,10.546256
110,12.941240,22.256138,20.995287,0.550000,1.100000,0.660000,5.401447,10.466552,10.910523
111,13.974547,22.256138,20.995287,0.900000,1.100000,0.660000,5.070334,10.466552,10.910523
112,14.782818,22.256138,20.961741,0.670000,1.100000,0.770000,6.368026,10.466552,10.546256
113,13.345675,22.256138,20.961741,0.700000,1.100000,0.770000,5.231647,10.466552,10.546256
114,7.001427,22.256138,20.961741,0.010000,1.100000,0.770000,2.756486,10.466552,10.546256
115,12.683183,22.256138,20.961741,0.590000,1.100000,0.770000,5.090440,10.466552,10.546256
