gen,min_PCE, max_PCE, med_PCE, min_deltaHOMO,max_deltaHOMO,med_deltaHOMO,min_summedoscs,max_summedoscs,med_summedoscs
1,7.498335,15.578078,12.374682,0.180000,0.530000,0.900000,2.592039,7.378164,3.908486
2,9.057979,15.578078,13.389003,0.530000,0.530000,0.900000,2.643160,7.378164,4.645103
3,8.506664,17.040612,13.818126,0.540000,0.840000,0.730000,2.211886,7.482364,5.482048
4,8.995752,18.205116,14.484022,0.440000,0.970000,1.010000,2.876075,7.926339,5.100418
5,10.269622,18.205116,14.851248,0.310000,0.970000,0.840000,4.202887,7.926339,5.892412
6,11.630066,18.205116,15.243441,0.610000,0.970000,0.740000,4.263849,7.926339,6.486234
7,11.541498,18.205116,15.472667,0.780000,0.970000,0.470000,3.674220,7.926339,7.487016
8,11.156737,18.205116,15.645203,0.560000,0.970000,0.780000,4.074612,7.926339,6.654398
9,10.435056,18.205116,16.101483,0.160000,0.970000,0.680000,4.786535,7.926339,7.294761
10,12.705465,18.316821,16.250227,0.490000,0.340000,1.140000,5.415627,9.954193,5.981358
11,11.139244,19.515922,16.794093,0.250000,0.260000,1.030000,5.019824,11.072204,6.716228
12,14.060145,19.515922,16.948290,0.850000,0.260000,1.170000,5.287000,11.072204,6.395602
13,10.112352,19.515922,17.073597,0.370000,0.260000,0.980000,3.903272,11.072204,7.073711
14,7.325439,19.515922,17.540676,0.390000,0.260000,0.350000,1.817569,11.072204,9.359644
15,13.485361,19.515922,18.002808,0.080000,0.260000,0.590000,7.248921,11.072204,8.953640
16,9.504247,19.515922,18.172236,0.270000,0.260000,1.120000,3.770661,11.072204,7.438954
17,9.696665,19.515922,18.205116,0.350000,0.260000,0.970000,3.663194,11.072204,7.926339
18,12.494889,19.931195,18.468151,0.560000,0.970000,0.540000,5.046400,9.179847,9.446081
19,9.298065,19.931195,18.659720,0.970000,0.970000,0.990000,1.457893,9.179847,8.194680
20,14.105363,19.931195,18.659720,0.170000,0.970000,0.990000,7.421072,9.179847,8.194680
21,11.065018,19.931195,18.791155,0.360000,0.970000,0.240000,4.626014,9.179847,10.607668
22,13.285840,19.931195,18.807720,0.230000,0.970000,0.420000,6.640518,9.179847,10.063488
23,11.369376,19.931195,18.842566,0.230000,0.970000,0.280000,5.248750,9.179847,10.521401
24,11.702719,19.931195,18.969042,0.380000,0.970000,0.250000,5.027322,9.179847,10.705952
25,14.214298,19.975881,19.053990,0.460000,0.910000,0.310000,6.604068,9.397701,10.582239
26,9.825314,19.975881,19.053990,0.390000,0.910000,0.310000,3.633019,9.397701,10.582239
27,11.130424,19.975881,19.114491,0.030000,0.910000,0.450000,5.693229,9.397701,10.193569
27,11.130424,19.975881,19.114491,0.030000,0.910000,0.450000,5.693229,9.397701,10.193569
28,9.031417,20.045729,19.234600,0.300000,0.590000,0.610000,3.334583,10.437242,9.786386
29,12.659758,20.045729,19.246062,0.610000,0.590000,0.310000,5.011627,10.437242,10.721725
30,10.576000,20.045729,19.246062,0.100000,0.590000,0.310000,5.074294,10.437242,10.721725
31,11.750768,20.045729,19.265250,0.460000,0.590000,0.610000,4.815012,10.437242,9.808645
32,9.935774,20.045729,19.265250,0.090000,0.590000,0.610000,4.640252,10.437242,9.808645
33,14.470310,20.045729,19.292413,0.230000,0.590000,0.610000,7.500700,10.437242,9.828371
34,11.336336,20.045729,19.292413,0.800000,0.590000,0.610000,3.463427,10.437242,9.828371
35,12.524630,20.045729,19.292413,0.650000,0.590000,0.610000,4.789894,10.437242,9.828371
36,12.149690,20.436275,19.361346,0.620000,0.630000,0.220000,4.610307,10.597261,11.083551
37,8.707625,20.995287,19.404559,0.070000,0.660000,0.410000,3.810152,10.910523,10.527823
38,14.262184,20.995287,19.404559,0.270000,0.660000,0.410000,7.225953,10.910523,10.527823
39,12.627634,20.995287,19.404559,0.310000,0.660000,0.410000,5.915314,10.910523,10.527823
39,12.627634,20.995287,19.404559,0.310000,0.660000,0.410000,5.915314,10.910523,10.527823
39,12.627634,20.995287,19.404559,0.310000,0.660000,0.410000,5.915314,10.910523,10.527823
39,12.627634,20.995287,19.404559,0.310000,0.660000,0.410000,5.915314,10.910523,10.527823
40,8.513977,20.995287,19.444454,0.040000,0.660000,0.650000,3.762223,10.910523,9.815183
41,12.520965,20.995287,19.444454,0.280000,0.660000,0.650000,5.930551,10.910523,9.815183
