Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),fund bg,Delta HOMO,delta LUMO,optical bandgap (cm-1),opt bg (nm),oscillator strength,single point energy,dipole moment (debye),summed oscs,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber,PCE
5_76_63_76_5_10201,-6.82,-5.61,-3.17,-2.51,2.44,1.21,0.66,7318.8,1366.344209,0.374856307,-5090.429346,18.32751,6.534386611,0.005452822,0.005452822,0.907384824,7318.8,0.907384824,7318.8,17.30959687
22_45_44_45_22_10201,-6.64,-5.58,-2.96,-2.58,2.62,1.06,0.38,5728.8,1745.566262,0.112573671,-5382.124935,12.35603,6.752468384,0.112573671,0.46927706,0.710256624,5728.8,1.66015419,13390.5,16.97164547
45_44_15_44_45_02420,-5.48,-5.44,-2.74,-2.66,2.7,0.04,0.08,5713.6,1750.210025,0.106312787,-5547.931606,14.16984,7.353721704,0.004842594,0.106312787,0.708372128,5713.6,1.06982342,8629,13.45947129
14_45_44_45_14_10201,-7.12,-6.19,-3.5,-3.07,2.69,0.93,0.43,6769.2,1477.279442,0.112695128,-6831.751967,12.30809,8.836852592,0.112695128,0.27460363,0.839245416,6769.2,1.270770204,10249.8,19.28869252
57_45_63_45_57_10201,-7.29,-6.32,-3.27,-3.06,3.05,0.97,0.21,9564.7,1045.511098,0.34102425,-10494.24266,11.55866,9.672825282,0.34102425,0.693786883,1.185831506,9564.7,2.016435516,16264.2,20.61002692
38_45_45_44_42_10023,-7.07,-6.15,-3.44,-3.15,2.71,0.92,0.29,8239.1,1213.7248,0.583422083,-8467.290911,13.02651,9.467270957,0.583422083,0.583422083,1.021483618,8239.1,1.021483618,8239.1,20.11422861
45_45_41_45_45_10201,-7.76,-7.27,-3.41,-3.21,3.86,0.49,0.2,14398.7,694.507143,0.76187852,-5057.323948,8.99219,9.191603567,0.76187852,1.14933585,1.785150826,14398.7,2.544267968,20521.6,17.90498461
42_52_44_52_42_10201,-7.43,-6.18,-2.81,-2.37,3.37,1.25,0.44,11856.2,843.4405627,0.29558281,-11062.18886,9.72842,6.5173197,0.29558281,0.44964483,1.469931676,11856.2,2.069734518,16694.1,17.45629573
42_45_66_45_42_10201,-7.6,-7.48,-3.26,-3.22,4.22,0.12,0.04,15739.2,635.3563078,0.336323531,-11663.54339,6.59766,8.543359937,0.336323531,0.336323531,1.951346016,15739.2,1.951346016,15739.2,15.43800314
6_45_45_45_6_10001,-7.52,-6.77,-3.28,-3.12,3.49,0.75,0.16,11082.7,902.3071995,0.348196056,-4806.710805,4.68906,6.783767299,0.348196056,0.348196056,1.374033146,11082.7,1.374033146,11082.7,15.69569407
51_7_73_7_51_10201,-7.44,-6.89,-3.41,-2.55,3.48,0.55,0.86,10313.7,969.5841454,0.223300281,-5166.889829,7.675,6.811240395,0.223300281,0.223300281,1.278692526,10313.7,1.278692526,10313.7,14.88252453
60_45_63_45_60_10201,-7.15,-6.16,-3.11,-2.77,3.05,0.99,0.34,9858.5,1014.353096,0.433546573,-5988.983285,13.03141,9.833989357,0.433546573,0.530289821,1.22225683,9858.5,2.097468844,16917.8,20.91704985
51_45_69_45_51_10201,-7.48,-6.69,-3.27,-3.11,3.42,0.79,0.16,11402.7,876.9852754,0.485755082,-4682.779572,9.6807,9.380667569,0.485755082,0.820004186,1.413706746,11402.7,2.32270331,18734.5,19.44182574
51_34_34_34_51_10001,-7.39,-6.73,-2.67,-2.51,4.06,0.66,0.16,18933.5,528.1643648,2.982386046,-6765.765896,7.06409,7.828838599,2.982386046,2.982386046,2.34737533,18933.5,2.34737533,18933.5,16.75180725
51_51_21_51_51_11311,-7.02,-6.79,-2.89,-2.35,3.9,0.23,0.54,16463.6,607.4005685,1.24567029,-4501.453178,8.36345,5.568853127,1.24567029,1.24567029,2.041157128,16463.6,2.041157128,16463.6,11.81015726
32_66_4_66_32_10201,-7.75,-6.59,-3.01,-2.99,3.58,1.16,0.02,13521.5,739.5629183,0.134452327,-8103.83362,1.55396,7.34892096,0.002635207,0.134452327,1.67639557,13521.5,2.17777069,17565.5,18.21846066
32_65_46_65_32_13531,-6.9,-6.65,-2.79,-2.72,3.86,0.25,0.07,16788.2,595.656473,3.576776224,-4981.0233,7.18859,8.196541953,3.576776224,3.576776224,2.081401036,16788.2,2.081401036,16788.2,15.51358477
32_26_26_26_32_10001,-7.5,-6.32,-3.42,-2.28,2.9,1.18,1.14,8943.9,1118.080479,1.129509256,-4316.161886,8.22492,5.835575631,1.129509256,1.129509256,1.108864722,8943.9,1.108864722,8943.9,16.21968415
42_53_44_53_42_10201,-7.26,-6.07,-2.82,-2.59,3.25,1.19,0.23,13216.1,756.6528704,1.931875701,-12683.67761,6.68501,7.736660619,1.931875701,1.931875701,1.638532078,13216.1,1.638532078,13216.1,18.88002817
32_21_44_21_32_10201,-6.41,-5.81,-2.7,-2.51,3.11,0.6,0.19,11839.4,844.6373972,0.646773444,-5865.696279,1.9608,8.414026896,0.646773444,0.685642707,1.467848812,11839.4,1.73255851,13974.5,17.30231154
