gen,filename,deltaHOMO,summedoscs,PCE,donor
1,50_18_18_18_50_10001,0.530000,7.378164,15.578078,PBDB-T-SF,
1,9_45_49_25_15_13579,0.840000,6.408858,15.562394,PBDB-T-SF,
1,27_4_62_9_78_10324,0.670000,6.808251,15.389008,PBDB-T-SF,
1,49_13_13_13_49_10001,0.740000,6.486234,15.243441,PBDB-T-SF,
1,17_1_35_1_17_10201,0.530000,7.128794,15.234696,PBDB-T-SF,
1,2_33_33_62_44_13350,1.110000,4.616954,14.243792,PBDB-T-SF,
1,35_37_82_34_5_10235,0.520000,6.336630,14.101336,PBDB-T-SF,
1,58_24_44_17_58_13024,1.060000,4.662756,14.094112,PBDB-T-SF,
1,57_57_39_65_60_11350,0.780000,5.257765,13.722039,PBDB-T-SF,
1,14_22_59_22_59_01313,0.810000,5.152870,13.705248,PBDB-T-SF,
1,47_69_69_69_49_10003,0.790000,5.164412,13.636041,PBDB-T-SF,
1,47_23_47_23_47_13131,0.900000,4.645103,13.389003,PBDB-T-SF,
1,56_33_69_40_64_01234,0.910000,4.318329,12.981586,PBDB-T-SF,
1,28_43_43_43_28_10001,0.680000,4.807498,12.676522,PBDB-T-SF,
1,1_59_63_21_1_13021,0.480000,5.313821,12.522728,PBDB-T-SF,
1,81_81_45_12_47_00241,0.900000,3.908486,12.374682,PBDB-T-SF,
1,22_32_51_32_22_13031,1.200000,2.839714,12.179482,PBDB-T-SF,
1,65_29_39_77_67_01243,0.690000,3.608738,11.068378,PBDB-T-SF,
1,54_1_73_54_23_01204,0.500000,4.037853,10.850820,PBDB-T-SF,
1,26_16_16_16_26_02220,0.810000,3.003568,10.745660,PBDB-T-SF,
1,49_25_42_25_49_01210,0.670000,3.256409,10.498122,PBDB-T-SF,
1,27_16_25_16_27_01210,1.020000,2.138531,10.448053,PBDB-T-SF,
1,20_37_76_15_36_01246,0.900000,2.426942,10.334596,PBDB-T-SF,
1,68_13_20_13_68_01310,0.240000,4.360423,10.188699,PBDB-T-SF,
1,50_41_49_41_50_02120,0.200000,4.162310,9.745697,PBDB-T-SF,
1,66_14_14_14_66_13331,0.740000,2.468848,9.711501,PBDB-T-SF,
1,66_25_66_40_48_01032,0.600000,2.487382,9.141321,PBDB-T-SF,
1,40_1_40_22_79_01032,0.410000,2.474325,8.314891,PBDB-T-SF,
1,19_58_56_4_75_13052,0.180000,2.939689,7.977049,PBDB-T-SF,
1,57_57_56_57_57_00100,0.440000,1.918695,7.677439,PBDB-T-SF,
1,56_56_62_56_56_11011,0.180000,2.592039,7.498335,PBDB-T-SF,
2,50_18_18_18_50_10001,0.530000,7.378164,15.578078,PBDB-T-SF,
2,9_45_49_25_15_13579,0.840000,6.408858,15.562394,PBDB-T-SF,
2,27_4_62_9_78_10324,0.670000,6.808251,15.389008,PBDB-T-SF,
2,57_39_60_21_57_13021,0.710000,6.597516,15.269026,PBDB-T-SF,
2,49_13_13_13_49_10001,0.740000,6.486234,15.243441,PBDB-T-SF,
2,17_1_35_1_17_10201,0.530000,7.128794,15.234696,PBDB-T-SF,
2,2_33_33_62_44_13350,1.110000,4.616954,14.243792,PBDB-T-SF,
2,35_37_82_34_5_10235,0.520000,6.336630,14.101336,PBDB-T-SF,
2,58_24_44_17_58_13024,1.060000,4.662756,14.094112,PBDB-T-SF,
2,57_57_39_65_60_11350,0.780000,5.257765,13.722039,PBDB-T-SF,
2,14_22_59_22_59_01313,0.810000,5.152870,13.705248,PBDB-T-SF,
2,47_69_69_69_49_10003,0.790000,5.164412,13.636041,PBDB-T-SF,
2,64_23_64_23_64_13131,0.740000,5.192718,13.462269,PBDB-T-SF,
2,43_22_59_22_59_01313,0.850000,4.823032,13.421261,PBDB-T-SF,
2,47_23_47_23_47_13131,0.900000,4.645103,13.389003,PBDB-T-SF,
2,56_33_69_40_64_01234,0.910000,4.318329,12.981586,PBDB-T-SF,
2,57_60_82_4_65_10235,0.740000,4.780634,12.894830,PBDB-T-SF,
2,43_33_69_40_64_01234,0.920000,4.149035,12.791017,PBDB-T-SF,
2,28_43_43_43_28_10001,0.680000,4.807498,12.676522,PBDB-T-SF,
2,69_69_45_12_47_00241,0.470000,5.416343,12.621351,PBDB-T-SF,
2,35_37_37_37_35_10001,0.290000,5.959905,12.603936,PBDB-T-SF,
2,1_59_63_21_1_13021,0.480000,5.313821,12.522728,PBDB-T-SF,
2,81_81_45_12_47_00241,0.900000,3.908486,12.374682,PBDB-T-SF,
2,23_33_44_21_23_13021,0.600000,4.246337,11.563403,PBDB-T-SF,
2,17_62_62_62_17_10001,0.380000,4.277249,10.669869,PBDB-T-SF,
2,47_26_47_26_47_13131,0.900000,2.595310,10.566438,PBDB-T-SF,
2,65_43_43_43_65_10001,0.600000,3.216011,10.144644,PBDB-T-SF,
2,22_59_22_59_22_13131,0.530000,3.420641,10.128570,PBDB-T-SF,
2,35_35_34_39_37_11350,0.820000,2.438266,10.009789,PBDB-T-SF,
2,43_59_59_59_43_02220,0.530000,2.643160,9.057979,PBDB-T-SF,
3,57_60_21_60_57_10201,0.840000,7.482364,17.040612,PBDB-T-SF,
3,49_13_82_34_5_10235,0.780000,6.654398,15.645203,PBDB-T-SF,
3,50_18_18_18_50_10001,0.530000,7.378164,15.578078,PBDB-T-SF,
3,9_45_49_25_15_13579,0.840000,6.408858,15.562394,PBDB-T-SF,
3,27_4_62_9_78_10324,0.670000,6.808251,15.389008,PBDB-T-SF,
3,2_2_33_62_44_11350,1.080000,5.456739,15.272526,PBDB-T-SF,
3,57_39_60_21_57_13021,0.710000,6.597516,15.269026,PBDB-T-SF,
3,49_13_13_13_49_10001,0.740000,6.486234,15.243441,PBDB-T-SF,
3,17_1_35_1_17_10201,0.530000,7.128794,15.234696,PBDB-T-SF,
3,2_33_44_21_2_13021,0.710000,6.425368,15.031978,PBDB-T-SF,
3,49_49_39_65_13_11350,0.930000,5.521327,14.723214,PBDB-T-SF,
