gen,filename,deltaHOMO,summedoscs,PCE,
81,38_45_45_44_45_10023,0.89,9.361921,19.841512,3
97,38_45_45_44_45_10023,0.89,9.361921,19.841512,3
105,38_45_45_44_45_10023,0.89,9.361921,19.841512,3
89,55_73_63_73_55_10201,1.1,8.692955,19.813896,1
64,51_45_45_77_32_10023,1.01,8.961756,19.801085,1
67,32_48_44_48_32_10201,1.01,8.949518,19.784233,1
71,60_45_45_45_60_10001,0.69,9.923677,19.76405,4
72,60_45_45_45_60_10001,0.69,9.923677,19.76405,4
85,60_45_45_45_60_10001,0.69,9.923677,19.76405,4
86,60_45_45_45_60_10001,0.69,9.923677,19.76405,4
62,5_45_45_45_5_10001,0.7,9.886925,19.755992,11
70,5_45_45_45_5_10001,0.7,9.886925,19.755992,11
74,5_45_45_45_5_10001,0.7,9.886925,19.755992,11
80,5_45_45_45_5_10001,0.7,9.886925,19.755992,11
81,5_45_45_45_5_10001,0.7,9.886925,19.755992,11
82,5_45_45_45_5_10001,0.7,9.886925,19.755992,11
89,5_45_45_45_5_10001,0.7,9.886925,19.755992,11
93,5_45_45_45_5_10001,0.7,9.886925,19.755992,11
94,5_45_45_45_5_10001,0.7,9.886925,19.755992,11
97,5_45_45_45_5_10001,0.7,9.886925,19.755992,11
104,5_45_45_45_5_10001,0.7,9.886925,19.755992,11
54,43_45_4_45_43_10201,0.61,10.148207,19.732827,1
100,38_57_44_57_38_10201,1.71,6.741853,19.722778,1
61,43_45_45_45_43_10001,0.68,9.924214,19.722239,8
71,43_45_45_45_43_10001,0.68,9.924214,19.722239,8
81,43_45_45_45_43_10001,0.68,9.924214,19.722239,8
86,43_45_45_45_43_10001,0.68,9.924214,19.722239,8
88,43_45_45_45_43_10001,0.68,9.924214,19.722239,8
97,43_45_45_45_43_10001,0.68,9.924214,19.722239,8
101,43_45_45_45_43_10001,0.68,9.924214,19.722239,8
104,43_45_45_45_43_10001,0.68,9.924214,19.722239,8
90,51_34_44_34_51_10201,1.21,8.26024,19.686097,1
76,5_61_63_61_5_10201,0.8,9.522123,19.67916,2
103,5_61_63_61_5_10201,0.8,9.522123,19.67916,2
58,42_45_21_45_42_10201,0.73,9.722883,19.657756,1
43,32_45_19_45_32_10201,0.86,9.318081,19.653494,11
44,32_45_19_45_32_10201,0.86,9.318081,19.653494,11
45,32_45_19_45_32_10201,0.86,9.318081,19.653494,11
46,32_45_19_45_32_10201,0.86,9.318081,19.653494,11
47,32_45_19_45_32_10201,0.86,9.318081,19.653494,11
48,32_45_19_45_32_10201,0.86,9.318081,19.653494,11
49,32_45_19_45_32_10201,0.86,9.318081,19.653494,11
50,32_45_19_45_32_10201,0.86,9.318081,19.653494,11
51,32_45_19_45_32_10201,0.86,9.318081,19.653494,11
52,32_45_19_45_32_10201,0.86,9.318081,19.653494,11
54,32_45_19_45_32_10201,0.86,9.318081,19.653494,11
67,32_63_63_63_51_10023,0.6,10.120189,19.651696,1
18,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
19,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
20,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
21,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
22,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
23,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
24,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
25,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
26,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
27,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
28,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
29,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
30,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
31,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
32,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
33,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
34,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
35,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
36,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
37,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
38,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
39,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
40,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
41,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
42,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
43,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
44,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
45,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
46,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
47,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
48,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
49,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
50,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
51,51_4_45_4_51_10201,0.26,11.169269,19.649579,34
103,45_45_14_45_45_10201,0.7,9.802642,19.639935,1
63,42_45_45_4_51_10023,0.34,10.908518,19.630926,2
110,42_45_45_4_51_10023,0.34,10.908518,19.630926,2
103,45_63_30_45_5_02401,1,8.865339,19.625769,1
61,12_45_4_45_12_10201,0.61,10.067461,19.621641,1
83,42_45_44_65_42_10231,0.89,9.198467,19.616436,1
73,45_45_43_45_45_10301,0.67,9.876835,19.614448,1
61,5_45_63_63_28_10223,0.78,9.530198,19.60518,1
90,60_45_21_45_60_10201,0.91,9.120645,19.594375,1
69,45_45_64_45_45_10201,0.57,10.169556,19.592025,1
27,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
28,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
29,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
30,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
31,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
32,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
33,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
34,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
35,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
36,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
37,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
38,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
39,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
40,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
41,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
42,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
43,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
44,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
45,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
46,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
47,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
48,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
49,51_48_4_45_51_13021,0.65,9.922216,19.591838,23
67,51_45_45_70_42_10023,0.68,9.826646,19.587889,1
83,28_45_63_45_28_10201,0.95,8.988933,19.583207,1
81,51_60_63_60_51_10201,1.06,8.646,19.579039,1
66,28_45_44_45_28_10201,1.09,8.553244,19.578964,1
96,45_45_45_19_42_10023,0.69,9.781909,19.568835,1
65,43_45_45_45_43_10201,0.68,9.80917,19.563824,1
53,19_45_63_45_19_10201,0.79,9.461612,19.553286,1
21,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
22,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
23,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
24,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
25,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
26,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
27,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
28,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
29,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
30,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
31,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
32,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
33,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
34,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
35,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
36,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
37,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
38,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
39,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
40,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
41,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
42,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
43,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
44,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
45,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
46,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
47,4_45_4_45_4_02020,0.26,11.086802,19.536023,27
90,5_45_45_34_42_10023,0.73,9.621663,19.518376,1
11,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
12,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
13,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
14,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
15,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
16,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
17,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
18,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
19,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
20,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
21,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
22,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
23,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
24,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
25,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
26,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
27,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
28,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
29,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
30,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
31,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
32,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
33,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
34,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
35,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
36,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
37,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
38,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
39,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
40,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
41,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
42,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
43,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
44,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
45,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
46,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
47,51_4_4_4_51_10001,0.26,11.072204,19.515922,37
107,42_45_45_63_24_10023,0.74,9.577409,19.499988,1
80,38_45_59_45_38_10201,1.04,8.641568,19.487835,1
19,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
20,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
21,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
22,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
23,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
24,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
25,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
26,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
27,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
28,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
29,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
30,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
31,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
32,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
33,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
34,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
35,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
36,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
37,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
38,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
39,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
40,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
41,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
42,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
43,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
44,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
45,32_4_4_4_32_10001,0.36,10.734429,19.476305,27
100,49_45_45_45_49_10001,0.7,9.68378,19.476262,1
72,38_45_45_44_5_10023,0.86,9.182997,19.467483,1
19,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
20,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
21,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
22,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
23,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
24,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
25,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
26,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
27,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
28,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
29,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
30,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
31,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
32,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
33,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
34,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
35,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
36,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
37,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
38,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
39,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
40,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
41,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
42,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
43,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
44,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
45,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
46,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
50,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
51,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
52,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
53,32_63_45_63_32_10201,0.52,10.231018,19.463909,32
33,32_48_63_18_32_13021,0.95,8.899298,19.45978,11
34,32_48_63_18_32_13021,0.95,8.899298,19.45978,11
35,32_48_63_18_32_13021,0.95,8.899298,19.45978,11
36,32_48_63_18_32_13021,0.95,8.899298,19.45978,11
37,32_48_63_18_32_13021,0.95,8.899298,19.45978,11
38,32_48_63_18_32_13021,0.95,8.899298,19.45978,11
39,32_48_63_18_32_13021,0.95,8.899298,19.45978,11
40,32_48_63_18_32_13021,0.95,8.899298,19.45978,11
41,32_48_63_18_32_13021,0.95,8.899298,19.45978,11
42,32_48_63_18_32_13021,0.95,8.899298,19.45978,11
43,32_48_63_18_32_13021,0.95,8.899298,19.45978,11
73,51_45_45_44_5_10023,0.84,9.231999,19.449858,2
74,51_45_45_44_5_10023,0.84,9.231999,19.449858,2
15,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
16,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
17,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
18,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
19,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
20,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
21,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
22,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
23,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
24,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
25,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
26,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
27,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
28,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
29,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
30,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
31,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
32,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
33,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
34,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
35,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
36,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
37,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
38,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
39,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
40,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
41,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
42,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
45,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
46,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
51,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
52,32_63_63_63_32_10001,0.65,9.815183,19.444454,32
91,51_45_69_45_51_10201,0.79,9.380668,19.441826,1
53,38_45_19_45_38_10201,0.82,9.285073,19.437842,1
62,59_45_4_45_59_10201,0.62,9.894899,19.426572,1
65,42_45_45_4_5_10023,0.41,10.531124,19.409104,1
79,42_60_63_60_42_10201,1.08,8.458561,19.406035,1
31,45_45_4_45_45_00200,0.41,10.527823,19.404559,12
32,45_45_4_45_45_00200,0.41,10.527823,19.404559,12
33,45_45_4_45_45_00200,0.41,10.527823,19.404559,12
34,45_45_4_45_45_00200,0.41,10.527823,19.404559,12
35,45_45_4_45_45_00200,0.41,10.527823,19.404559,12
36,45_45_4_45_45_00200,0.41,10.527823,19.404559,12
37,45_45_4_45_45_00200,0.41,10.527823,19.404559,12
38,45_45_4_45_45_00200,0.41,10.527823,19.404559,12
39,45_45_4_45_45_00200,0.41,10.527823,19.404559,12
40,45_45_4_45_45_00200,0.41,10.527823,19.404559,12
49,45_45_4_45_45_00200,0.41,10.527823,19.404559,12
52,45_45_4_45_45_00200,0.41,10.527823,19.404559,12
79,51_45_51_45_51_10201,0.82,9.260298,19.403727,1
71,42_45_32_45_42_10201,0.97,8.789724,19.393996,1
111,38_45_45_64_5_10023,0.78,9.373937,19.390007,1
65,45_63_75_63_51_02421,0.78,9.372055,19.387416,1
114,43_45_45_63_45_10023,0.71,9.582366,19.379164,1
63,42_30_63_30_42_10201,1.16,8.184243,19.368699,1
24,4_4_45_4_4_00200,0.22,11.083551,19.361346,15
25,4_4_45_4_4_00200,0.22,11.083551,19.361346,15
26,4_4_45_4_4_00200,0.22,11.083551,19.361346,15
27,4_4_45_4_4_00200,0.22,11.083551,19.361346,15
28,4_4_45_4_4_00200,0.22,11.083551,19.361346,15
29,4_4_45_4_4_00200,0.22,11.083551,19.361346,15
30,4_4_45_4_4_00200,0.22,11.083551,19.361346,15
31,4_4_45_4_4_00200,0.22,11.083551,19.361346,15
32,4_4_45_4_4_00200,0.22,11.083551,19.361346,15
33,4_4_45_4_4_00200,0.22,11.083551,19.361346,15
34,4_4_45_4_4_00200,0.22,11.083551,19.361346,15
35,4_4_45_4_4_00200,0.22,11.083551,19.361346,15
36,4_4_45_4_4_00200,0.22,11.083551,19.361346,15
37,4_4_45_4_4_00200,0.22,11.083551,19.361346,15
38,4_4_45_4_4_00200,0.22,11.083551,19.361346,15
59,45_45_5_45_45_00100,0.66,9.716716,19.351415,2
77,45_45_5_45_45_00100,0.66,9.716716,19.351415,2
61,38_35_44_35_38_10201,1.07,8.429532,19.323511,1
102,57_45_45_45_57_10001,0.68,9.633989,19.322599,1
54,38_31_52_31_38_13531,1.45,7.246133,19.310871,1
16,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
17,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
18,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
19,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
20,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
21,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
22,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
23,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
24,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
25,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
26,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
27,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
28,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
29,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
30,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
31,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
32,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
33,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
34,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
35,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
36,38_4_45_4_38_10201,0.27,10.887383,19.303973,21
85,42_45_45_44_5_10023,0.73,9.465861,19.303838,2
87,42_45_45_44_5_10023,0.73,9.465861,19.303838,2
38,32_48_9_45_32_13021,0.93,8.845407,19.300473,1
29,38_48_4_45_38_13021,0.61,9.828371,19.292413,8
30,38_48_4_45_38_13021,0.61,9.828371,19.292413,8
31,38_48_4_45_38_13021,0.61,9.828371,19.292413,8
32,38_48_4_45_38_13021,0.61,9.828371,19.292413,8
33,38_48_4_45_38_13021,0.61,9.828371,19.292413,8
34,38_48_4_45_38_13021,0.61,9.828371,19.292413,8
35,38_48_4_45_38_13021,0.61,9.828371,19.292413,8
36,38_48_4_45_38_13021,0.61,9.828371,19.292413,8
91,14_45_44_45_14_10201,0.93,8.836853,19.288693,1
88,42_45_48_45_42_10201,0.44,10.349952,19.28728,1
66,33_45_45_44_51_10023,0.99,8.649431,19.285913,1
45,42_4_4_4_42_10001,0.33,10.68756,19.284116,1
51,45_63_23_45_32_02103,0.94,8.79618,19.275237,1
84,45_73_13_73_45_10201,1.01,8.574859,19.268327,1
29,32_48_4_45_32_13021,0.61,9.808645,19.26525,6
30,32_48_4_45_32_13021,0.61,9.808645,19.26525,6
31,32_48_4_45_32_13021,0.61,9.808645,19.26525,6
32,32_48_4_45_32_13021,0.61,9.808645,19.26525,6
33,32_48_4_45_32_13021,0.61,9.808645,19.26525,6
34,32_48_4_45_32_13021,0.61,9.808645,19.26525,6
83,43_29_63_29_43_10201,0.56,9.959401,19.260091,1
28,32_48_63_4_32_13021,0.67,9.612881,19.250984,5
29,32_48_63_4_32_13021,0.67,9.612881,19.250984,5
30,32_48_63_4_32_13021,0.67,9.612881,19.250984,5
31,32_48_63_4_32_13021,0.67,9.612881,19.250984,5
36,32_48_63_4_32_13021,0.67,9.612881,19.250984,5
22,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
23,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
24,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
25,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
26,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
27,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
28,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
29,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
30,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
31,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
32,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
33,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
34,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
35,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
36,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
37,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
41,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
43,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
46,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
47,32_4_45_4_32_10201,0.31,10.721725,19.246062,20
50,38_45_51_45_38_10201,0.81,9.176596,19.245919,2
51,38_45_51_45_38_10201,0.81,9.176596,19.245919,2
21,4_45_45_45_4_02220,0.27,10.842605,19.242314,9
22,4_45_45_45_4_02220,0.27,10.842605,19.242314,9
23,4_45_45_45_4_02220,0.27,10.842605,19.242314,9
24,4_45_45_45_4_02220,0.27,10.842605,19.242314,9
25,4_45_45_45_4_02220,0.27,10.842605,19.242314,9
26,4_45_45_45_4_02220,0.27,10.842605,19.242314,9
27,4_45_45_45_4_02220,0.27,10.842605,19.242314,9
28,4_45_45_45_4_02220,0.27,10.842605,19.242314,9
29,4_45_45_45_4_02220,0.27,10.842605,19.242314,9
108,14_45_45_45_14_10001,0.66,9.63393,19.237418,1
25,30_48_4_45_30_13021,0.61,9.786386,19.2346,5
26,30_48_4_45_30_13021,0.61,9.786386,19.2346,5
27,30_48_4_45_30_13021,0.61,9.786386,19.2346,5
28,30_48_4_45_30_13021,0.61,9.786386,19.2346,5
29,30_48_4_45_30_13021,0.61,9.786386,19.2346,5
87,45_45_73_45_45_10201,0.34,10.609528,19.219216,4
94,45_45_73_45_45_10201,0.34,10.609528,19.219216,4
97,45_45_73_45_45_10201,0.34,10.609528,19.219216,4
104,45_45_73_45_45_10201,0.34,10.609528,19.219216,4
61,45_45_10_45_45_00200,0.46,10.238163,19.218447,2
108,45_45_10_45_45_00200,0.46,10.238163,19.218447,2
46,32_17_63_17_32_10201,1.09,8.291269,19.218225,1
73,32_45_45_63_5_10023,0.46,10.234614,19.213559,6
76,32_45_45_63_5_10023,0.46,10.234614,19.213559,6
81,32_45_45_63_5_10023,0.46,10.234614,19.213559,6
87,32_45_45_63_5_10023,0.46,10.234614,19.213559,6
92,32_45_45_63_5_10023,0.46,10.234614,19.213559,6
114,32_45_45_63_5_10023,0.46,10.234614,19.213559,6
100,42_45_14_45_42_10201,0.7,9.491882,19.212019,1
72,32_45_50_45_32_10201,0.86,8.991149,19.203309,1
73,45_45_45_63_5_10023,0.54,9.976798,19.198947,11
76,45_45_45_63_5_10023,0.54,9.976798,19.198947,11
80,45_45_45_63_5_10023,0.54,9.976798,19.198947,11
83,45_45_45_63_5_10023,0.54,9.976798,19.198947,11
85,45_45_45_63_5_10023,0.54,9.976798,19.198947,11
86,45_45_45_63_5_10023,0.54,9.976798,19.198947,11
90,45_45_45_63_5_10023,0.54,9.976798,19.198947,11
93,45_45_45_63_5_10023,0.54,9.976798,19.198947,11
95,45_45_45_63_5_10023,0.54,9.976798,19.198947,11
103,45_45_45_63_5_10023,0.54,9.976798,19.198947,11
110,45_45_45_63_5_10023,0.54,9.976798,19.198947,11
