gen,filename,deltaHOMO,summedoscs,PCE,
65,38_77_44_77_38_10201,1.75,7.285955,20.642207,8
66,38_77_44_77_38_10201,1.75,7.285955,20.642207,8
67,38_77_44_77_38_10201,1.75,7.285955,20.642207,8
58,42_45_4_45_42_10201,0.63,10.736144,20.627517,10
59,42_45_4_45_42_10201,0.63,10.736144,20.627517,10
60,42_45_4_45_42_10201,0.63,10.736144,20.627517,10
61,42_45_4_45_42_10201,0.63,10.736144,20.627517,10
62,42_45_4_45_42_10201,0.63,10.736144,20.627517,10
63,42_45_4_45_42_10201,0.63,10.736144,20.627517,10
64,42_45_4_45_42_10201,0.63,10.736144,20.627517,10
65,42_45_4_45_42_10201,0.63,10.736144,20.627517,10
66,42_45_4_45_42_10201,0.63,10.736144,20.627517,10
67,42_45_4_45_42_10201,0.63,10.736144,20.627517,10
93,45_48_63_48_45_10201,0.92,9.832635,20.617335,1
88,42_45_75_45_42_10201,1.06,9.396067,20.61188,1
91,57_45_63_45_57_10201,0.97,9.672825,20.610027,1
64,5_45_45_63_51_10023,0.73,10.39727,20.586387,2
65,5_45_45_63_51_10023,0.73,10.39727,20.586387,2
85,42_45_45_44_45_10023,0.93,9.745186,20.539468,4
100,42_45_45_44_45_10023,0.93,9.745186,20.539468,4
106,42_45_45_44_45_10023,0.93,9.745186,20.539468,4
113,42_45_45_44_45_10023,0.93,9.745186,20.539468,4
86,32_45_45_63_42_10023,0.68,10.499037,20.513771,2
106,32_45_45_63_42_10023,0.68,10.499037,20.513771,2
56,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
57,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
58,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
59,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
60,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
61,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
62,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
63,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
64,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
68,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
71,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
73,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
74,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
75,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
76,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
77,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
78,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
82,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
84,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
92,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
93,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
94,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
98,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
101,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
107,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
108,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
112,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
114,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
115,42_45_45_45_42_10001,0.67,10.526392,20.508889,29
70,42_45_45_63_5_10023,0.57,10.83115,20.50304,5
90,42_45_45_63_5_10023,0.57,10.83115,20.50304,5
105,42_45_45_63_5_10023,0.57,10.83115,20.50304,5
107,42_45_45_63_5_10023,0.57,10.83115,20.50304,5
