,don_core,don_core_count
0,48,1989
1,30,165
2,5,128
3,25,96
4,15,90
5,11,79
6,54,76
7,47,29
8,19,24
9,20,21
10,21,19
11,29,18
12,35,18
13,22,16
14,39,15
15,38,15
16,24,14
17,17,14
18,60,13
19,45,13
20,14,12
21,59,12
22,58,12
23,4,11
24,13,11
25,26,10
26,9,10
27,61,10
28,3,10
29,43,9
30,36,9
31,57,9
32,6,9
33,46,8
34,49,8
35,0,8
36,50,8
37,56,8
38,34,7
39,16,7
40,7,7
41,52,7
42,53,7
43,62,6
44,44,6
45,18,6
46,33,6
47,37,6
48,42,6
49,55,6
50,28,6
51,12,6
52,32,5
53,10,5
54,8,5
55,23,5
56,2,5
57,51,5
58,31,5
59,27,2
60,1,1
61,40,1
