,SMILES,new name,old name,homo,lumo
0,C1=c2c(nc3C(=O)C=CC(=O)c3n2)=C(S1),0ac,25a,-6.908970664195,-3.33744916499745
1,C1=CC=C(C2C1N=C(C(=N2)F)F),1ac,25u,-6.59029813387445,-2.0972358685736
2,C1=NN=C(C2C1=NSN=2),2ac,6a,-6.865432448115,-3.39301481326955
3,C1=C([N+](=O)[O-])C(C)=C(S1),3ac,8d,-7.16881218003745,-2.4269834326095
4,C1C2=NSN=C2C(C3C1=NSN=3),4ac,18a,-7.2802428018172005,-2.0829498914223503
5,C1=C2C(N=C(C(=N2)C#N)C#N)=C(C3C1=NSN=3),5ac,16a,-7.373496218383551,-4.33251509350585
6,C1=C(C#N)c2c(S1)sc3c2C(C#N)=C(S3),6ac,49u,-6.7737028691114505,-1.7740190369497
7,C1=CN=C(C2C1=NSN=2),7ac,17a,-7.244949635407351,-2.94827193601235
8,C1=CC=C(C2=NC=CN=C12),8ac,7a,-6.82317316713235,-2.13329095376485
9,C1=CC=C(c2c1nsn2),9ac,3a,-6.7855942443783,-2.5007807088651
10,C1=CC(F)=C(c2c1nsn2),10ac,26u,-6.9071747127817,-2.6523481235936
11,C1=C(F)C(F)=C(C(=C1F)F),11ac,7u,-7.019993115199,-1.1347691793551
12,C1=NC=CC(=N1)C=C,12ac,32u,-6.9747677932459,-1.8821570811383999
13,C1=C(F)C(F)=C(c2c1nn(n2)C),13ac,51u,-6.688367965594651,-1.7609303607406501
14,C1=C(F)C(F)=C(S1),14ac,6u,-6.9533252218265,-0.84314476577425
15,C1=CN=C(C=N1),15ac,57u,-6.898684760646101,-1.57719908888305
16,C1=CC=C(S1),16ac,2u,-6.54670549502435,-0.44760007268744995
17,C1=NC(=NC=N1),17ac,33u,-7.639297027551951,-1.74672601774455
18,C1=C(C(=O)O)C(=NO1),18ac,46u,-8.1329931865141,-1.7924139332435
19,C1=CC(=C(C#N)C#N)C=C(O1),19ac,40u,-6.60945494894965,-2.6533821562255
20,C1=NN=C(C2C1=NON=2),20ac,5a,-7.3031003652592,-3.6041751612575506
21,C1=COC=C1C(=O)C2=CC=C(S2),21ac,22u,-6.7180011639141,-2.00980568840795
22,C1=CC=C(C2C1=NC(=C(N=2)C)C),22ac,8a,-6.6176455758497,-1.8094482602848
23,C1=C2C(N=CC=N2)=C(c3c1nsn3),23ac,24a,-6.56368539929555,-3.3531773455563503
24,C1=CC=C2C(=C1)OC(=N2),24ac,45u,-6.802193189258801,-1.06486313116165
25,C1=C(C2=CC(=CC=C2S1)C#N),25ac,20u,-6.65163259577715,-1.5700969173850001
26,C1=C(OC)C(OC)=C(C2C1=NON=2),26ac,13a,-6.823445280982851,-2.43707885646305
27,C1=C(C(=O)O)C(=CS1),27ac,47u,-7.279263191955401,-1.5840835693007
28,C1=C2C(N=C(C(=N2)F)F)=C(C3C1=NSN=3),28ac,15a,-6.867799838614349,-3.5040644756586
29,C1=NC=C(N=N1),29ac,31u,-6.648421652341249,-2.2943279304907502
30,C1=NC2=C(S1)N=C(S2),30ac,12a,-6.82796237090115,-1.6478670558579
31,C1=C2C(=O)N(C)C(=O)C2=C(S1),31ac,10a,-7.4339327045795995,-1.9148923773535502
32,C1=CN=C(N=C1),32ac,21u,-7.0054622355823,-1.35319496715145
33,C(\c1c(c(c(c(c1F)F)F)F)F)=C(/c2c(c(c(c(c2F)F)F)F)F),33ac,29u,-6.7302462871866,-2.4740047059759
34,C1=C2C(=O)c3c(c(sc3C(F)(F)F)C(F)(F)F)C(=O)C2=C(S1),34ac,18u,-7.6153782200930005,-3.0558929638851002
35,c1(C)nnc(c2c1non2)(C),35ac,27a,-6.89141932083775,-3.2213381849891003
36,C=C,36ac,59u,-7.50623335465745,0.1574994966694
37,C1=CC(F)=C(C=C1F),37ac,5u,-6.8091593038316,-0.8950096656795499
38,C1=NN=C(c2c1nsn2),38ac,28a,-6.865432448115,-3.39301481326955
39,C1=CC=C(c2c1non2),39ac,22a,-7.0743070397588,-2.6410826101829
40,C1=CC=C(c2c1n[se]n2),40ac,23a,-6.6409929442225994,-2.60845615950795
41,C1=C(C#N)SC(=C1C#N),41ac,48u,-7.7551358937098005,-2.5901973201393997
42,C1=C(F)C(F)=C(C2C1=NSN=2),42ac,2a,-7.1210017765046,-2.7549894680022002
