,SMILES,new name,old name,homo,lumo,bandgap
90,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C1C(=C2)C=CC=C1,90atr,51utr,-6.874221725,-3.577671272,3.296550453
93,OC(=O)c1c(noc1C#N)C#N,93atr,33utr,-8.89651744,-3.774654489,5.121862951
94,C1=CC=C(c2c1non2),39ac,22a,-7.07430704,-2.64108261,4.43322443
95,C1=CC=C(c2c1n[se]n2),40ac,23a,-6.640992944,-2.60845616,4.032536784
96,C=C1C(=O)C2=C(SC=C2C1=C(C#N)C#N)C,96atr,14atr,-7.159587521,-3.491003011,3.66858451
97,C=C1C(=O)N(C(=O)N(C1=O)C)C,97atr,25atr,-7.438177681,-2.658116937,4.780060744
99,C=C1C(=O)C2=C(C1=C(C#N)C#N)C=CC(=C2)Br,99atr,30atr,-7.360108217,-3.692040724,3.668067493
100,C1=C(C(=C(C#N)C#N)OC1(C2=CC=CC=C2)C3=CC=CC=C3)C#N,100atr,20utr,-7.163397114,-3.22419538,3.939201734
101,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C3C(=C2)SC=C3,52atr,32atr,-7.43385107,-3.566705084,3.867145986
103,C=C1C(=O)C2=C(C1=C(C#N)C#N)C=CS2,103atr,23atr,-7.414530987,-3.511955777,3.90257521
111,c1cc(SC)sc1C=C,111,403,-5.32597555,-1.162524792,4.163450758
125,c1oc(c(c1C(F)(F)F)OC)C=C,125,966,-5.760133199,-1.121109064,4.639024135
126,c1c2n(CC)c3c(c2ccc1)cccc3C=C,126,686,-5.526006442,-1.158524719,4.367481723
142,c1sc(c2c1[C@H](S)CCC2)C=C,142,359,-5.82459697,-1.271941771,4.552655199
174,C1=C2C(C(=O)N1)=C(OC2=O),174,289,-6.401940927,-2.784404975,3.617535951
179,c1sc(c2c1c(C#N)ccc2),179,638,-6.158916047,-2.39903734,3.759878707
204,c1sc2c(c1)sc1cc(sc21),204,61u,-5.762174053,-1.249220265,4.512953788
235,c1sc(O)c(c1),235,259,-5.787371795,-0.082477708,5.704894087
273,c1sc(c2c1cc(C)c(OC)c2)C=C,273,522,-5.117726821,-1.661146212,3.456580609
293,c1c2c(nccn2)c(c2c1nccn2)C=C,293,105,-6.156548656,-3.087567016,3.06898164
