,SMILES,new name,old name,homo,lumo,bandgap,don_core_count
26,C1=CC(C)=C(S1),26dc,4d,-6.302428891,-0.399735246,5.902693645,10
27,C1=c2c(nc(c(n2)C)C)=C(S1),27dc,37u,-6.154997607,-2.126705799,4.028291808,2
28,C1=CC=C([Se]1),28dc,64u,-6.524310525,-0.634896036,5.889414489,6
29,C1=CC(Cl)=C(S1)C2=C(Cl)C=C(S2),29dc,53u,-5.855971697,-1.640057388,4.215914309,18
30,C1=Cc2c(C3=CC=C(S3)C)c4c(c(c2S1)C5=CC=C(S5)C)C=C(S4),30dc,6d,-5.197728293,-1.605362872,3.592365421,165
31,C1=CC2=C(c3c(N=C2S1)sc(c3F)F),31dc,28u,-6.21143402,-1.747542359,4.463891661,5
32,C1=C2C(N=S=N2)=C(C3=CSC=C13),32dc,39u,-5.359744879,-3.060056306,2.299688573,5
33,C1=C2SC(C)=CC2=C(S1),33dc,10d,-5.545843542,-0.951554924,4.594288618,6
34,C1=C2OCC(C)OC2=C(S1),34dc,7d,-5.853549884,-0.195813127,5.657736757,7
35,C1=C(F)c2c(S1)c3c(s2)C(F)=C(S3),35dc,30u,-6.10397626,-1.610968418,4.493007842,18
36,C1=CC=C(C=C1)/C(/C2=CC=CC=C2)=C(/C3=CC=CC=C3)\C4=CC=C(C=C4),36dc,19u,-5.492726918,-1.573797666,3.918929252,9
37,C1=CC=C(c2c1nn(n2)C),37dc,21a,-6.344089522,-1.46367319,4.880416332,6
38,C1=Cc2c(S1)c(SC)c3c(c2SC)SC(=C3),38dc,14d,-5.71849978,-1.64911878,4.069381,15
39,C1=CC2=C(S1)C3=C([Si]2(C4=CC=CC=C4)C5=CC=CC=C5)C=C(S3),39dc,44u,-5.515829384,-1.52732062,3.988508764,15
40,C1=C2C(=O)N(C)C(=C2C(=O)N1C),40dc,4a,-5.684104589,-2.35462836,3.329476229,1
41,N1(C2=C(SC3C=CC=CC1=3)C=CC=C2)C,41dc,19d,-4.78294515,-0.73419038,4.04875477,0
42,C1=CC=C([SiH2]1),42dc,55u,-6.49552088,-1.618451549,4.877069331,6
43,C1=C(OC)C=C(C(=C1)OC),43dc,2d,-5.505080887,-0.231215139,5.273865748,9
44,C1=NN=C(C=C1),44dc,58u,-6.327245675,-1.601281165,4.72596451,6
45,C1=CC2=C(S1)C3=C([Si]2(C)C)C=C(S3),45dc,43u,-5.468481574,-1.426611284,4.04187029,13
46,C1=CC(C2=CC(=CC(=C2)OC)OC)=C(S1),46dc,10u,-5.768187769,-0.928615726,4.839572043,8
47,C=C1C=C/C(/S1)=C/2\C=CC(S2)=C,47dc,24u,-4.968417951,-2.284450198,2.683967753,29
48,C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3),48dc,38u,-6.220604257,-3.572337841,2.648266416,1989
49,C1=C(F)C(OC)=C(C(=C1OC)F),49dc,8u,-5.676512613,-0.342128744,5.334383869,8
50,C1=CC=C(C2=C[Si]C=C12),50dc,56u,-5.502278114,-3.568256133,1.934021981,8
51,C1=CC=C2C(=C1)N(C)C(=O)/C/2=C\3/C(=O)N(C)C4=C3C=CC(=C4),51dc,42u,-5.807834757,-2.855290633,2.952544124,5
52,C1=C2C(SC(=N2)C)=C(S1),52dc,9a,-6.055757686,-1.188157917,4.867599769,7
53,C1=CC2=C(S1)C1=C(CO2)C=C(S1),53dc,63u,-5.323635371,-1.339453218,3.984182153,7
54,C1=CC2=C(S1)C3=C(C2(C)C)C=C(S3),54dc,1d,-5.368343677,-1.198307763,4.170035914,76
55,C1=C2C(N=CS2)=C(C2=C1N=CS2),55dc,11a,-6.371627444,-1.751624067,4.620003377,6
56,C1=CC(Cl)=C(S1)C2=C(Cl)C=C(S2),56dc,54u,-5.855971697,-1.640057388,4.215914309,8
57,C1=C(OC)C(OC)=C(C2C1=NSN=2),57dc,1a,-6.389478112,-2.157509086,4.231969026,9
58,C1=Cc2c(S1)c3c(s2)C=C(N3C),58dc,13d,-5.26447782,-0.698842791,4.565635029,12
59,C(\C1=CC=C(C=C1)C(=O)O)=C(/C2=CC=C(C=C2)C(=O)O),59dc,27u,-6.525535037,-2.750417955,3.775117082,12
60,C1=C2C(N(C1=O)C)=C(C(=O)N2C),60dc,19a,-6.432880271,-2.509379507,3.923500764,13
61,C1=C(OC)C(OC)=C(C=C1),61dc,14u,-5.566524194,0.139676039,5.706200233,10
62,C1=C2C(C(=O)N1C)=C(N(C2=O)C),62dc,17u,-5.655804748,-2.325920349,3.329884399,6
