gen,filename,deltaHOMO,summedoscs,PCE,donor
1,6_25_26_25_6,0.780000,5.692162,14.320203,PBDB-T-SF,
1,27_45_14_45_27,0.580000,5.618877,13.368290,PBDB-T-SF,
1,19_15_27_15_19,0.380000,6.178045,13.287265,PBDB-T-SF,
1,47_54_28_54_47,1.020000,4.189074,13.271651,PBDB-T-SF,
1,78_50_30_50_78,0.420000,5.956859,13.152891,PBDB-T-SF,
1,18_60_8_60_18,0.370000,5.864567,12.813055,PBDB-T-SF,
1,36_14_38_14_36,0.640000,4.804531,12.502236,PBDB-T-SF,
1,59_25_9_25_59,0.730000,4.251616,12.123822,PBDB-T-SF,
1,81_38_17_38_81,0.050000,6.194505,11.905780,PBDB-T-SF,
1,85_24_33_24_85,0.620000,4.378777,11.830873,PBDB-T-SF,
1,16_60_12_60_16,0.260000,5.466147,11.796381,PBDB-T-SF,
1,81_13_38_13_81,0.530000,4.604580,11.758853,PBDB-T-SF,
1,33_0_23_0_33,1.170000,2.572964,11.684518,PBDB-T-SF,
1,65_3_13_3_65,0.780000,3.773956,11.678835,PBDB-T-SF,
1,47_30_18_30_47,0.210000,5.457871,11.572235,PBDB-T-SF,
1,92_39_39_39_92,0.780000,3.289918,11.012313,PBDB-T-SF,
1,39_3_14_3_39,1.130000,2.160516,10.946376,PBDB-T-SF,
1,38_0_15_0_38,0.790000,3.146205,10.856970,PBDB-T-SF,
1,42_53_38_53_42,0.580000,3.729267,10.766297,PBDB-T-SF,
1,83_7_32_7_83,0.620000,3.360065,10.428106,PBDB-T-SF,
1,95_57_3_57_95,0.740000,2.782002,10.142713,PBDB-T-SF,
1,80_55_14_55_80,0.560000,3.056042,9.754166,PBDB-T-SF,
1,63_6_31_6_63,0.250000,3.588563,9.168397,PBDB-T-SF,
1,6_26_35_26_6,0.240000,3.606455,9.150485,PBDB-T-SF,
1,54_43_24_43_54,0.360000,3.121966,8.993944,PBDB-T-SF,
1,60_32_21_32_60,0.110000,3.570120,8.547301,PBDB-T-SF,
1,32_18_4_18_32,0.320000,2.786946,8.362421,PBDB-T-SF,
1,59_28_18_28_59,0.190000,2.914348,7.984704,PBDB-T-SF,
1,79_9_17_9_79,0.140000,3.020462,7.918073,PBDB-T-SF,
1,5_16_33_16_5,0.420000,1.951103,7.636965,PBDB-T-SF,
1,94_61_42_61_94,0.380000,1.810954,7.273780,PBDB-T-SF,
1,13_61_21_61_13,0.120000,2.417486,7.002675,PBDB-T-SF,
1,6_25_26_25_6,0.780000,5.692162,14.320203,PBDB-T-SF,
1,27_45_14_45_27,0.580000,5.618877,13.368290,PBDB-T-SF,
1,19_15_27_15_19,0.380000,6.178045,13.287265,PBDB-T-SF,
1,47_54_28_54_47,1.020000,4.189074,13.271651,PBDB-T-SF,
1,78_50_30_50_78,0.420000,5.956859,13.152891,PBDB-T-SF,
1,18_60_8_60_18,0.370000,5.864567,12.813055,PBDB-T-SF,
1,36_14_38_14_36,0.640000,4.804531,12.502236,PBDB-T-SF,
1,59_25_9_25_59,0.730000,4.251616,12.123822,PBDB-T-SF,
1,81_38_17_38_81,0.050000,6.194505,11.905780,PBDB-T-SF,
1,85_24_33_24_85,0.620000,4.378777,11.830873,PBDB-T-SF,
1,16_60_12_60_16,0.260000,5.466147,11.796381,PBDB-T-SF,
1,81_13_38_13_81,0.530000,4.604580,11.758853,PBDB-T-SF,
1,33_0_23_0_33,1.170000,2.572964,11.684518,PBDB-T-SF,
1,65_3_13_3_65,0.780000,3.773956,11.678835,PBDB-T-SF,
1,47_30_18_30_47,0.210000,5.457871,11.572235,PBDB-T-SF,
1,92_39_39_39_92,0.780000,3.289918,11.012313,PBDB-T-SF,
1,39_3_14_3_39,1.130000,2.160516,10.946376,PBDB-T-SF,
1,38_0_15_0_38,0.790000,3.146205,10.856970,PBDB-T-SF,
1,42_53_38_53_42,0.580000,3.729267,10.766297,PBDB-T-SF,
1,83_7_32_7_83,0.620000,3.360065,10.428106,PBDB-T-SF,
1,95_57_3_57_95,0.740000,2.782002,10.142713,PBDB-T-SF,
1,80_55_14_55_80,0.560000,3.056042,9.754166,PBDB-T-SF,
1,63_6_31_6_63,0.250000,3.588563,9.168397,PBDB-T-SF,
1,6_26_35_26_6,0.240000,3.606455,9.150485,PBDB-T-SF,
1,54_43_24_43_54,0.360000,3.121966,8.993944,PBDB-T-SF,
1,60_32_21_32_60,0.110000,3.570120,8.547301,PBDB-T-SF,
1,32_18_4_18_32,0.320000,2.786946,8.362421,PBDB-T-SF,
1,59_28_18_28_59,0.190000,2.914348,7.984704,PBDB-T-SF,
1,79_9_17_9_79,0.140000,3.020462,7.918073,PBDB-T-SF,
1,5_16_33_16_5,0.420000,1.951103,7.636965,PBDB-T-SF,
1,94_61_42_61_94,0.380000,1.810954,7.273780,PBDB-T-SF,
1,13_61_21_61_13,0.120000,2.417486,7.002675,PBDB-T-SF,
2,18_30_8_30_18,0.190000,8.800909,16.090498,PBDB-T-SF,
2,78_21_28_21_78,0.730000,6.834032,15.679809,PBDB-T-SF,
2,78_22_13_22_78,0.240000,7.697047,14.783230,PBDB-T-SF,
2,81_54_28_54_81,0.850000,5.553480,14.427088,PBDB-T-SF,
2,6_25_26_25_6,0.780000,5.692162,14.320203,PBDB-T-SF,
2,19_25_13_25_19,0.720000,5.535088,13.848613,PBDB-T-SF,
2,27_54_14_54_27,0.600000,5.743812,13.625426,PBDB-T-SF,
2,27_45_14_45_27,0.580000,5.618877,13.368290,PBDB-T-SF,
2,19_15_27_15_19,0.380000,6.178045,13.287265,PBDB-T-SF,
2,47_54_28_54_47,1.020000,4.189074,13.271651,PBDB-T-SF,
2,78_50_30_50_78,0.420000,5.956859,13.152891,PBDB-T-SF,
2,65_39_39_39_65,0.600000,5.223415,12.908839,PBDB-T-SF,
2,18_60_8_60_18,0.370000,5.864567,12.813055,PBDB-T-SF,
2,16_15_27_15_16,0.320000,5.945561,12.711834,PBDB-T-SF,
2,18_60_17_60_18,0.160000,6.303698,12.524189,PBDB-T-SF,
2,36_14_38_14_36,0.640000,4.804531,12.502236,PBDB-T-SF,
2,81_25_30_25_81,0.660000,4.587135,12.287981,PBDB-T-SF,
2,59_25_9_25_59,0.730000,4.251616,12.123822,PBDB-T-SF,
2,81_38_17_38_81,0.050000,6.194505,11.905780,PBDB-T-SF,
2,85_24_33_24_85,0.620000,4.378777,11.830873,PBDB-T-SF,
2,16_60_12_60_16,0.260000,5.466147,11.796381,PBDB-T-SF,
2,81_13_38_13_81,0.530000,4.604580,11.758853,PBDB-T-SF,
2,85_26_33_26_85,0.720000,3.976241,11.702080,PBDB-T-SF,
2,33_0_23_0_33,1.170000,2.572964,11.684518,PBDB-T-SF,
2,65_3_13_3_65,0.780000,3.773956,11.678835,PBDB-T-SF,
2,47_30_18_30_47,0.210000,5.457871,11.572235,PBDB-T-SF,
2,18_60_38_60_18,0.060000,5.920665,11.571252,PBDB-T-SF,
2,92_39_39_39_92,0.780000,3.289918,11.012313,PBDB-T-SF,
2,27_60_14_60_27,0.170000,4.893282,10.624595,PBDB-T-SF,
2,81_13_17_13_81,0.150000,4.703232,10.277797,PBDB-T-SF,
2,91_0_8_0_91,0.920000,2.256178,10.184554,PBDB-T-SF,
2,81_45_17_45_81,0.110000,4.324197,9.585666,PBDB-T-SF,
3,78_47_14_47_78,0.770000,7.213870,16.373045,PBDB-T-SF,
3,18_30_8_30_18,0.190000,8.800909,16.090498,PBDB-T-SF,
3,78_25_30_25_78,0.760000,6.767566,15.715935,PBDB-T-SF,
3,78_21_28_21_78,0.730000,6.834032,15.679809,PBDB-T-SF,
3,18_15_8_15_18,0.650000,6.887692,15.413298,PBDB-T-SF,
3,18_15_7_15_18,0.680000,6.659024,15.226072,PBDB-T-SF,
3,78_22_13_22_78,0.240000,7.697047,14.783230,PBDB-T-SF,
3,81_54_28_54_81,0.850000,5.553480,14.427088,PBDB-T-SF,
3,19_54_8_54_19,0.640000,6.173180,14.386865,PBDB-T-SF,
3,6_25_26_25_6,0.780000,5.692162,14.320203,PBDB-T-SF,
3,19_39_13_39_19,0.640000,6.103180,14.290475,PBDB-T-SF,
3,27_21_28_21_27,0.760000,5.554507,14.045553,PBDB-T-SF,
3,56_54_28_54_56,0.840000,5.284362,14.013963,PBDB-T-SF,
3,18_25_25_25_18,0.540000,6.209917,14.011952,PBDB-T-SF,
3,19_25_13_25_19,0.720000,5.535088,13.848613,PBDB-T-SF,
3,27_54_14_54_27,0.600000,5.743812,13.625426,PBDB-T-SF,
3,27_45_14_45_27,0.580000,5.618877,13.368290,PBDB-T-SF,
3,19_15_27_15_19,0.380000,6.178045,13.287265,PBDB-T-SF,
3,47_54_28_54_47,1.020000,4.189074,13.271651,PBDB-T-SF,
3,78_50_30_50_78,0.420000,5.956859,13.152891,PBDB-T-SF,
3,65_39_39_39_65,0.600000,5.223415,12.908839,PBDB-T-SF,
3,18_60_8_60_18,0.370000,5.864567,12.813055,PBDB-T-SF,
3,16_15_27_15_16,0.320000,5.945561,12.711834,PBDB-T-SF,
3,18_60_17_60_18,0.160000,6.303698,12.524189,PBDB-T-SF,
3,36_14_38_14_36,0.640000,4.804531,12.502236,PBDB-T-SF,
3,18_60_13_60_18,0.230000,5.946088,12.329609,PBDB-T-SF,
3,81_54_38_54_81,0.550000,4.718543,12.000880,PBDB-T-SF,
3,36_14_26_14_36,0.640000,4.437271,11.996519,PBDB-T-SF,
3,53_15_13_15_53,0.790000,3.720270,11.647459,PBDB-T-SF,
3,65_39_17_39_65,0.050000,4.911959,10.139714,PBDB-T-SF,
3,19_50_11_50_19,0.200000,4.248823,9.864825,PBDB-T-SF,
3,11_50_14_50_11,0.230000,1.198517,5.792205,PBDB-T-SF,
4,18_25_28_25_18,1.000000,6.838656,16.835026,PBDB-T-SF,
4,20_54_28_54_20,0.890000,6.932587,16.496319,PBDB-T-SF,
4,78_47_14_47_78,0.770000,7.213870,16.373045,PBDB-T-SF,
4,18_30_8_30_18,0.190000,8.800909,16.090498,PBDB-T-SF,
4,18_47_14_47_18,0.770000,6.793194,15.793775,PBDB-T-SF,
4,78_25_30_25_78,0.760000,6.767566,15.715935,PBDB-T-SF,
4,78_21_28_21_78,0.730000,6.834032,15.679809,PBDB-T-SF,
4,18_15_8_15_18,0.650000,6.887692,15.413298,PBDB-T-SF,
4,18_15_7_15_18,0.680000,6.659024,15.226072,PBDB-T-SF,
4,27_30_14_30_27,0.230000,7.962531,15.106252,PBDB-T-SF,
4,18_25_8_25_18,0.760000,6.319167,15.098489,PBDB-T-SF,
4,18_25_26_25_18,0.780000,6.162164,14.967396,PBDB-T-SF,
4,78_22_13_22_78,0.240000,7.697047,14.783230,PBDB-T-SF,
4,78_22_8_22_78,0.240000,7.439793,14.428992,PBDB-T-SF,
4,81_54_28_54_81,0.850000,5.553480,14.427088,PBDB-T-SF,
4,19_54_8_54_19,0.640000,6.173180,14.386865,PBDB-T-SF,
4,6_25_26_25_6,0.780000,5.692162,14.320203,PBDB-T-SF,
4,19_39_13_39_19,0.640000,6.103180,14.290475,PBDB-T-SF,
4,27_21_28_21_27,0.760000,5.554507,14.045553,PBDB-T-SF,
4,56_54_28_54_56,0.840000,5.284362,14.013963,PBDB-T-SF,
4,18_25_25_25_18,0.540000,6.209917,14.011952,PBDB-T-SF,
4,19_54_26_54_19,0.660000,5.801452,13.960097,PBDB-T-SF,
4,19_25_13_25_19,0.720000,5.535088,13.848613,PBDB-T-SF,
4,27_54_14_54_27,0.600000,5.743812,13.625426,PBDB-T-SF,
4,27_25_14_25_27,0.630000,5.345417,13.204486,PBDB-T-SF,
4,81_15_8_15_81,0.590000,5.304280,12.977640,PBDB-T-SF,
4,18_15_4_15_18,0.360000,5.735686,12.593036,PBDB-T-SF,
4,56_54_13_54_56,0.630000,4.885919,12.571757,PBDB-T-SF,
4,19_15_6_15_19,0.020000,6.593938,12.328149,PBDB-T-SF,
4,31_25_13_25_31,0.850000,3.380400,11.434758,PBDB-T-SF,
4,11_21_28_21_11,0.850000,2.570165,10.319063,PBDB-T-SF,
4,72_47_28_47_72,1.310000,0.000000,8.737247,PBDB-T-SF,
5,18_30_19_30_18,0.080000,9.684327,16.838915,PBDB-T-SF,
5,18_25_28_25_18,1.000000,6.838656,16.835026,PBDB-T-SF,
5,18_54_28_54_18,0.910000,6.988744,16.658747,PBDB-T-SF,
5,20_54_28_54_20,0.890000,6.932587,16.496319,PBDB-T-SF,
5,78_47_14_47_78,0.770000,7.213870,16.373045,PBDB-T-SF,
5,78_11_13_11_78,0.250000,8.799144,16.343367,PBDB-T-SF,
5,18_30_8_30_18,0.190000,8.800909,16.090498,PBDB-T-SF,
5,18_47_14_47_18,0.770000,6.793194,15.793775,PBDB-T-SF,
5,78_25_30_25_78,0.760000,6.767566,15.715935,PBDB-T-SF,
5,78_21_28_21_78,0.730000,6.834032,15.679809,PBDB-T-SF,
5,78_25_8_25_78,0.700000,6.817456,15.529333,PBDB-T-SF,
5,18_15_14_15_18,0.720000,6.691618,15.441154,PBDB-T-SF,
5,18_15_8_15_18,0.650000,6.887692,15.413298,PBDB-T-SF,
5,20_30_8_30_20,0.240000,8.152806,15.410810,PBDB-T-SF,
5,18_15_7_15_18,0.680000,6.659024,15.226072,PBDB-T-SF,
5,78_22_14_22_78,0.270000,7.919351,15.216993,PBDB-T-SF,
5,18_47_13_47_18,0.610000,6.802575,15.125892,PBDB-T-SF,
5,27_30_14_30_27,0.230000,7.962531,15.106252,PBDB-T-SF,
5,18_25_8_25_18,0.760000,6.319167,15.098489,PBDB-T-SF,
5,18_25_26_25_18,0.780000,6.162164,14.967396,PBDB-T-SF,
5,18_36_14_36_18,0.380000,7.384629,14.948731,PBDB-T-SF,
5,78_22_7_22_78,0.180000,7.903250,14.811872,PBDB-T-SF,
5,78_22_13_22_78,0.240000,7.697047,14.783230,PBDB-T-SF,
5,78_22_8_22_78,0.240000,7.439793,14.428992,PBDB-T-SF,
5,81_54_28_54_81,0.850000,5.553480,14.427088,PBDB-T-SF,
5,19_54_8_54_19,0.640000,6.173180,14.386865,PBDB-T-SF,
5,18_22_14_22_18,0.330000,7.047281,14.271453,PBDB-T-SF,
5,19_25_8_25_19,0.720000,5.689346,14.061026,PBDB-T-SF,
5,27_54_16_54_27,0.630000,5.822704,13.861710,PBDB-T-SF,
5,18_25_27_25_18,0.370000,6.157483,13.216400,PBDB-T-SF,
5,78_25_35_25_78,0.170000,5.554387,11.534938,PBDB-T-SF,
5,18_61_8_61_18,0.260000,4.700790,10.742484,PBDB-T-SF,
6,18_15_28_15_18,0.880000,7.347615,17.025263,PBDB-T-SF,
6,18_30_19_30_18,0.080000,9.684327,16.838915,PBDB-T-SF,
6,18_25_28_25_18,1.000000,6.838656,16.835026,PBDB-T-SF,
6,18_54_28_54_18,0.910000,6.988744,16.658747,PBDB-T-SF,
6,20_54_28_54_20,0.890000,6.932587,16.496319,PBDB-T-SF,
