,SMILES,new name,old name,homo,lumo,bandgap,acc_term_count
51,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)SC=C3)C(=O)C1=C,51atl,32atl,-6.890902305,-3.517370843,3.373531462,3
52,C1=C(C(=O)O)C(=NO1),18ac,46u,-8.132993187,-1.792413933,6.340579254,202
53,C1=CC=C2C(=C1)C(=O)C(C2=O)=C,53atl,27atl,-6.94916188,-2.670906288,4.278255592,2
54,C1=C(F)C=CC2=C1C=C1C(=C2)C(=O)C(C1=C(C#N)C#N)=C,54atl,52utl,-6.997598145,-3.672639006,3.324959139,6
55,C1(C2=CC=CC=C2)(C3=CC=CC=C3)C(=C(C(=C(C#N)C#N)S1)C#N),55atl,21utl,-7.04208876,-3.315544,3.72654476,3
56,C1=CC(=C(C#N)C#N)C=C(O1),19ac,40u,-6.609454949,-2.653382156,3.956072793,8
57,C1=NN=C(C2C1=NON=2),20ac,5a,-7.303100365,-3.604175161,3.698925204,9
58,c1(C#N)c(F)c(F)c(s1)C#C,58atl,28utl,-7.124947427,-2.66780419,4.457143237,7
59,C1=C2C3=C(C=C1)C(=O)N(C)C(=O)C3=CC=C2,59atl,9utl,-6.697701471,-2.624075495,4.073625976,8
60,C1=COC=C1C(=O)C2=CC=C(S2),21ac,22u,-6.718001164,-2.009805688,4.708195476,4
61,C1=CC=CC2=C1C(=C(C#N)C#N)C(C2=C(C#N)C#N)=C,61atl,19atl,-7.421116142,-3.896371014,3.524745128,2
62,C1=CC=C(C2C1=NC(=C(N=2)C)C),22ac,8a,-6.617645576,-1.80944826,4.808197316,5
63,C1(F)=C(F)C(F)=C(F)C(=C1F),63atl,5utl,-7.3010323,-1.127830276,6.173202024,10
64,C1=C2C(N=CC=N2)=C(c3c1nsn3),23ac,24a,-6.563685399,-3.353177346,3.210508053,5
65,C1=CC=C2C(=C1)OC(=N2),24ac,45u,-6.802193189,-1.064863131,5.737330058,8
66,C1=C(C2=CC(=CC=C2S1)C#N),25ac,20u,-6.651632596,-1.570096917,5.081535679,4
67,C1=C(OC)C(OC)=C(C2C1=NON=2),26ac,13a,-6.823445281,-2.437078856,4.386366425,3
68,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)SC(=C3)Br)C(=O)C1=C,68atl,33atl,-6.919310991,-3.59315455,3.326156441,4
69,C1(=C(C(=C(C#N)C#N)SC1=O)C#N),69atl,3utl,-8.094706768,-4.757965099,3.336741669,284
70,C1=C(C(=O)O)C(=CS1),27ac,47u,-7.279263192,-1.584083569,5.695179623,3
71,C1=C2C(N=C(C(=N2)F)F)=C(C3C1=NSN=3),28ac,15a,-6.867799839,-3.504064476,3.363735363,2
72,C1=NC=C(N=N1),29ac,31u,-6.648421652,-2.29432793,4.354093722,3
73,C1=NC2=C(S1)N=C(S2),30ac,12a,-6.827962371,-1.647867056,5.180095315,3
74,C1=C2C(=O)N(C)C(=O)C2=C(S1),31ac,10a,-7.433932705,-1.914892377,5.519040328,2
75,C1(=C(C#N)C#N)C2=C(C=C(C(=C2)Cl)Cl)C(=O)C1=C,75atl,3atl,-7.468899334,-3.775579676,3.693319658,2
76,C1=CN=C(N=C1),32ac,21u,-7.005462236,-1.353194967,5.652267269,5
