Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,optical bandgap (cm-1),oscillator strength,single point energy,dipole moment (debye),summed oscs,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber,PCE
255_119_580_151_255_13051,-8.39,-6.8,-3.35,-3.07,1.5900000000000007,0.28000000000000025,13277.9,1.059986184,-14274.018918999484,7.75118,6.483722508,1.059986184,1.059986184,1.6461940419999999,13277.9,1.6461940419999999,13277.9,18.856732395753
580_155_169_169_169_02444,-6.68,-6.09,-2.14,-1.21,0.5899999999999999,0.9300000000000002,16338.0,0.807334542,-2445.991409290465,7.61542,4.435408605999999,0.807334542,0.807334542,2.02558524,16338.0,2.02558524,16338.0,11.781204152698995
279_7_580_175_279_13051,-7.88,-6.65,-3.17,-2.71,1.2299999999999995,0.45999999999999996,13391.5,1.389689509,-3628.175756766439,7.93326,7.302562866000001,1.389689509,1.389689509,1.6602781699999998,13391.5,1.6602781699999998,13391.5,18.452475568718995
260_22_580_22_260_13031,-8.09,-6.72,-4.1,-3.65,1.37,0.44999999999999973,7129.9,0.720945642,-4785.128501924038,7.58831,6.817929593,0.720945642,0.720945642,0.8839650019999998,7129.9,0.8839650019999998,7129.9,18.380835551798
255_119_580_119_255_13031,-8.12,-6.78,-3.29,-2.89,1.339999999999999,0.3999999999999999,13713.7,1.255251731,-13703.121306507412,6.67627,6.539687133999999,1.255251731,1.255251731,1.700224526,13713.7,1.700224526,13713.7,17.870045685754995
260_151_580_175_260_13051,-8.1,-6.75,-2.99,-2.82,1.3499999999999996,0.17000000000000037,15404.6,0.808684843,-5392.444256342777,2.60117,5.572543897,0.808684843,0.808684843,1.909862308,15404.6,1.909862308,15404.6,16.580839448405996
279_7_580_7_279_13031,-7.69,-6.58,-3.26,-2.82,1.1100000000000003,0.43999999999999995,12458.3,1.701500326,-3836.776423085852,3.40206,7.299843876,1.701500326,1.701500326,1.5445800339999998,12458.3,1.5445800339999998,12458.3,17.938131519488998
279_7_580_109_279_13051,-7.76,-6.57,-3.31,-2.72,1.1899999999999995,0.5899999999999999,12026.6,1.698602105,-4231.750358473583,7.09885,7.068454677,1.698602105,1.698602105,1.491057868,12026.6,1.491057868,12026.6,17.959908592465993
173_119_580_189_173_13051,-8.45,-6.57,-2.67,-1.97,1.879999999999999,0.7,15994.2,0.833731189,-2364.083175513237,3.3626,2.8019334110000003,0.833731189,0.833731189,1.982960916,15994.2,1.982960916,15994.2,15.020858809183993
279_7_580_142_279_13051,-7.59,-6.45,-2.9,-2.53,1.1399999999999997,0.3700000000000001,13789.5,1.277963281,-3683.601117047829,7.91097,7.365901724999999,1.277963281,1.277963281,1.7096222099999998,13789.5,1.7096222099999998,13789.5,18.156743177561992
279_7_580_119_279_13051,-7.87,-6.61,-3.25,-2.86,1.2599999999999998,0.3900000000000001,12510.0,1.244938402,-3776.669879104022,9.6417,6.989856109000001,1.244938402,1.244938402,1.5509897999999998,12510.0,1.5509897999999998,12510.0,18.149528364330003
