index,SMILES,new name,old name,homo,lumo,bandgap,
262,C1=CSC2=C1C(=O)C(C2=C(C#N)C#N)=C,43atl,35atl,-7.288977656,-3.607358893,3.681618763,
263,C1=NC=C(N1C(=O)N2C=CN=C2),14atl,36utl,-7.205656395,-2.045071643,5.160584752,
264,C(=O)(N1C=NC=C1)N2C=CN=C2,11atl,37utl,-7.173492538,-2.060935881,5.112556657,
265,C1(=NC=C(S1)C#N),37atl,38utl,-7.648303996,-2.262191285,5.386112711,
266,C1=C(C=C2C(=C1)NC(=O)C(=C2)C#N),36atl,39utl,-6.739688638,-2.620157055,4.119531583,
267,C1(=C(C#N)C#N)C2=C(C=C(C(=C2)Cl)Cl)C(=O)C1=C,76atl,3atl,-7.468899334,-3.775579676,3.693319658,
268,C1(=C(C(=C(C#N)C#N)SC1=O)C#N),70atl,3utl,-8.094706768,-4.757965099,3.336741669,
269,C1=C([N+](=O)[O-])C(CO)=CC(=C1),13atl,40utl,-7.497825037,-2.543012778,4.954812259,
270,C1(C(=O)C2=C(C1=C(C#N)C#N)C=CC3=C2C=CC=C3)=C,18atl,42utl,-6.919338202,-3.515139509,3.404198693,
271,C1(=O)C2=C(C=C(C(=C2)Cl)Cl)C(=O)C1=C,35atl,43utl,-7.211860591,-2.957496596,4.254363995,
272,C(=C(C(=O)OC)C#N),33atl,44utl,-8.196695039,-2.4601269,5.736568139,
273,c1(=C(C#N)C#N)c2c(C=CC=C2)c(s1)=C,27atl,45utl,-6.631305691,-3.128601785,3.502703906,
274,C1(=C(C#N)C#N)C2=C(C=C(C(=C2)C(=O)OC)C#N)C(=O)C1=C,84atl,46utl,-7.803109566,-4.081217953,3.721891613,
275,C1(=C(C#N)C#N)C2=C(C=C(C(=C2)C(=O)OC)C(=O)OC)C(=O)C1=C,85atl,47utl,-7.482940409,-3.70219057,3.780749839,
276,C1=C2C(=CS1)C(=O)C(C2=C([N+](=O)[O-])[N+](=O)[O-])=C,41atl,48utl,-7.576166614,-3.77389257,3.802274044,
277,C1(=O)C2=C(C=CC=C2)C(=O)N1,51atl,4utl,-7.493607272,-2.435745499,5.057861773,
278,C1(=O)C2=C(F)SC=C2/C(=[N+](\[N+](=O)[O-])/C(=O)[O-])/C1=C,15atl,50utl,-7.480709075,-3.347381321,4.133327754,
279,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)C=CC=C3)C(=O)C1=C,90atl,51utl,-6.874221725,-3.577671272,3.296550453,
280,C1=C(F)C=CC2=C1C=C1C(=C2)C(=O)C(C1=C(C#N)C#N)=C,55atl,52utl,-6.997598145,-3.672639006,3.324959139,
281,C1=C(F)C(F)=CC2=C1C=C1C(=C2)C(=O)C(C1=C(C#N)C#N)=C,78atl,53utl,-7.098987766,-3.727034565,3.371953201,
282,C1(F)=C(F)C(F)=C(F)C(=C1F),64atl,5utl,-7.3010323,-1.127830276,6.173202024,
283,C1(SC(=O)N(C1=O)C)=C,38atl,6atl,-7.020755034,-2.118896131,4.901858903,
284,C1(F)=C(C(=O)O)C(F)=C(F)C(=C1F),8atl,6utl,-7.568901174,-2.346737058,5.222164116,
285,C1=C2C3=C(C=C1)C(=O)N(C)C(=O)C3=CC=C2,60atl,9utl,-6.697701471,-2.624075495,4.073625976,
