index,SMILES,new name,old name,homo,lumo,bandgap,
63,c1sc(c(c1)C(=O)C(F)(F)F),413,338,-7.320706131,-2.335199431,4.9855067,
64,c(s1)c2c(=O)c3cn(CC)cc3c(=O)c2c1,83,343,-6.604284786,-2.091820803,4.512463983,
65,c1cc2c(C(=O)N(C2=O)CC)cc1C=C,179,360,-6.816043784,-2.442140174,4.37390361,
66,c1oc(c(c1)N(=O)=O)C=C,910,362,-6.753811347,-2.652021587,4.10178976,
67,c1sc(c(c1)N(=O)=O),228,364,-7.520165584,-2.4756646,5.044500983,
68,c1sc(c2c1C(=O)SC2=O)C=C,97,371,-6.931229577,-2.676511834,4.254717744,
69,c1sc(c2c1CCS(=O)(=O)C2),226,372,-6.879500734,-1.030712843,5.848787891,
70,c1sc(c2c1[C@H](N(=O)=O)CC[C@H]2N(=O)=O),139,378,-7.227888097,-2.063602597,5.1642855,
71,c1sc(C(F)(F)F)cc1,652,381,-7.141464738,-1.232566897,5.908897841,
72,C1C(=O)O[C@@H]2[C@H]1CC[C@@H]1[C@H]2OC(=O)C1C=C,410,385,-7.337223442,-0.723414672,6.61380877,
73,c1sc(c(c1C(=O)O)OC),709,388,-6.74268189,-1.323561769,5.419120121,
74,C1C(=O)O[C@H]2[C@@H]1CC[C@H]1[C@@H]2OC(=O)C1C=C,839,412,-7.450885397,-0.435082836,7.015802562,
75,c1sc(c2c1oc(=O)c(=O)s2)C=C,195,413,-6.550297398,-2.689301184,3.860996213,
76,c1sc(c2c1ncnc2C#N),632,418,-6.964509101,-3.215705428,3.748803673,
77,c1sc(c(c1C#N)C(F)(F)F),71,428,-7.720359744,-1.958675496,5.761684248,
78,c1cnc(cc1)C=C,521,430,-6.596339061,-1.40748168,5.188857381,
79,c1c(F)c(F)c(c(c1F)F)C=C,364,435,-6.929351992,-1.78351581,5.145836182,
80,C1OCC1C=C,496,437,-6.832479461,-0.071021715,6.761457746,
81,c1coc(N(=O)=O)c1C=C,688,438,-7.086470529,-2.738472157,4.347998372,
82,c1sc(c(c1N(=O)=O)N(=O)=O),597,444,-8.131904731,-2.950476058,5.181428673,
83,c(o1)c2c(=O)Nc(=O)c2c1C=C,117,447,-6.745702354,-2.229728102,4.515974252,
84,c1sc(c(c1C#N)C(F)(F)F)C=C,57,453,-7.019394465,-2.355689604,4.663704861,
85,c1oc(cc1C(=O)C),203,462,-6.793621603,-1.291506757,5.502114846,
86,c1sc(C=O)c(c1),881,464,-7.060973461,-2.061616166,4.999357296,
87,C1=C(CC)C(CC)=C(S1(=O)=O),804,470,-6.931039097,-2.222136126,4.708902972,
88,c1cc(cnc1),228,471,-6.957542987,-0.867879915,6.089663072,
89,c1sc(C(=O)O)cc1O,130,477,-6.591304955,-1.857122607,4.734182348,
90,c1sc(c2c1CC(=O)C(=O)C2),683,480,-6.620774885,-2.556945008,4.063829877,
91,c1sc(c(c1N(=O)=O)C#N),166,483,-7.981643463,-2.96446271,5.017180753,
92,c1oc(nn1),818,487,-7.821939844,-0.744857243,7.077082601,
93,c1sc(c2c1oc(=O)c(=O)s2),184,490,-6.940998464,-2.621762527,4.319235938,
94,c(s1)c2c(=O)n(CC)c(=O)c2c1,720,495,-7.4047621,-1.909803848,5.494958251,
95,c1sc(c(c1C(F)(F)F)C(F)(F)F)C=C,176,501,-6.877595937,-2.190462074,4.687133863,
96,c1nnc(nn1),219,502,-6.788941245,-3.243869212,3.545072033,
97,c1sc(c2c1[C@H](C(F)(F)F)CC[C@H]2C(F)(F)F),668,509,-6.78472348,-0.947663696,5.837059784,
98,c(s1)c2c(=O)n(CC)c(=O)c2c1C=C,449,512,-6.623931406,-2.220775557,4.403155849,
99,c1oc(cc1C(F)(F)F),110,521,-7.061163941,-0.46523305,6.595930891,
100,c1coc(N(=O)=O)c1,703,525,-7.535512805,-2.607013956,4.928498849,
101,c1sc(c2c1C(=O)CCC2=O),502,536,-6.989815689,-2.011928176,4.977887513,
102,c1c2c(nccn2)c(c2c1nccn2),105,537,-6.74091315,-3.022395749,3.718517401,
103,c1scc(C(=O)O)c1SC=C,477,538,-7.071858015,-1.538749402,5.533108613,
104,c1scc2c1C=C(S2(=O)=O),835,542,-7.009190195,-1.969151879,5.040038316,
105,c1c2c(=O)sc(=O)c2c(c2c1c(=O)sc2=O),239,544,-8.075359473,-4.020101182,4.055258291,
